Language	Parameter	Cognateset
Achagua	I	i.002
Baniwa	I	i.002
Kabiyari	I	i.002
Kabiyari	I	i.002
Piapoco	I	i.002
Resigaro	I	i.001
Tariana	I	i.002
Yukuna	I	i.002
Achagua	all	all.001
Baniwa	all	all.004
Kabiyari	all	all.002
Piapoco	all	all.001
Piapoco	all	all.003
Resigaro	all	all.002
Yukuna	all	all.002
Achagua	ash	ash.001
Baniwa	ash	ash.002
Kabiyari	ash	ash.001
Piapoco	ash	ash.001
Piapoco	ash	ash.001
Resigaro	ash	ash.003
Yukuna	ash	ash.001
Achagua	bark	bark.001
Baniwa	bark	bark.002
Resigaro	bark	bark.001
Yukuna	bark	bark.001
Achagua	belly	belly.002
Baniwa	belly	belly.004
Kabiyari	belly	belly.003
Piapoco	belly	belly.003
Resigaro	belly	belly.004
Yukuna	belly	belly.001
Achagua	big	big.002
Baniwa	big	big.001
Kabiyari	big	big.002
Piapoco	big	big.002
Resigaro	big	big.003
Yukuna	big	big.004
Achagua	bird	bird.003
Baniwa	bird	bird.001
Kabiyari	bird	bird.001
Kabiyari	bird	bird.001
Piapoco	bird	bird.001
Piapoco	bird	bird.003
Resigaro	bird	bird.002
Resigaro	bird	bird.001
Yukuna	bird	bird.001
Achagua	bite	bite.003
Baniwa	bite	bite.003
Kabiyari	bite	bite.003
Piapoco	bite	bite.003
Piapoco	bite	bite.001
Piapoco	bite	bite.003
Piapoco	bite	bite.002
Piapoco	bite	bite.003
Resigaro	bite	bite.003
Yukuna	bite	bite.003
Achagua	black	black.002
Baniwa	black	black.001
Kabiyari	black	black.004
Piapoco	black	black.004
Resigaro	black	black.002
Yukuna	black	black.003
Achagua	blood	blood.001
Baniwa	blood	blood.001
Kabiyari	blood	blood.001
Piapoco	blood	blood.001
Resigaro	blood	blood.001
Yukuna	blood	blood.001
Yukuna	blood	blood.001
Achagua	bone	bone.001
Baniwa	bone	bone.001
Kabiyari	bone	bone.001
Piapoco	bone	bone.001
Resigaro	bone	bone.001
Yukuna	bone	bone.001
Baniwa	breast_1	breastb.001
Piapoco	breast_1	breastb.001
Achagua	breast_2	breastb.003
Kabiyari	breast_2	breastb.001
Kabiyari	breast_2	breastb.003
Piapoco	breast_2	breastb.003
Resigaro	breast_2	breastb.003
Yukuna	breast_2	breastb.002
Baniwa	burn_1	burnb.001
Yukuna	burn_1	burnb.001
Achagua	burn_2	burnb.002
Baniwa	burn_2	burnb.002
Kabiyari	burn_2	burnb.002
Kabiyari	burn_2	burnb.002
Piapoco	burn_2	burnb.002
Resigaro	burn_2	burnb.001
Warekena	burn_2	burnb.002
Achagua	claw	claw.002
Baniwa	claw	claw.001
Kabiyari	claw	claw.002
Piapoco	claw	claw.002
Piapoco	claw	claw.002
Resigaro	claw	claw.001
Yukuna	claw	claw.002
Achagua	cloud	cloud.003
Baniwa	cloud	cloud.002
Baniwa	cloud	cloud.001
Piapoco	cloud	cloud.004
Resigaro	cloud	cloud.001
Yukuna	cloud	cloud.004
Achagua	cold	cold.003
Baniwa	cold	cold.001
Kabiyari	cold	cold.001
Piapoco	cold	cold.003
Resigaro	cold	cold.001
Resigaro	cold	cold.002
Yukuna	cold	cold.001
Achagua	come	come.003
Baniwa	come	come.003
Kabiyari	come	come.003
Kabiyari	come	come.004
Piapoco	come	come.003
Resigaro	come	come.003
Warekena	come	come.004
Warekena	come	come.001
Yukuna	come	come.002
Yukuna	come	come.001
Achagua	die	die.005
Baniwa	die	die.001
Kabiyari	die	die.002
Piapoco	die	die.003
Resigaro	die	die.004
Yukuna	die	die.003
Achagua	dog	dog.002
Baniwa	dog	dog.001
Kabiyari	dog	dog.004
Piapoco	dog	dog.002
Resigaro	dog	dog.001
Tariana	dog	dog.001
Yukuna	dog	dog.003
Achagua	drink	drink.001
Baniwa	drink	drink.001
Kabiyari	drink	drink.001
Piapoco	drink	drink.001
Resigaro	drink	drink.001
Yukuna	drink	drink.001
Baniwa	dry_N	dry_up.004
Kabiyari	dry_N	dry_up.003
Piapoco	dry_N	dry_up.001
Resigaro	dry_N	dry_up.002
Yukuna	dry_N	dry_up.002
Achagua	ear	ear.002
Baniwa	ear	ear.001
Baniwa	ear	ear.003
Kabiyari	ear	ear.002
Piapoco	ear	ear.002
Resigaro	ear	ear.003
Yukuna	ear	ear.002
Achagua	earth	earth.001
Baniwa	earth	earth.004
Kabiyari	earth	earth.001
Piapoco	earth	earth.001
Resigaro	earth	earth.002
Yukuna	earth	earth.003
Achagua	eat	eat.002
Baniwa	eat	eat.002
Kabiyari	eat	eat.002
Piapoco	eat	eat.002
Resigaro	eat	eat.001
Yukuna	eat	eat.002
Achagua	egg	egg.001
Baniwa	egg	egg.001
Kabiyari	egg	egg.001
Piapoco	egg	egg.001
Resigaro	egg	egg.001
Yukuna	egg	egg.001
