ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
SonghaiKiini-2_toage-1,2_toage,zé:n,zé:n,z ⁵/eː n,3584,,0,SonghaiKiini,Songhai_Kiini,koyr1240,Koyra Chiini Songhay,khq,Songhai,Eastern_Songhai,TO AGE,,,,
SonghaiSenni-2_toage-1,2_toage,zé:n,zé:n,z ⁵/eː n,3584,,0,SonghaiSenni,Songhai_Senni,humb1243,Humburi Senni Songhay,hmb,Songhai,Eastern_Songhai,TO AGE,,,,
Bangime-2_toage-1,2_toage,ɡwìì,ɡwìì,ɡ w ¹/iː,2319,,0,Bangime,Bangime,bang1363,Bangime,dba,Isolate,Isolate,TO AGE,,,,
Fulfulde-2_toage-1,2_toage,naywude,nayw-ude,n a j w + u d e,307,,0,Fulfulde,Fulfulde,maas1239,Maasina Fulfulde,ffm,Atlantic,North-Central_Atlantic,TO AGE,,,,
ToroTegu-2_toage-1,2_toage,yɔ̌w,yɔ̌w,j ¹⁵/ɔ w,702,,0,ToroTegu,Toro_Tegu,toro1253,Toro Tegu Dogon,dtt,Dogon,North-Eastern_Dogon,TO AGE,,,,
BenTey-2_toage-1,2_toage,pɛ́,pɛ́,p ⁵/ɛ,617,,0,BenTey,Ben_Tey,bent1238,Ben Tey Dogon,dbt,Dogon,North-Eastern_Dogon,TO AGE,,,,
Nanga-2_toage-1,2_toage,pɛ́:,pɛ́:,p ⁵/ɛː,617,,0,Nanga,Nanga,nang1261,Nanga,nzz,Dogon,North-Eastern_Dogon,TO AGE,,,,
Gourou-2_toage-1,2_toage,pɛ́:ⁿ,pɛ́:ⁿ,p ⁵/ɛ̃ː,617,,0,Gourou,Gourou,guru1265,Guru (Mali),,Dogon,North-Eastern_Dogon,TO AGE,,,,
YornoSo-2_toage-1,2_toage,pɛ́:-,pɛ́:,p ⁵/ɛː,617,,0,YornoSo,Yorno_So,yorn1234,Yorno So,,Dogon,North-Western_Dogon,TO AGE,,,,
TommoSo-2_toage-1,2_toage,"pɛ́ɛ́ⁿ, pííⁿ-yɛ́",pɛ́ɛ́ⁿ,p ⁵/ɛ̃ː,617,,0,TommoSo,Tommo_So,tomm1242,Tommo So Dogon,dto,Dogon,South-Eastern_Dogon,TO AGE,,,,
