ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
cojubim-1_i-1,1_i,waza,waza,w a z a,1,,,cojubim,Cojubim,kuyu1236,Kuyubi,,Chapacuran,,I,1209,I,,
kitemoka-1_i-1,1_i,waja,waja,w a j a,1,,,kitemoka,Kitemoka,kite1237,Kitemoka,,Chapacuran,,I,1209,I,,
more-1_i-1,1_i,waʒ̟a,waʒ̟a,w a ʒ̟ a,1,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,I,1209,I,,
orowin-1_i-1,1_i,wataʔ,wataʔ,w a t a ʔ,1,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,I,1209,I,,
tapakura-1_i-1,1_i,waja,waja,w a j a,1,,,tapakura,Tapakura,chap1269,Chapakura,,Chapacuran,,I,1209,I,,
tora-1_i-1,1_i,waza,waza,w a z a,1,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,I,1209,I,,
urupa-1_i-1,1_i,wata,wata,w a t a,1,,,urupa,Urupá,urup1245,Urupa,,Chapacuran,,I,1209,I,,
wanyam-1_i-1,1_i,wataʔ,wataʔ,w a t a ʔ,1,,,wanyam,Wanyam,wany1246,Wanyam,,Chapacuran,,I,1209,I,,
wari-1_i-1,1_i,wataʔ,wataʔ,w a t a ʔ,1,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,I,1209,I,,
cojubim-2_yousg-1,2_yousg,um,um,u m,2,,,cojubim,Cojubim,kuyu1236,Kuyubi,,Chapacuran,,You sg.,1215,THOU,,
kitemoka-2_yousg-1,2_yousg,ahum,ahum,a h u m,2,,,kitemoka,Kitemoka,kite1237,Kitemoka,,Chapacuran,,You sg.,1215,THOU,,
more-2_yousg-1,2_yousg,momra,momra,m o m r a,2,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,You sg.,1215,THOU,,
orowin-2_yousg-1,2_yousg,wym,wym,w y m,2,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,You sg.,1215,THOU,,
tapakura-2_yousg-1,2_yousg,awimo,awimo,a w i m o,2,,,tapakura,Tapakura,chap1269,Chapakura,,Chapacuran,,You sg.,1215,THOU,,
tora-2_yousg-1,2_yousg,webm,webm,w e b m,2,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,You sg.,1215,THOU,,
urupa-2_yousg-1,2_yousg,vim,vim,v i m,2,,,urupa,Urupá,urup1245,Urupa,,Chapacuran,,You sg.,1215,THOU,,
wanyam-2_yousg-1,2_yousg,im,im,i m,2,,,wanyam,Wanyam,wany1246,Wanyam,,Chapacuran,,You sg.,1215,THOU,,
wari-2_yousg-1,2_yousg,wum,wum,w u m,2,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,You sg.,1215,THOU,,
kitemoka-3_he-1,3_he,ariko,ariko,a r i k o,3,,,kitemoka,Kitemoka,kite1237,Kitemoka,,Chapacuran,,He,1211,HE,,
more-3_he-1,3_he,korari,korari,k o r a r i,3,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,He,1211,HE,,
orowin-3_he-1,3_he,woriko,woriko,w o r i k o,3,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,He,1211,HE,,
tapakura-3_he-1,3_he,arikahu,arikahu,a r i k a h u,3,,,tapakura,Tapakura,chap1269,Chapakura,,Chapacuran,,He,1211,HE,,
tora-3_he-1,3_he,wariko,wariko,w a r i k o,3,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,He,1211,HE,,
urupa-3_he-1,3_he,okain,okain,o k a i n,3,,,urupa,Urupá,urup1245,Urupa,,Chapacuran,,He,1211,HE,,
wanyam-3_he-1,3_he,arukwan,arukwan,a r u k w a n,3,,,wanyam,Wanyam,wany1246,Wanyam,,Chapacuran,,He,1211,HE,,
wari-3_he-1,3_he,wiriko,wiriko,w i r i k o,3,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,He,1211,HE,,
kitemoka-4_we-1,4_we,watʃe,watʃe,w a tʃ e,4,,,kitemoka,Kitemoka,kite1237,Kitemoka,,Chapacuran,,We,1212,WE,,
more-4_we-1,4_we,watiʔ,watiʔ,w a t i ʔ,4,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,We,1212,WE,,
orowin-4_we-1,4_we,wariʔ,wariʔ,w a r i ʔ,4,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,We,1212,WE,,
tapakura-4_we-1,4_we,wajahu,wajahu,w a j a h u,4,,,tapakura,Tapakura,chap1269,Chapakura,,Chapacuran,,We,1212,WE,,
tora-4_we-1,4_we,wazati,wazati,w a z a t i,4,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,We,1212,WE,,
urupa-4_we-1,4_we,wari,wari,w a r i,4,,,urupa,Urupá,urup1245,Urupa,,Chapacuran,,We,1212,WE,,
wanyam-4_we-1,4_we,wari,wari,w a r i,4,,,wanyam,Wanyam,wany1246,Wanyam,,Chapacuran,,We,1212,WE,,
wari-4_we-1,4_we,wariʔ,wariʔ,w a r i ʔ,4,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,We,1212,WE,,
more-5_youpl-1,5_youpl,wura,wura,w u r a,5,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,You pl.,1213,YOU,,
orowin-5_youpl-1,5_youpl,fuʔ,fuʔ,f u ʔ,5,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,You pl.,1213,YOU,,
tora-5_youpl-1,5_youpl,wihu,wihu,w i h u,5,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,You pl.,1213,YOU,,
wari-5_youpl-1,5_youpl,wahuʔ,wahuʔ,w a h u ʔ,5,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,You pl.,1213,YOU,,
orowin-6_they-1,6_they,worikoko,worikoko,w o r i k o k o,6,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,They,817,THEY,,
tora-6_they-1,6_they,wariko bap,wariko bap,w a r i k o + b a p,6,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,They,817,THEY,,
wari-6_they-1,6_they,wirikoko,wirikoko,w i r i k o k o,6,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,They,817,THEY,,
more-6_they-1,6_they,omapu,omapu,o m a p u,7,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,They,817,THEY,,
tapakura-6_they-1,6_they,aʃiri,aʃiri,a ʃ i r i,8,,,tapakura,Tapakura,chap1269,Chapakura,,Chapacuran,,They,817,THEY,,
more-7_whowhat-1,7_whowhat,ati,ati,a t i,9,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,Who/What,2147,WHO OR WHAT,,
orowin-7_whowhat-1,7_whowhat,ati,ati,a t i,9,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,Who/What,2147,WHO OR WHAT,,
more-7_whowhat-2,7_whowhat,tikow,tikow,t i k o w,10,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,Who/What,2147,WHO OR WHAT,,
tora-7_whowhat-1,7_whowhat,teokaj,teokaj,t e o k a j,10,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,Who/What,2147,WHO OR WHAT,,
wari-7_whowhat-1,7_whowhat,kaɲ,kaɲ,k a ɲ,10,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,Who/What,2147,WHO OR WHAT,,
orowin-8_many-1,8_many,mijaʔ,mijaʔ,m i j a ʔ,11,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,Many,1198,MANY,,
tora-8_many-1,8_many,jab,jab,j a b,11,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,Many,1198,MANY,,
wari-8_many-1,8_many,mija,mija,m i j a,11,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,Many,1198,MANY,,
cojubim-8_many-1,8_many,napa,napa,n a p a,12,,,cojubim,Cojubim,kuyu1236,Kuyubi,,Chapacuran,,Many,1198,MANY,,
more-8_many-1,8_many,napa,napa,n a p a,12,,,more,Moré,itor1239,Itoreauhip,ite,Chapacuran,,Many,1198,MANY,,
orowin-8_many-2,8_many,napa,napa,n a p a,12,,,orowin,Oro Win,orow1243,Oro Win,orw,Chapacuran,,Many,1198,MANY,,
urupa-8_many-1,8_many,katimisam,katimisam,k a t i m i s a m,13,,,urupa,Urupá,urup1245,Urupa,,Chapacuran,,Many,1198,MANY,,
tora-8_many-2,8_many,asinëji,asinëji,a s i n ë j i,14,,,tora,Torá,tora1263,Torá,trz,Chapacuran,,Many,1198,MANY,,
kitemoka-8_many-1,8_many,patiako,patiako,p a t i a k o,15,,,kitemoka,Kitemoka,kite1237,Kitemoka,,Chapacuran,,Many,1198,MANY,,
wari-9_few-1,9_few,parik,parik,p a r i k,16,,,wari,Wari',wari1268,Wari',pav,Chapacuran,,Few,1242,FEW,,
wanyam-9_few-1,9_few,irakaw,irakaw,i r a k a w,17,,,wanyam,Wanyam,wany1246,Wanyam,,Chapacuran,,Few,1242,FEW,,
