ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
EseEjja-1_dust-1,1_dust,meši-hahi,meši-hahi,m e ʃ i + h a h i,2911,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,dust,2,DUST,,
EseEjja-88_mud-1,88_mud,wašapa,wašapa,w a ʃ a p a,5259,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,mud,640,MUD,,
EseEjja-95_sand-1,95_sand,meši-hahi,meši-hahi,m e ʃ i + h a h i,2911,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,sand,671,SAND,,
EseEjja-90_plain-1,90_plain,haha-haha,haha-haha,h a h a + h a h a,5623,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,plain,652,PLAIN,,
EseEjja-167_water-1,167_water,ena,ena,n a,2196,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,water,948,WATER,,
EseEjja-81_lake-1,81_lake,ɓai,ɓai,ɓ a i,4755,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,lake,624,LAKE,,
EseEjja-483_springorwell-1,483_springorwell,xani,xani,x a n i,1423,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,spring or well,2144,SPRING OR WELL,,
EseEjja-483_springorwell-2,483_springorwell,čixoko,čixoko,tʃ i x o k o,1986,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,spring or well,2144,SPRING OR WELL,,
EseEjja-483_springorwell-3,483_springorwell,eteoxi,eteoxi,t eo x i,4155,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,spring or well,2144,SPRING OR WELL,,
EseEjja-59_forest-1,59_forest,eɓio,eɓio,ɓ i o,4173,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,forest,420,FOREST,,
EseEjja-157_tree-1,157_tree,akʷi,akʷi,a kʷ i,5156,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,tree,906,TREE,,
EseEjja-421_sky-1,421_sky,eya,eya,j a,4275,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,sky,1732,SKY,,
EseEjja-292_sun-1,292_sun,išeki,išeki,i ʃ e k i,374,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,sun,1343,SUN,,
EseEjja-292_sun-2,292_sun,ešeki,ešeki,ʃ e k i,374,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,sun,1343,SUN,,
EseEjja-281_moon-1,281_moon,ɓaʔi,ɓaʔi,ɓ a ʔ i,4351,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,moon,1313,MOON,,
EseEjja-334_star-1,334_star,mahameta,mahameta,m a h a m e t a,284,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,star,1430,STAR,,
EseEjja-408_lightning-1,408_lightning,poxexi,poxexi,p o x e x i,4893,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,lightning,1654,LIGHTNING,,
EseEjja-198_thunder-1,198_thunder,kʷehi,kʷehi,kʷ e h i,560,,None,EseEjja,Ese Ejja,esee1248,Ese Ejja,ese,Pano-Tacanan,Tacana,thunder,1150,THUNDER,,
