ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Khispi-1_1sg-1,1_1sg,ga,ga,g a,1,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Duhumbi-1_1sg-1,1_1sg,ga,ga,g a,1,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Khoina-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Khoina,Khoina,khoi1253,Khoina,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Jerigaon-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Jerigaon,Jerigaon,jeri1243,Jerigaon,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Khoitam-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Khoitam,Khoitam,khoi1252,Khoitam,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Rahung-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Rahung,Rahung,rahu1234,Rahung,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Rupa-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Rupa,Rupa,rupa1234,Rupa,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Shergaon-1_1sg-1,1_1sg,guː,guː,g uː,1,,,Shergaon,Shergaon,sher1261,Shergaon,,Sino-Tibetan,Western Kho-Bwa,1sg,1209,I,false,expert
Khispi-2_2plexcl-1,2_2plexcl,na+lu,na+lu,n a + l u,5,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Khispi-2_2plexcl-1,2_2plexcl,na+lu,na+lu,n a + l u,2,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Duhumbi-2_2plexcl-1,2_2plexcl,na+ɹ,na+ɹ,n a + ɹ,5,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Duhumbi-2_2plexcl-1,2_2plexcl,na+ɹ,na+ɹ,n a + ɹ,2,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Rahung-2_2plexcl-1,2_2plexcl,na+ryː,na+ryː,n a + r yː,5,,,Rahung,Rahung,rahu1234,Rahung,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Rahung-2_2plexcl-1,2_2plexcl,na+ryː,na+ryː,n a + r yː,2,,,Rahung,Rahung,rahu1234,Rahung,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Rupa-2_2plexcl-1,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,5,,,Rupa,Rupa,rupa1234,Rupa,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Rupa-2_2plexcl-1,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,1285,,,Rupa,Rupa,rupa1234,Rupa,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Shergaon-2_2plexcl-1,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,5,,,Shergaon,Shergaon,sher1261,Shergaon,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Shergaon-2_2plexcl-1,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,1285,,,Shergaon,Shergaon,sher1261,Shergaon,,Sino-Tibetan,Western Kho-Bwa,2pl.excl,1213,YOU,false,expert
Khispi-3_2plincl-1,3_2plincl,nal+tʰe,nal+tʰe,n a + l + tʰ e,5,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khispi-3_2plincl-1,3_2plincl,nal+tʰe,nal+tʰe,n a + l + tʰ e,3,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khispi-3_2plincl-1,3_2plincl,nal+tʰe,nal+tʰe,n a + l + tʰ e,4,,,Khispi,Khispi,lish1235,Khispi,lsh,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Duhumbi-3_2plincl-1,3_2plincl,naɹ+tʰeˀ,naɹ+tʰeˀ,n a + ɹ + tʰ eˀ,5,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Duhumbi-3_2plincl-1,3_2plincl,naɹ+tʰeˀ,naɹ+tʰeˀ,n a + ɹ + tʰ eˀ,3,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Duhumbi-3_2plincl-1,3_2plincl,naɹ+tʰeˀ,naɹ+tʰeˀ,n a + ɹ + tʰ eˀ,4,,,Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khoina-3_2plincl-1,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,5,,,Khoina,Khoina,khoi1253,Khoina,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khoina-3_2plincl-1,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,4,,,Khoina,Khoina,khoi1253,Khoina,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Jerigaon-3_2plincl-1,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,5,,,Jerigaon,Jerigaon,jeri1243,Jerigaon,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Jerigaon-3_2plincl-1,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,4,,,Jerigaon,Jerigaon,jeri1243,Jerigaon,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khoitam-3_2plincl-1,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,5,,,Khoitam,Khoitam,khoi1252,Khoitam,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Khoitam-3_2plincl-1,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,4,,,Khoitam,Khoitam,khoi1252,Khoitam,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Rahung-3_2plincl-1,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,5,,,Rahung,Rahung,rahu1234,Rahung,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Rahung-3_2plincl-1,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,4,,,Rahung,Rahung,rahu1234,Rahung,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Rupa-3_2plincl-1,3_2plincl,naː+tʰik,naː+tʰik,n aː + tʰ i k,5,,,Rupa,Rupa,rupa1234,Rupa,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Rupa-3_2plincl-1,3_2plincl,naː+tʰik,naː+tʰik,n aː + tʰ i k,4,,,Rupa,Rupa,rupa1234,Rupa,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
Shergaon-3_2plincl-1,3_2plincl,naː+tʰik,naː+tʰik,n aː + tʰ i k,5,,,Shergaon,Shergaon,sher1261,Shergaon,,Sino-Tibetan,Western Kho-Bwa,2pl.incl,1131,WE (INCLUSIVE),false,expert
