ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ProtoPurus-1_body-1,1_body,*-mane,mane,m a n e,1,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,body,1480,BODY,false,expert
Inapari-1_body-1,1_body,maná-ʔa-ti ,maná-ʔa-ti,m a n á/a + ʔ a + t i,1,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,body,1480,BODY,false,expert
Apurina-1_body-1,1_body,-mane ,-mane,m a n e,1,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,body,1480,BODY,false,expert
Yine-1_body-1,1_body,-mane ,-mane,m a n e,1,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,body,1480,BODY,false,expert
ProtoPurus-2_head-1,2_head,*-kɨwɨ,kɨwɨ,k ɨ w ɨ,2,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,head,1256,HEAD,false,expert
Inapari-2_head-1,2_head,hɨwɨ́-ti ,hɨwɨ́-ti,h ɨ w ɨ́/ɨ + t i,2,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,head,1256,HEAD,false,expert
Apurina-2_head-1,2_head,-kɨwɨ ,-kɨwɨ,k ɨ w ɨ,2,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,head,1256,HEAD,false,expert
Yine-2_head-1,2_head,-çiwɨ ,-çiwɨ,ç i w ɨ,2,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,head,1256,HEAD,false,expert
ProtoPurus-3_eye-1,3_eye,*-hokɨ,hokɨ,h o k ɨ,3,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,eye,1248,EYE,false,expert
Inapari-3_eye-1,3_eye,ohɨ-tí ,ohɨ-tí,o h ɨ + t í/i,3,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,eye,1248,EYE,false,expert
Apurina-3_eye-1,3_eye,-okɨ ,-okɨ,o k ɨ,3,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,eye,1248,EYE,false,expert
Yine-3_eye-1,3_eye,hi-hoçi,hi-hoçi,h i + h o ç i,3,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,eye,1248,EYE,false,expert
ProtoPurus-4_earhole-1,4_earhole,*-kena-ko,kena-ko,k e n a + k o,4,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,earhole,3891,EARHOLE,false,expert
Inapari-4_earhole-1,4_earhole,hanáʔo-ti ,hanáʔo-ti,h a n á/a ʔ o + t i,4,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,earhole,3891,EARHOLE,false,expert
Apurina-4_earhole-1,4_earhole,-kenako-kɨ ,-kenako-kɨ,k e n a k o + k ɨ,4,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,earhole,3891,EARHOLE,false,expert
Yine-4_earhole-1,4_earhole,-çnako-pna ,-çnako-pna,ç n a k o + p n a,4,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,earhole,3891,EARHOLE,false,expert
ProtoPurus-5_hairfeather-1,5_hairfeather,*-piti,piti,p i t i,5,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,hair/feather,2381,FEATHER OR FUR OR HAIR,false,expert
Inapari-5_hairfeather-1,5_hairfeather,piʧi-tí ,piʧi-tí,p i tʃ i + t í/i,5,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,hair/feather,2381,FEATHER OR FUR OR HAIR,false,expert
Apurina-5_hairfeather-1,5_hairfeather,-piti ,-piti,p i t i,5,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,hair/feather,2381,FEATHER OR FUR OR HAIR,false,expert
Yine-5_hairfeather-1,5_hairfeather,-pici ,-pici,p i c/tʃ i,5,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,hair/feather,2381,FEATHER OR FUR OR HAIR,false,expert
ProtoPurus-6_mouth-1,6_mouth,*-nama,nama,n a m a,6,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,mouth,674,MOUTH,false,expert
Inapari-6_mouth-1,6_mouth,namá-ti ,namá-ti,n a m á/a + t i,6,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,mouth,674,MOUTH,false,expert
Apurina-6_mouth-1,6_mouth,-nama ,-nama,n a m a,6,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,mouth,674,MOUTH,false,expert
Yine-6_mouth-1,6_mouth,-nama ,-nama,n a m a,6,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,mouth,674,MOUTH,false,expert
ProtoPurus-7_lip-1,7_lip,*-potu,potu,p o t u,7,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,lip,478,LIP,false,expert
Inapari-7_lip-1,7_lip,potu-maʧá-ti ,potu-maʧá-ti,p o t u + m a tʃ á/a + t i,7,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,lip,478,LIP,false,expert
Apurina-7_lip-1,7_lip,-poto ,-poto,p o t o,7,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,lip,478,LIP,false,expert
Yine-7_lip-1,7_lip,hi-ʃa-pto ,hi-ʃa-pto,h i + ʃ a + p t o,7,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,lip,478,LIP,false,expert
ProtoPurus-8_beard-1,8_beard,*-sia-potu,sia-potu,s i a + p o t u,8,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,beard,678,BEARD,false,expert
Inapari-8_beard-1,8_beard,ijapotú-ti ,ijapotú-ti,i j a p o t ú/u + t i,8,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,beard,678,BEARD,false,expert
Apurina-8_beard-1,8_beard,ʃiãpoto ,ʃiãpoto,ʃ i ã p o t o,8,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,beard,678,BEARD,false,expert
Yine-8_beard-1,8_beard,hi-ʃa-pto ,hi-ʃa-pto,h i + ʃ a + p t o,8,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,beard,678,BEARD,false,expert
ProtoPurus-9_tongue-1,9_tongue,*-nenɨ,nenɨ,n e n ɨ,9,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,tongue,1205,TONGUE,false,expert
Inapari-9_tongue-1,9_tongue,není-pa-ti ,není-pa-ti,n e n í/i + p a + t i,9,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,tongue,1205,TONGUE,false,expert
Apurina-9_tongue-1,9_tongue,-nɨnɨ ,-nɨnɨ,n ɨ n ɨ,9,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,tongue,1205,TONGUE,false,expert
Yine-9_tongue-1,9_tongue,hi-nnɨ ,hi-nnɨ,h i + n n ɨ,9,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,tongue,1205,TONGUE,false,expert
ProtoPurus-10_nose-1,10_nose,*-kiri,kiri,k i r i,10,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,nose,1221,NOSE,false,expert
Inapari-10_nose-1,10_nose,hirí-ti ,hirí-ti,h i r í/i + t i,10,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,nose,1221,NOSE,false,expert
Apurina-10_nose-1,10_nose,-kiri ,-kiri,k i r i,10,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,nose,1221,NOSE,false,expert
Yine-10_nose-1,10_nose,hi-çri ,hi-çri,h i + ç r i,10,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,nose,1221,NOSE,false,expert
ProtoPurus-11_bone-1,11_bone,*-hapɨ,hapɨ,h a p ɨ,11,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,bone,1394,BONE,false,expert
Inapari-11_bone-1,11_bone,apɨ-tí ,apɨ-tí,a p ɨ + t í/i,11,,,Inapari,Iñapari,inap1242,Iñapari,inp,Arawakan,,bone,1394,BONE,false,expert
Apurina-11_bone-1,11_bone,-apɨ ,-apɨ,a p ɨ,11,,,Apurina,Apurinã,apur1254,Apurinã,apu,Arawakan,,bone,1394,BONE,false,expert
Yine-11_bone-1,11_bone,hi-hapɨ ,hi-hapɨ,h i + h a p ɨ,11,,,Yine,Yine,yine1238,Yine,pib,Arawakan,,bone,1394,BONE,false,expert
ProtoPurus-12_back-1,12_back,*-takɨ,takɨ,t a k ɨ,12,,,ProtoPurus,Proto-Purus,puru1265,Purus,,Arawakan,,back,1291,BACK,false,expert
