ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Achagua-1_i-1,1_i,nujá,nuja,n u j a,1,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,,I,1209,I,false,expert
Baniwa-1_i-1,1_i,nhóa,nhóa,ɲ ó/o a,1,,,Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,Arawakan,,I,1209,I,false,expert
Kabiyari-1_i-1,1_i,nhú,nhú,ɲ ú/u,1,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,,I,1209,I,false,expert
Kabiyari-1_i-2,1_i,nu-,nu-,n u,1,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,,I,1209,I,false,expert
Piapoco-1_i-1,1_i,núa,núa,n ú/u a,1,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,,I,1209,I,false,expert
Resigaro-1_i-1,1_i,ó,ó,ó/o,6,,,Resigaro,Resigaro,resi1247,Resígaro,rgr,Arawakan,,I,1209,I,false,expert
Tariana-1_i-1,1_i,nuha,nuha,n u h a,1,,,Tariana,Tariana,tari1256,Tariana,tae,Arawakan,,I,1209,I,false,expert
Yukuna-1_i-1,1_i,nuká,nuká,n u k á/a,1,,,Yukuna,Yukuna,yucu1253,Yucuna,ycn,Arawakan,,I,1209,I,false,expert
Achagua-2_all-1,2_all,kinínama,kininama,k i n i n a m a,9,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,,all,98,ALL,false,expert
Baniwa-2_all-1,2_all,phálhai,phálhai,pʰ á/a ʎ a i,11,,,Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,Arawakan,,all,98,ALL,false,expert
Kabiyari-2_all-1,2_all,put'i,put'i,p u t ʔ i,17,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,,all,98,ALL,false,expert
Piapoco-2_all-1,2_all,canánama,kanánama,k a n á/a n a m a,9,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,,all,98,ALL,false,expert
Piapoco-2_all-2,2_all,macáita,makáita,m a k á/a i t a,18,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,,all,98,ALL,false,expert
Resigaro-2_all-1,2_all,phé?tó?,phé?tó?,pʰ é/e ʔ t ó/o ʔ,17,,,Resigaro,Resigaro,resi1247,Resígaro,rgr,Arawakan,,all,98,ALL,false,expert
Yukuna-2_all-1,2_all,piyukeja,pijukeha,p i j u k e h a,17,,,Yukuna,Yukuna,yucu1253,Yucuna,ycn,Arawakan,,all,98,ALL,false,expert
Achagua-3_ash-1,3_ash,báali,ba:li,b a: l i,27,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,,ash,646,ASH,false,expert
