ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Tariana-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,~kehkunĩpɛ,kehkunĩpɛ,k e h k u n ĩ p ɛ,575,,,Tariana,Tariana,tari1256,Tariana,tae,Arawakan,,four,1500,FOUR,false,expert
Moliwene-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,koadaka,koadaka,k o a d a k a,571,,,Moliwene,Moliwene,bani1255,Baniwa do Icana,bwi,Arawakan,,four,1500,FOUR,false,expert
Mauliene-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,koadáka,koadáka,k o a d a k a,571,,,Mauliene,Mauliene,bani1255,Baniwa do Icana,bwi,Arawakan,,four,1500,FOUR,false,expert
Kumadene1-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,koehponĩpɛ,koehponĩpɛ,k o e h p o n ĩ p ɛ,575,,,Kumadene1,Kumadene_1,tari1256,Tariana,tae,Arawakan,,four,1500,FOUR,false,expert
Name-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,578,,,Name,Ñame,curr1243,Curripaco,kpc,Arawakan,,four,1500,FOUR,false,expert
Oho-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,578,,,Oho,Oho,bani1255,Baniwa do Icana,bwi,Arawakan,,four,1500,FOUR,false,expert
Kumadene2-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,kwadakawda,kwadakawda,kʷ a d a k a w d a,571,,,Kumadene2,Kumadene_2,curr1243,Curripaco,kpc,Arawakan,,four,1500,FOUR,false,expert
Werekena-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,kwatɾʊ,kwatɾʊ,kʷ a t ɾ ʊ,578,,,Werekena,Werekena,ware1257,Warekéna do Xiê,,Arawakan,,four,1500,FOUR,false,expert
Aha-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,571,,,Aha,Aha,curr1243,Curripaco,kpc,Arawakan,,four,1500,FOUR,false,expert
Ehe-Chacon-2019-220-85_four-1,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,571,,,Ehe,Ehe,bani1255,Baniwa do Icana,bwi,Arawakan,,four,1500,FOUR,false,expert
