ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Yukpa-1_bee-1,1_bee,émi̵,émi̵,e m ɨ,26916,,,Yukpa,yukpa,yukp1241,Yukpa,yup,Cariban,,bee,665,BEE,false,expert
Puinave-1_bee-1,1_bee,dəm,dəm,d ə m,157,,,Puinave,puinave,puin1248,Puinave,pui,Puinave,,bee,665,BEE,false,expert
Dimina-1_bee-1,1_bee,ni̵nga,ni̵nga,n ɨ n g a,98,,,Dimina,dí̵mi̵na,mala1522,Malayo,mbp,Chibchan,,bee,665,BEE,false,expert
Inga-1_bee-1,1_bee,abix,abix,a b i x,109,,,Inga,inga,inga1252,Colombian Inga,inb,Quechuan,,bee,665,BEE,false,expert
Wayuu-1_bee-1,1_bee,ʃiʃí mapá,ʃiʃí mapá,ʃ i ʃ i,26626,,,Wayuu,wayuu,wayu1243,Wayuu,guc,Arawakan,,bee,665,BEE,false,expert
Resigaro-1_bee-1,1_bee,maápú,maápú,m aa p u,162,,,Resigaro,resígaro,resi1247,Resígaro,rgr,Arawakan,,bee,665,BEE,false,expert
EpenaBasurudo-1_bee-1,1_bee,kʰikʰimí,kʰikʰimí,kʰ i kʰ i m i,100,,,EpenaBasurudo,epena basurudó,epen1239,Epena,sja,Chocoan,,bee,665,BEE,false,expert
Barasana-1_bee-1,1_bee,hõbĩãbĩ̵,hõbĩãbĩ̵,h õ b ĩ ã b ɨ̃,131,,,Barasana,barasana,bara1380,Barasana-Eduria,bsn,Tucanoan,,bee,665,BEE,false,expert
Yukpa-1_bee-2,1_bee,mĩ̵káma,mĩ̵káma,m ɨ̃ k a m a,26915,,,Yukpa,yukpa,yukp1241,Yukpa,yup,Cariban,,bee,665,BEE,false,expert
Desano-1_bee-1,1_bee,bõbẽ́bĩ̵,bõbẽ́bĩ̵,b õ b ẽ b ɨ̃,131,,,Desano,desano,desa1247,Desano,des,Tucanoan,,bee,665,BEE,false,expert
Wounaan-1_bee-1,1_bee,kʰekʰeman,kʰekʰeman,kʰ e kʰ e m a n,100,,,Wounaan,wounaan,woun1238,Woun Meu,noa,Chocoan,,bee,665,BEE,false,expert
