ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Achagua-1_all-1,1_all,kinínama,k_i_n_i_n_a_m_a,k i n i n a m a,34,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,Guaviare-Meta,ALL,98,ALL,,
Warekena-1_all-1,1_all,?,p_a_j_a_ɾ_u,p a j a ɾ u,41,,,Warekena,Warekena,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,ALL,98,ALL,,
Baniwa_Dzawinai-2_ash-1,2_ash,tidzemheni,t_i_dz_e_mʰ_e_n_i,t i dz e mʰ e n i,61,,,Baniwa_Dzawinai,Baniwa_Dzawinai,bani1255,Baniwa do Icana,bwi,Arawakan,Vaupés-Guainía,ASH,646,ASH,,
Piapoco-10_bone-1,10_bone,api,a_p_i,a p i,108,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,Guaviare-Meta,BONE,1394,BONE,,
Koripako_oho-37_hotorwarm-1,37_hotorwarm,hamodale,h_a_m_o_d_a_l_e,h a m o d a l e,128,,,Koripako_oho,Koripako_oho,bani1263,Baniwa do Rio Guainia,,Arawakan,Vaupés-Guainía,HOT OR WARM,2272,HOT OR WARM,,
Resigaro-90_white-1,90_white,?,+_(_b_r_a_n_c_o_)_+,b r a n c o,941,,,Resigaro,Resigaro,resi1247,Resígaro,rgr,Arawakan,Caquetá,WHITE,1335,WHITE,,
Koripako_name-37_hotorwarm-1,37_hotorwarm,hamodali,h_a_m_o_d_a_l_i,h a m o d a l i,128,,,Koripako_name,Koripako_name,bani1263,Baniwa do Rio Guainia,,Arawakan,Vaupés-Guainía,HOT OR WARM,2272,HOT OR WARM,,
Tariana-90_white-1,90_white,?,h_a_l_í_t_e,h a l í/i t e,129,,,Tariana,Tariana,tari1256,Tariana,tae,Arawakan,Vaupés-Guainía,WHITE,1335,WHITE,,
Werekena_Baniva-37_hotorwarm-1,37_hotorwarm,atali,a_t_a_l_i,a t a l i,204,,,Werekena_Baniva,Werekena_Baniva,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,HOT OR WARM,2272,HOT OR WARM,,
Yukuna-90_white-1,90_white,hareni,h_a_r_e_n_i,h a r e n i,129,,,Yukuna,Yukuna,yucu1253,Yucuna,ycn,Arawakan,Caquetá,WHITE,1335,WHITE,,
Warekena-90_white-1,90_white,?,á_ɾ_i_ɾ_i,á/a ɾ i ɾ i,129,,,Warekena,Warekena,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,WHITE,1335,WHITE,,
Achagua-91_who-1,91_who,tána,t_á_n_a,t á/a n a,198,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,Guaviare-Meta,WHO,1235,WHO,,
Baniwa-91_who-1,91_who,kóaka,k_ó_a_k_a,k ó/o a k a,1856,,,Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,Arawakan,Vaupés-Guainía,WHO,1235,WHO,,
Bare-91_who-1,91_who,?,a_b_a_d_i,a b a d i,960,,,Bare,Baré,bare1276,Baré,bae,Arawakan,Rio Negro,WHO,1235,WHO,,
Kabiyari-91_who-1,91_who,mikha,m_i_kh_a,m i kʰ a,950,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,Caquetá,WHO,1235,WHO,,
Kabiyari-91_who-2,91_who,arhi,a_rh_i,a rʰ i,200,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,Caquetá,WHO,1235,WHO,,
Tariana_Bruzzi-2_ash-1,2_ash,kãdaɾi,k_ã_d_a_ɾ_i,k ã d a ɾ i,11,,,Tariana_Bruzzi,Tariana_Bruzzi,tari1256,Tariana,tae,Arawakan,Vaupés-Guainía,ASH,646,ASH,,
Resigaro-10_bone-1,10_bone,aápí,a_á_p_í,a á/a p í/i,108,,,Resigaro,Resigaro,resi1247,Resígaro,rgr,Arawakan,Caquetá,BONE,1394,BONE,,
Kabiyari-91_who-3,91_who,umha,u_mʰ_a,u mʰ a,959,,,Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,Arawakan,Caquetá,WHO,1235,WHO,,
Piapoco-91_who-1,91_who,càiná,k_à_i_n_á,k à/a i n á/a,947,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,Guaviare-Meta,WHO,1235,WHO,,
Piapoco-91_who-2,91_who,cawiná,k_a_w_i_n_á,k a w i n á/a,947,,,Piapoco,Piapoco,piap1246,Piapoco,pio,Arawakan,Guaviare-Meta,WHO,1235,WHO,,
Resigaro-91_who-1,91_who,kéení,k_é_e_n_í,k é/e e n í/i,947,,,Resigaro,Resigaro,resi1247,Resígaro,rgr,Arawakan,Caquetá,WHO,1235,WHO,,
Tariana-91_who-1,91_who,kwana,k_w_a_n_a,k w a n a,947,,,Tariana,Tariana,tari1256,Tariana,tae,Arawakan,Vaupés-Guainía,WHO,1235,WHO,,
Yukuna-91_who-1,91_who,najlo,n_a_h_l_o,n a h l o,955,,,Yukuna,Yukuna,yucu1253,Yucuna,ycn,Arawakan,Caquetá,WHO,1235,WHO,,
Warekena-91_who-1,91_who,?,d_a_tʃ_i_b_a_ɾ_i,d a tʃ i b a ɾ i,960,,,Warekena,Warekena,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,WHO,1235,WHO,,
Warekena-91_who-2,91_who,?,d_a_tʃ_i_b_u_ɾ_e,d a tʃ i b u ɾ e,960,,,Warekena,Warekena,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,WHO,1235,WHO,,
Warekena-91_who-3,91_who,?,d_a_m_a_ɾ_i,d a m a ɾ i,199,,,Warekena,Warekena,guar1293,Baniva de Maroa,gae,Arawakan,Ato-Orinoco,WHO,1235,WHO,,
Achagua-92_woman-1,92_woman,íinetoo,í_i_n_e_t_oo,í/i i n e t oː,147,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,Guaviare-Meta,WOMAN,962,WOMAN,,
Koripako_aha-2_ash-1,2_ash,limale,l_i_m_a_l_e,l i m a l e,52,,,Koripako_aha,Koripako_aha,curr1243,Curripaco,kpc,Arawakan,Vaupés-Guainía,ASH,646,ASH,,
Tariana-10_bone-1,10_bone,?,d_i_j_á_p_i,d i j á/a p i,108,,,Tariana,Tariana,tari1256,Tariana,tae,Arawakan,Vaupés-Guainía,BONE,1394,BONE,,
Achagua-92_woman-2,92_woman,íina,í_i_n_a,í/i i n a,147,,,Achagua,Achagua,acha1250,Achagua,aca,Arawakan,Guaviare-Meta,WOMAN,962,WOMAN,,
Baniwa-92_woman-1,92_woman,íinaro,í_i_n_a_r_o,í/i i n a r o,147,,,Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,Arawakan,Vaupés-Guainía,WOMAN,962,WOMAN,,
Bare-92_woman-1,92_woman,?,h_i_n_a_tʃ_a_t_i,h i n a tʃ a t i,147,,,Bare,Baré,bare1276,Baré,bae,Arawakan,Rio Negro,WOMAN,962,WOMAN,,
