ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Barasano-41-feminine-1,41-feminine,go,g.o,g o,41-feminine-1,,,Barasano,Barasano,bara1380,Barasana-Eduria,bsn,Tucanoan,,feminine,,FEMALE,false,expert
Desano-41-feminine-1,41-feminine,go,g.o,g o,41-feminine-1,,,Desano,Desano,desa1247,Desano,des,Tucanoan,,feminine,,FEMALE,false,expert
Karapan-41-feminine-1,41-feminine,o,o,o,41-feminine-1,,,Karapan,Karapan,cara1272,Carapana,cbc,Tucanoan,,feminine,,FEMALE,false,expert
Koreguahe-41-feminine-1,41-feminine,o,o,o,41-feminine-1,,,Koreguahe,Koreguahe,kore1283,Koreguaje,coe,Tucanoan,,feminine,,FEMALE,false,expert
Kubeo-41-feminine-1,41-feminine,ko,k.o,k o,41-feminine-1,,,Kubeo,Kubeo,cube1242,Cubeo,cub,Tucanoan,,feminine,,FEMALE,false,expert
Maihiki-41-feminine-1,41-feminine,o,o,o,41-feminine-1,,,Maihiki,Maihiki,orej1242,Maijiki,ore,Tucanoan,,feminine,,FEMALE,false,expert
Piratapuyo-41-feminine-1,41-feminine,ko,k.o,k o,41-feminine-1,,,Piratapuyo,Piratapuyo,pira1254,Wa'ikhana,pir,Tucanoan,,feminine,,FEMALE,false,expert
Sekoya-41-feminine-1,41-feminine,o,o,o,41-feminine-1,,,Sekoya,Sekoya,seco1241,Secoya,sey,Tucanoan,,feminine,,FEMALE,false,expert
Siona-41-feminine-1,41-feminine,go,g.o,g o,41-feminine-1,,,Siona,Siona,sion1247,Siona-Tetete,snn,Tucanoan,,feminine,,FEMALE,false,expert
Tukano-41-feminine-1,41-feminine,go,g.o,g o,41-feminine-1,,,Tukano,Tukano,tuca1252,Tucano,tuo,Tucanoan,,feminine,,FEMALE,false,expert
Wanano-41-feminine-1,41-feminine,ko,k.o,k o,41-feminine-1,,,Wanano,Wanano,guan1269,Kotiria,gvc,Tucanoan,,feminine,,FEMALE,false,expert
Prototucanoan-41-feminine-1,41-feminine,*-kʔo,kʔ.o,kˀ o,41-feminine-1,,,Prototucanoan,Proto-Tucanoan,tuca1253,Tucanoan,,Tucanoan,,feminine,,FEMALE,false,expert
Barasano-88-non3rdanimateperson-1,88-non3rdanimateperson,bɨ,b.ɨ,b ɨ,88-non3rdanimateperson-2,,,Barasano,Barasano,bara1380,Barasana-Eduria,bsn,Tucanoan,,non.3rd.animate.person,2642,HE OR SHE,false,expert
