ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
KimMunLaocai-418_1-1,418_1,ɑ¹¹,ɑ¹¹,ɑ ¹¹,943,,,KimMunLaocai,"Lao Cai, Vietnam",kimm1245,Kim Mun,mji,Hmong-Mien,,1,1493,ONE,false,expert
KimMunLaos-407_1person-1,407_1person,a³³la:n³¹,a³³la:n³¹,a ³³ + l aː n ³¹,427,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,1 (person),,,false,expert
KimMunLaos-426_1000persons-1,426_1000persons,a³³tin³⁵la:n³¹,a³³tin³⁵la:n³¹,a ³³ + t i n ³⁵ + l aː n ³¹,446,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,"1,000 (persons)",,,false,expert
KimMunLaos-429_1000000persons-1,429_1000000persons,a³³lan³¹la:n³¹,a³³lan³¹la:n³¹,a ³³ + l a n ³¹ + l aː n ³¹,449,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,"1,000,000 (persons)",,,false,expert
KimMunLaocai-427_10-1,427_10,sap¹¹,sap¹¹,s a p ¹¹,952,,,KimMunLaocai,"Lao Cai, Vietnam",kimm1245,Kim Mun,mji,Hmong-Mien,,10,1515,TEN,false,expert
KimMunLaos-416_10persons-1,416_10persons,sap³¹la:n³¹,sap³¹la:n³¹,s a p ³¹ + l aː n ³¹,436,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,10 (persons),,,false,expert
KimMunLaos-427_10000persons-1,427_10000persons,sap³¹tin³⁵la:n³¹,sap³¹tin³⁵la:n³¹,s a p ³¹ + t i n ³⁵ + l aː n ³¹,447,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,"10,000 (persons)",,,false,expert
KimMunLaocai-439_100-1,439_100,ap¹¹pɛ²¹⁴,ap¹¹pɛ²¹⁴,a p ¹¹ + p ɛ ²¹⁴,964,,,KimMunLaocai,"Lao Cai, Vietnam",kimm1245,Kim Mun,mji,Hmong-Mien,,100,1634,HUNDRED,false,expert
KimMunLaos-425_100persons-1,425_100persons,a³³pe⁵³la:n³¹,a³³pe⁵³la:n³¹,a ³³ + p e ⁵³ + l aː n ³¹,445,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,100 (persons),,,false,expert
KimMunLaos-428_100000persons-1,428_100000persons,a³³θe³³la:n³¹,a³³θe³³la:n³¹,a ³³ + θ e ³³ + l aː n ³¹,448,,,KimMunLaos,"Luang Nam Tha, Laos",kimm1245,Kim Mun,mji,Hmong-Mien,,"100,000 (persons)",,,false,expert
