ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
LencaSalvador-1_agua-1,1_agua,wal,wal,w a l,1,,,LencaSalvador,Lenca-Salvador,lenc1242,Lenca-Honduras,,Lencan,,water,948,WATER,,
LencaHonduras-1_agua-1,1_agua,was,was,w a s,1,,,LencaHonduras,Lenca-Honduras,lenc1243,Lenca-Salvador,,Lencan,,water,948,WATER,,
Cacaopera-1_agua-1,1_agua,li,li,l i,2,,,Cacaopera,Cacaopera,caca1247,Cacaopera,ccr,Misumalpan,,water,948,WATER,,
Mayangna-1_agua-1,1_agua,was,was,w a s,1,,,Mayangna,Mayangna,maya1285,Mayangna,yan,Misumalpan,,water,948,WATER,,
Ulwa-1_agua-1,1_agua,was,was,w a s,1,,,Ulwa,Ulwa,ulwa1239,Ulwa,ulw,Misumalpan,,water,948,WATER,,
Miskito-1_agua-1,1_agua,li,li,l i,2,,,Miskito,Mískito,misk1235,Mískito,miq,Misumalpan,,water,948,WATER,,
Pech-1_agua-1,1_agua,àsò,àsò,à/a s ò/o,3,,,Pech,Pech,pech1241,Pech,pay,Chibchan,,water,948,WATER,,
Rama-1_agua-1,1_agua,si:,si:,s iː,4,,,Rama,Rama,rama1270,Rama,rma,Chibchan,,water,948,WATER,,
MalekuJaika-1_agua-1,1_agua,ti:,ti:,t iː,4,,,MalekuJaika,Maléku Jaíka,male1297,Maléku Jaíka,gut,Chibchan,,water,948,WATER,,
Boruca-1_agua-1,1_agua,díʔ,díʔ,d í/i ʔ,4,,,Boruca,Boruca,boru1252,Boruca,brn,Chibchan,,water,948,WATER,,
Bribri-1_agua-1,1_agua,dǐʔ,dǐʔ,d ǐ/i ʔ,4,,,Bribri,Bribri,brib1243,Bribri,bzd,Chibchan,,water,948,WATER,,
Cabecar-1_agua-1,1_agua,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,4,,,Cabecar,Cabécar,cabe1245,Cabécar,cjp,Chibchan,,water,948,WATER,,
Teribe-1_agua-1,1_agua,dí,dí,d í/i,4,,,Teribe,Teribe,teri1250,Teribe,tfr,Chibchan,,water,948,WATER,,
Ngabere-1_agua-1,1_agua,ɲɤ,ɲɤ,ɲ ɤ,4,,,Ngabere,Ngäbere,ngab1239,Ngäbere,gym,Chibchan,,water,948,WATER,,
Buglere-1_agua-1,1_agua,tʃi,tʃi,tʃ i,4,,,Buglere,Buglere,bugl1243,Buglere,sab,Chibchan,,water,948,WATER,,
