ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ClassicalNahuatl-1_alltodos-1,1_alltodos,mochi-n,mochi-n,m o tʃ i + n,1,false,,ClassicalNahuatl,Classical Nahuatl,clas1250,Classical Nahuatl,nci,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
TetelcingoNahuatl-1_alltodos-1,1_alltodos,nochiː,nochiː,n o tʃ iː,1,false,,TetelcingoNahuatl,Tetelcingo Nahuatl,tete1251,Tetelcingo Nahuatl,nhg,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
NorthPueblaNahuatl-1_alltodos-1,1_alltodos,nochi-n,nochi-n,n o tʃ i + n,1,false,,NorthPueblaNahuatl,North Puebla Nahuatl,nort2957,Northern Puebla Nahuatl,ncj,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
MecayapanNahuat-1_alltodos-1,1_alltodos,(i)nochi,nochi,n o tʃ i,1,false,,MecayapanNahuat,Mecayapan Nahuat,isth1242,Isthmus-Mecayapan Nahuatl,nhx,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
PajapanNahuat-1_alltodos-1,1_alltodos,nochi,nochi,n o tʃ i,1,false,,PajapanNahuat,Pajapán Nahuat,isth1241,Isthmus-Pajapan Nahuatl,nhp,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
JalupaNahuat-1_alltodos-1,1_alltodos,muchi,muchi,m u tʃ i,1,false,,JalupaNahuat,Jalupa Nahuat,taba1265,Tabasco Nahuatl,nhc,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
Pipil-1_alltodos-1,1_alltodos,muchi,muchi,m u tʃ i,1,false,,Pipil,Pipil,pipi1250,Pipil,ppl,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
Pochutec-1_alltodos-1,1_alltodos,nochó,nochó,n o tʃ ó/o,1,false,,Pochutec,Pochutec,poch1244,Pochutec,xpo,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
ProtoAztecan-1_alltodos-1,1_alltodos,*mochɨ-m,*mochɨ-m,m o tʃ ɨ + m,1,,,ProtoAztecan,Proto-Aztecan,azte1234,Aztec,,Uto-Aztecan,,all (todos) ,98,ALL,false,expert
ClassicalNahuatl-2_ashes-1,2_ashes,nex-tli,nex-tli,n e x + tɬ i,2,false,,ClassicalNahuatl,Classical Nahuatl,clas1250,Classical Nahuatl,nci,Uto-Aztecan,,ashes ,646,ASH,false,expert
TetelcingoNahuatl-2_ashes-1,2_ashes,tlako-nex-tliː,tlako-nex-tliː,tɬ a k o + n e x + tɬ iː,2,false,,TetelcingoNahuatl,Tetelcingo Nahuatl,tete1251,Tetelcingo Nahuatl,nhg,Uto-Aztecan,,ashes ,646,ASH,false,expert
NorthPueblaNahuatl-2_ashes-1,2_ashes,tleko-nex-tli,tleko-nex-tli,tɬ e k o + n e x + tɬ i,2,false,,NorthPueblaNahuatl,North Puebla Nahuatl,nort2957,Northern Puebla Nahuatl,ncj,Uto-Aztecan,,ashes ,646,ASH,false,expert
MecayapanNahuat-2_ashes-1,2_ashes,kwa-neːx,kwa-neːx,kʷ a + n eː x,2,false,,MecayapanNahuat,Mecayapan Nahuat,isth1242,Isthmus-Mecayapan Nahuatl,nhx,Uto-Aztecan,,ashes ,646,ASH,false,expert
