ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
NamHsan-1_sun-1,1_sun,saŋiː,saŋiː,s a + ŋ iː,1-1,,,NamHsan,Namhsan,shwe1236,Shwe Palaung,pll,Austroasiatic,Palaung,sun,1343,SUN,false,expert
KhunHawt-1_sun-1,1_sun,saŋiː,saŋiː,s a + ŋ iː,1-1,,,KhunHawt,Khun Hawt,shwe1236,Shwe Palaung,pll,Austroasiatic,Palaung,sun,1343,SUN,false,expert
HtanHsan-1_sun-1,1_sun,saŋiː,saŋiː,s a + ŋ iː,1-1,,,HtanHsan,Htan Hsan,shwe1236,Shwe Palaung,pll,Austroasiatic,Palaung,sun,1343,SUN,false,expert
PangKham-1_sun-1,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,2-1,,,PangKham,Pangkham,ruch1235,Ruching Palaung,pce,Austroasiatic,Palaung,sun,1343,SUN,false,expert
ManLoi-1_sun-1,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,2-1,,,ManLoi,Man Loi,ruch1235,Ruching Palaung,pce,Austroasiatic,Palaung,sun,1343,SUN,false,expert
MengDan-1_sun-1,1_sun,ŋəj,ŋəj,ŋ əi̯,2-1,,,MengDan,Meng Dan,khan1274,Kháng,kjm,Austroasiatic,Palaung,sun,1343,SUN,false,expert
ChuDongGua-1_sun-1,1_sun,səŋɔj,səŋɔj,s ə + ŋ ɔi̯,2-1,,,ChuDongGua,Chu Dong Gua,shwe1236,Shwe Palaung,pll,Austroasiatic,Palaung,sun,1343,SUN,false,expert
XiangZhaiTang-1_sun-1,1_sun,saŋɛː,saŋɛː,s a + ŋ ɛː,1-1,,,XiangZhaiTang,Xiang Zhai Tang,raoj1238,Raojin,,Austroasiatic,Palaung,sun,1343,SUN,false,expert
PongNuea-1_sun-1,1_sun,saŋɛj,saŋɛj,s a + ŋ ɛi̯,2-1,,,PongNuea,Pong Nuea,ruch1235,Ruching Palaung,pce,Austroasiatic,Palaung,sun,1343,SUN,false,expert
NyaungGone-1_sun-1,1_sun,saŋɛ,saŋɛ,s a + ŋ ɛ,1-1,,,NyaungGone,Nyaung Gone,ruch1235,Ruching Palaung,pce,Austroasiatic,Palaung,sun,1343,SUN,false,expert
