ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Gyalsumdo-20-Body-1,20-Body,suɡu,suɡu,s u + g u,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Body,1480,BODY,,
Gyalsumdo-91-Head-1,91-Head,ko,ko,k o,1284,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Head,1256,HEAD,,
Gyalsumdo-87-Hair-1,87-Hair,ta,ta,t̪ a,1282,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Hair,1040,HAIR,,
Gyalsumdo-60-Face-1,60-Face,ŋot̪oŋ,ŋot̪oŋ,ŋ o + t̪ o ŋ,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Face,1560,FACE,,
Gyalsumdo-59-Eye-1,59-Eye,mi,mi,m i,1246,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Eye,1248,EYE,,
Gyalsumdo-52-Ear-1,52-Ear,amtɕo,amtɕo,a m + tɕ o,1239,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Ear,1247,EAR,,
Gyalsumdo-52-Ear-2,52-Ear,amdʑo,amdʑo,a m + !dʑ/tɕ o,1239,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Ear,1247,EAR,,
Gyalsumdo-142-Nose-1,142-Nose,naɾki,naɾki,n aɾ/a + k i,1352,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Nose,1221,NOSE,,
Gyalsumdo-133-Mouth-1,133-Mouth,kʰa,kʰa,kʰ a,1340,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Mouth,674,MOUTH,,
Gyalsumdo-211-Teeth-1,211-Teeth,so,so,s o,1446,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Teeth,1380,TOOTH,,
Gyalsumdo-210-Tongue-1,210-Tongue,tɕemu,tɕemu,tɕ e + m u,1444,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Tongue,1205,TONGUE,,
Gyalsumdo-25-Breast-1,25-Breast,oma,oma,o + m a,1211,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Breast,1402,BREAST,,
Gyalsumdo-25-Breast-2,25-Breast,ɦoma,ɦoma,ɦ o + m a,1211,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Breast,1402,BREAST,,
Gyalsumdo-14-Belly-1,14-Belly,toba,toba,t̪ o + b a,1193,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Belly,1251,BELLY,,
Gyalsumdo-4-ArmHand-1,4-ArmHand,laɡpa,laɡpa,l a g/k + p a,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Arm/Hand,2121,ARM OR HAND,,
Gyalsumdo-56-Elbow-1,56-Elbow,temaɲuŋ,temaɲuŋ,t̪ e + m a + ɲ u ŋ,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Elbow,981,ELBOW,,
Gyalsumdo-151-Palm-1,151-Palm,laɡpat̪ʰil,laɡpat̪ʰil,l a g/k + p a + t̪ʰ i l,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Palm,1183,PALM OF HAND,,
Gyalsumdo-151-Palm-2,151-Palm,laɡt̪ʰel,laɡt̪ʰel,l a g/k + t̪ʰ e l,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Palm,1183,PALM OF HAND,,
Gyalsumdo-66-Finger-1,66-Finger,tsuɡu,tsuɡu,ts u + g u,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Finger,1303,FINGER,,
Gyalsumdo-67-Fingernail-1,67-Fingernail,seɹmu,seɹmu,s e ɹ + m u,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Fingernail,1258,FINGERNAIL,,
Gyalsumdo-111-Leg-1,111-Leg,kaŋpa,kaŋpa,k a ŋ + p a,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Leg,1297,LEG,,
Gyalsumdo-178-Skin-1,178-Skin,paɡpa,paɡpa,p a g/k + p a,1389,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Skin,763,SKIN,,
Gyalsumdo-178-Skin-2,178-Skin,poɡo,poɡo,p o + g o,1389,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Skin,763,SKIN,,
Gyalsumdo-21-Bone-1,21-Bone,ɹoɡo,ɹoɡo,ɹ o + g o,1208,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Bone,1394,BONE,,
Gyalsumdo-92-Heart-1,92-Heart,ɲiŋ,ɲiŋ,ɲ i ŋ,1288,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Heart,1223,HEART,,
Gyalsumdo-18-Blood-1,18-Blood,tʰak,tʰak,t̪ʰ a k,1206,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Blood,946,BLOOD,,
Gyalsumdo-218-Urine-1,218-Urine,tɕiŋ,tɕiŋ,!tɕ/ts i ŋ,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Urine,1142,URINE,,
Gyalsumdo-61-Faeces-1,61-Faeces,kjaɡpa,kjaɡpa,k j a g/k + p a,23,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Faeces,675,FAECES (EXCREMENT),,
Gyalsumdo-219-Village-1,219-Village,jul,jul,j u l,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Village,930,VILLAGE,,
Gyalsumdo-99-House-1,99-House,kʰaŋpa,kʰaŋpa,kʰ a ŋ + p a,402,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,House,1252,HOUSE,,
Gyalsumdo-166-Roof-1,166-Roof,kʰaŋt̪ø,kʰaŋt̪ø,kʰ a ŋ + t̪ ø,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Roof,769,ROOF,,
Gyalsumdo-166-Roof-2,166-Roof,t̪ʰo,t̪ʰo,t̪ʰ o,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Roof,769,ROOF,,
Gyalsumdo-46-Door-1,46-Door,ko,ko,k o,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Door,1567,DOOR,,
Gyalsumdo-69-Firewood-1,69-Firewood,ɕiŋ,ɕiŋ,ɕ i ŋ,1254,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Firewood,10,FIREWOOD,,
Gyalsumdo-27-Broom-1,27-Broom,tɕʰama,tɕʰama,tɕʰ a + m a,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Broom,245,BROOM,,
Gyalsumdo-130-Mortar-1,130-Mortar,t̪ʰasa,t̪ʰasa,t̪ʰ a + s a,,,,Gyalsumdo,Gyalsumdo,gyal1236,Gyalsumdo,gyo,Sino-Tibetan,Tibetic,Mortar,224,MORTAR,,
