ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Badga-1_i-1,1_i,na,na,n a,I-B,false,,Badga,Badga,bada1257,Badaga,bfq,Dravidian,,I,1209,I,false,expert
Betta_Kurumba-1_i-1,1_i,na:ʋə,na:ʋə,n aː ʋ ə,I-B,false,,Betta_Kurumba,Betta_Kurumba,bett1235,Betta Kurumba,xub,Dravidian,,I,1209,I,false,expert
Brahui-1_i-1,1_i,i:,i:,iː,I-B,false,,Brahui,Brahui,brah1256,Brahui,brh,Dravidian,,I,1209,I,false,expert
Gondi-1_i-1,1_i,nanna,nanna,n a nː a,I-B,false,,Gondi,Gondi,nort2702,Northern Gondi,gno,Dravidian,,I,1209,I,false,expert
Kannada-1_i-1,1_i,na:nu,na:nu,n aː n u,I-B,false,,Kannada,Kannada,nucl1305,Kannada,kan,Dravidian,,I,1209,I,false,expert
Kodava-1_i-1,1_i,na:nə,na:nə,n aː n ə,I-B,false,,Kodava,Kodava,koda1255,Kodava,kfa,Dravidian,,I,1209,I,false,expert
Kolami-1_i-1,1_i,ne:nu,ne:nu,n eː n u,I-B,false,,Kolami,Kolami,nort2699,Northwestern Kolami,kfb,Dravidian,,I,1209,I,false,expert
Kota-1_i-1,1_i,a:n,a:n,aː n,I-B,false,,Kota,Kota,kota1263,Kota (India),kfe,Dravidian,,I,1209,I,false,expert
Koya-1_i-1,1_i,nanna,nanna,n a nː a,I-B,false,,Koya,Koya,koya1251,Koya,kff,Dravidian,,I,1209,I,false,expert
Kurukh-1_i-1,1_i,ae:n,ae:n,a eː n,I-B,false,,Kurukh,Kurukh,kuru1302,Indian Kurux,kru,Dravidian,,I,1209,I,false,expert
Kuwi-1_i-1,1_i,na:nu,na:nu,n aː n u,I-B,false,,Kuwi,Kuwi,kuvi1243,Kuvi,kxv,Dravidian,,I,1209,I,false,expert
Kuwi-1_i-2,1_i,mu,mu,m u,I-B,false,,Kuwi,Kuwi,kuvi1243,Kuvi,kxv,Dravidian,,I,1209,I,false,expert
Malayalam-1_i-1,1_i,ɲa:n,ɲa:n,ɲ aː n,I-B,false,,Malayalam,Malayalam,mala1464,Malayalam,mal,Dravidian,,I,1209,I,false,expert
Malto-1_i-1,1_i,he:nu,he:nu,h eː n u,I-B,false,,Malto,Malto,saur1249,Sauria Paharia,mjt,Dravidian,,I,1209,I,false,expert
Ollari_Gadba-1_i-1,1_i,a:n,a:n,aː n,I-B,false,,Ollari_Gadba,Ollari_Gadba,pott1240,Pottangi Ollar Gadaba,gdb,Dravidian,,I,1209,I,false,expert
Parji-1_i-1,1_i,ān,ān,aː n,I-B,false,,Parji,Parji,duru1236,Duruwa,pci,Dravidian,,I,1209,I,false,expert
Tamil-1_i-1,1_i,na:n,na:n,n aː n,I-B,false,,Tamil,Tamil,tami1289,Tamil,tam,Dravidian,,I,1209,I,false,expert
Telugu-1_i-1,1_i,ne:nu,ne:nu,n eː n u,I-B,false,,Telugu,Telugu,telu1262,Telugu,tel,Dravidian,,I,1209,I,false,expert
Toda-1_i-1,1_i,o:n,o:n,oː n,I-B,false,,Toda,Toda,toda1252,Toda,tcx,Dravidian,,I,1209,I,false,expert
Tulu-1_i-1,1_i,ja:nu,ja:nu,j aː n u,I-B,false,,Tulu,Tulu,tulu1258,Tulu,tcy,Dravidian,,I,1209,I,false,expert
Yeruva-1_i-1,1_i,na:n,na:n,n aː n,I-B,false,,Yeruva,Yeruva,ravu1237,Ravula,yea,Dravidian,,I,1209,I,false,expert
Badga-2_all-1,2_all,ella,ella,e lː a,all-A,false,,Badga,Badga,bada1257,Badaga,bfq,Dravidian,,all,98,ALL,false,expert
Kannada-2_all-1,2_all,ella,ella,e lː a,all-A,false,,Kannada,Kannada,nucl1305,Kannada,kan,Dravidian,,all,98,ALL,false,expert
Kodava-2_all-1,2_all,ella,ella,e lː a,all-A,false,,Kodava,Kodava,koda1255,Kodava,kfa,Dravidian,,all,98,ALL,false,expert
Kota-2_all-1,2_all,ella:m,ella:m,e lː aː m,all-A,false,,Kota,Kota,kota1263,Kota (India),kfe,Dravidian,,all,98,ALL,false,expert
Malayalam-2_all-1,2_all,ella,ella,e lː a,all-A,false,,Malayalam,Malayalam,mala1464,Malayalam,mal,Dravidian,,all,98,ALL,false,expert
Tamil-2_all-1,2_all,ella:m,ella:m,e lː aː m,all-A,false,,Tamil,Tamil,tami1289,Tamil,tam,Dravidian,,all,98,ALL,false,expert
Koya-2_all-1,2_all,anta:,anta:,a n t aː,all-B,false,,Koya,Koya,koya1251,Koya,kff,Dravidian,,all,98,ALL,false,expert
Telugu-2_all-1,2_all,anta,anta,a n t a,all-B,false,,Telugu,Telugu,telu1262,Telugu,tel,Dravidian,,all,98,ALL,false,expert
Koya-2_all-2,2_all,mottam,mottam,m o tː a m,all-C,false,,Koya,Koya,koya1251,Koya,kff,Dravidian,,all,98,ALL,false,expert
Telugu-2_all-2,2_all,mottamu,mottamu,m o tː a m u,all-C,false,,Telugu,Telugu,telu1262,Telugu,tel,Dravidian,,all,98,ALL,false,expert
Toda-2_all-1,2_all,oʋʋoɖimo,oʋʋoɖimo,o ʋː o ɖ i m o,all-D,false,,Toda,Toda,toda1252,Toda,tcx,Dravidian,,all,98,ALL,false,expert
Telugu-2_all-3,2_all,anni,anni,a nː i,all-E,false,,Telugu,Telugu,telu1262,Telugu,tel,Dravidian,,all,98,ALL,false,expert
