ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Tenen_Palian-1_animal-1,1_animal,ʔay,ʔay,ʔ a j,1_animal_0,false,,Tenen_Palian,Tenen Palian,tong1308,Maniq,tnz,Austroasiatic,,animal,619,ANIMAL,false,expert
Tenen_Palian-2_back-1,2_back,kaʁɔʔ,kaʁɔʔ,k a ʁ ɔ ʔ,2_back_0,false,,Tenen_Palian,Tenen Palian,tong1308,Maniq,tnz,Austroasiatic,,back,1291,BACK,false,expert
Tenen_Palian-3_bad-1,3_bad,gbaʔ,gbaʔ,g b a ʔ,3_bad_3,false,,Tenen_Palian,Tenen Palian,tong1308,Maniq,tnz,Austroasiatic,,bad,1292,BAD,false,expert
Tenen_Palian-4_belly-1,4_belly,ʔɛc,ʔɛc,ʔ ɛ c,4_belly_0,false,,Tenen_Palian,Tenen Palian,tong1308,Maniq,tnz,Austroasiatic,,belly,1251,BELLY,false,expert
Tenen_Palian-5_big-1,5_big,caw,caw,c a w,5_big_6,false,,Tenen_Palian,Tenen Palian,tong1308,Maniq,tnz,Austroasiatic,,big,1202,BIG,false,expert
Tenen_Paborn-1_animal-1,1_animal,bsiŋ,bsiŋ,b s i ŋ,1_animal_6,false,,Tenen_Paborn,Tenen Paborn,tong1308,Maniq,tnz,Austroasiatic,,animal,619,ANIMAL,false,expert
Tenen_Paborn-2_back-1,2_back,kaʁɔʔ,kaʁɔʔ,k a ʁ ɔ ʔ,2_back_0,false,,Tenen_Paborn,Tenen Paborn,tong1308,Maniq,tnz,Austroasiatic,,back,1291,BACK,false,expert
Tenen_Paborn-3_bad-1,3_bad,baʔ,baʔ,b a ʔ,3_bad_3,false,,Tenen_Paborn,Tenen Paborn,tong1308,Maniq,tnz,Austroasiatic,,bad,1292,BAD,false,expert
Tenen_Paborn-4_belly-1,4_belly,ʔec,ʔec,ʔ e c,4_belly_0,false,,Tenen_Paborn,Tenen Paborn,tong1308,Maniq,tnz,Austroasiatic,,belly,1251,BELLY,false,expert
Tenen_Paborn-5_big-1,5_big,ʔahaw,ʔahaw,ʔ a h a w,5_big_7,false,,Tenen_Paborn,Tenen Paborn,tong1308,Maniq,tnz,Austroasiatic,,big,1202,BIG,false,expert
Maniq-1_animal-1,1_animal,ʔay,ʔay,ʔ a j,1_animal_0,false,,Maniq,Maniq,tong1308,Maniq,tnz,Austroasiatic,,animal,619,ANIMAL,false,expert
Maniq-2_back-1,2_back,kaʔɔʔ,kaʔɔʔ,k a ʔ ɔ ʔ,2_back_0,false,,Maniq,Maniq,tong1308,Maniq,tnz,Austroasiatic,,back,1291,BACK,false,expert
Maniq-3_bad-1,3_bad,ɡəbaʔ,ɡəbaʔ,g ə b a ʔ,3_bad_3,false,,Maniq,Maniq,tong1308,Maniq,tnz,Austroasiatic,,bad,1292,BAD,false,expert
Maniq-4_belly-1,4_belly,cɨŋ,cɨŋ,c ɨ ŋ,4_belly_1,false,,Maniq,Maniq,tong1308,Maniq,tnz,Austroasiatic,,belly,1251,BELLY,false,expert
Maniq-5_big-1,5_big,ʔəhaw,ʔəhaw,ʔ ə h a w,5_big_7,false,,Maniq,Maniq,tong1308,Maniq,tnz,Austroasiatic,,big,1202,BIG,false,expert
Kensiw_Perak-1_animal-1,1_animal,hapɔʔ,hapɔʔ,h a p ɔ ʔ,1_animal_3,false,,Kensiw_Perak,Kensiw Perak,kens1248,Kensiu,kns,Austroasiatic,,animal,619,ANIMAL,false,expert
Kensiw_Perak-2_back-1,2_back,kyɔʔ,kyɔʔ,k j ɔ ʔ,2_back_0,false,,Kensiw_Perak,Kensiw Perak,kens1248,Kensiu,kns,Austroasiatic,,back,1291,BACK,false,expert
