ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
english-2_all-1,2_all,ɔ:l,ɔː.l,ɔː l,175,false,,english,English,stan1293,English,eng,Indo-European,,all,98,ALL,false,expert
german-2_all-1,2_all,'alə,a.l.ə,a l ə,175,false,,german,German,stan1295,German,deu,Indo-European,,all,98,ALL,false,expert
armenianmod-2_all-1,2_all,boˈloɾ,b.o.l.o.ɾ,b o l o ɾ,566,false,,armenianmod,Armenian_Mod,nucl1235,Eastern Armenian,hye,Indo-European,,all,98,ALL,false,expert
greekmod-2_all-1,2_all,ˈo̞lo̞s,o̞.l.o̞.s,o̞ l o̞ s,965,false,,greekmod,Greek_Mod,mode1248,Modern Greek,ell,Indo-European,,all,98,ALL,false,expert
italian-2_all-1,2_all,'tutto,t.u.tː.o,t u tː o,543,false,,italian,Italian,ital1282,Italian,ita,Indo-European,,all,98,ALL,false,expert
marathi-2_all-1,2_all,"'səɾwə, 'səgɭə",s.ə.ɾ.w.ə,s ə ɾ w ə,748,false,,marathi,Marathi,mara1378,Marathi,mar,Indo-European,,all,98,ALL,false,expert
danish-2_all-1,2_all,ɛl,ɛ.l,ɛ l,175,false,,danish,Danish,dani1285,Danish,dan,Indo-European,,all,98,ALL,false,expert
portuguesest-2_all-1,2_all,ˈtoðu,t.o.ð.u,t o ð u,543,false,,portuguesest,Portuguese_ST,port1283,Portuguese,por,Indo-European,,all,98,ALL,false,expert
french-2_all-1,2_all,tu,t.u,t u,543,false,,french,French,stan1290,French,fra,Indo-European,,all,98,ALL,false,expert
russian-2_all-1,2_all,vsʲo,v.sʲ.o,v sʲ o,1102,false,,russian,Russian,russ1263,Russian,rus,Indo-European,,all,98,ALL,false,expert
spanish-2_all-1,2_all,'toðo,t.o.ð.o,t o ð o,543,false,,spanish,Spanish,stan1288,Spanish,spa,Indo-European,,all,98,ALL,false,expert
swedish-2_all-1,2_all,ˈala,a.l.a,a l a,175,false,,swedish,Swedish,swed1254,Swedish,swe,Indo-European,,all,98,ALL,false,expert
bihari-2_all-1,2_all,səb,s.ə.b,s ə b,748,false,,bihari,Bihari,mait1250,Maithili,mai,Indo-European,,all,98,ALL,false,expert
oriya-2_all-1,2_all,sɔbɔ,s.ɔ.b.ɔ,s ɔ b ɔ,748,false,,oriya,Oriya,oriy1255,Odia,ory,Indo-European,,all,98,ALL,false,expert
dutchlist-2_all-1,2_all,'ɑləs,ɑ.l.ə.s,ɑ l ə s,175,false,,dutchlist,Dutch_List,dutc1256,Dutch,nld,Indo-European,,all,98,ALL,false,expert
czech-2_all-1,2_all,fʃɪxɲɪ,f.ʃ.ɪ.x.ɲ.ɪ,f ʃ ɪ x ɲ ɪ,1102,false,,czech,Czech,czec1258,Czech,ces,Indo-European,,all,98,ALL,false,expert
bretonst-2_all-1,2_all,ɔl,ɔ.l,ɔ l,965,false,,bretonst,Breton_ST,bret1244,Breton,bre,Indo-European,,all,98,ALL,false,expert
catalan-2_all-1,2_all,tot,t.o.t,t o t,543,false,,catalan,Catalan,stan1289,Catalan,cat,Indo-European,,all,98,ALL,false,expert
urdu-2_all-1,2_all,səb,s.ə.b,s ə b,748,false,,urdu,Urdu,urdu1245,Urdu,urd,Indo-European,,all,98,ALL,false,expert
polish-2_all-1,2_all,ˈkaʒdɨ,k.a.ʒ.d.ɨ,k a ʒ d ɨ,3542,false,,polish,Polish,poli1260,Polish,pol,Indo-European,,all,98,ALL,false,expert
armenianmod-3_and-1,3_and,jɛv,j.ɛ.v,j ɛ v,567,false,,armenianmod,Armenian_Mod,nucl1235,Eastern Armenian,hye,Indo-European,,and,1577,AND,false,expert
bretonst-3_and-1,3_and,a,a,a,966,false,,bretonst,Breton_ST,bret1244,Breton,bre,Indo-European,,and,1577,AND,false,expert
catalan-3_and-1,3_and,i,i,i,848,false,,catalan,Catalan,stan1289,Catalan,cat,Indo-European,,and,1577,AND,false,expert
czech-3_and-1,3_and,a,a,a,1103,false,,czech,Czech,czec1258,Czech,ces,Indo-European,,and,1577,AND,false,expert
danish-3_and-1,3_and,"ɒw, ʌ",ɒ.w,ɒ w,1303,false,,danish,Danish,dani1285,Danish,dan,Indo-European,,and,1577,AND,false,expert
dutchlist-3_and-1,3_and,ɛn,ɛ.n,ɛ n,176,false,,dutchlist,Dutch_List,dutc1256,Dutch,nld,Indo-European,,and,1577,AND,false,expert
english-3_and-1,3_and,ænd,æ.n.d,æ n d,176,false,,english,English,stan1293,English,eng,Indo-European,,and,1577,AND,false,expert
french-3_and-1,3_and,e,e,e,848,false,,french,French,stan1290,French,fra,Indo-European,,and,1577,AND,false,expert
german-3_and-1,3_and,ʊnt,ʊ.n.t,ʊ n t,176,false,,german,German,stan1295,German,deu,Indo-European,,and,1577,AND,false,expert
greekmod-3_and-1,3_and,"ce̞, c(i)",c.e̞,c e̞,1447,false,,greekmod,Greek_Mod,mode1248,Modern Greek,ell,Indo-European,,and,1577,AND,false,expert
italian-3_and-1,3_and,"e, ed",e,e,848,false,,italian,Italian,ital1282,Italian,ita,Indo-European,,and,1577,AND,false,expert
marathi-3_and-1,3_and,'ani,a.n.i,a n i,1591,false,,marathi,Marathi,mara1378,Marathi,mar,Indo-European,,and,1577,AND,false,expert
polish-3_and-1,3_and,i,i,i,1103,false,,polish,Polish,poli1260,Polish,pol,Indo-European,,and,1577,AND,false,expert
portuguesest-3_and-1,3_and,i,i,i,848,false,,portuguesest,Portuguese_ST,port1283,Portuguese,por,Indo-European,,and,1577,AND,false,expert
russian-3_and-1,3_and,i,i,i,1103,false,,russian,Russian,russ1263,Russian,rus,Indo-European,,and,1577,AND,false,expert
spanish-3_and-1,3_and,i,i,i,848,false,,spanish,Spanish,stan1288,Spanish,spa,Indo-European,,and,1577,AND,false,expert
swedish-3_and-1,3_and,ɔ(kː),ɔ.kː,ɔ kː,1303,false,,swedish,Swedish,swed1254,Swedish,swe,Indo-European,,and,1577,AND,false,expert
oriya-3_and-1,3_and,o,o,o,1,false,,oriya,Oriya,oriy1255,Odia,ory,Indo-European,,and,1577,AND,false,expert
bihari-3_and-1,3_and,aur,au.r,au r,1,false,,bihari,Bihari,mait1250,Maithili,mai,Indo-European,,and,1577,AND,false,expert
urdu-3_and-1,3_and,ʔɔɾ,ʔ.ɔ.ɾ,ʔ ɔ ɾ,1,false,,urdu,Urdu,urdu1245,Urdu,urd,Indo-European,,and,1577,AND,false,expert
armenianmod-4_animal-1,4_animal,kɛntʰɑˈni,k.ɛ.n.tʰ.ɑ.n.i,k ɛ n tʰ ɑ n i,3385,false,,armenianmod,Armenian_Mod,nucl1235,Eastern Armenian,hye,Indo-European,,animal,619,ANIMAL,false,expert
bretonst-4_animal-1,4_animal,ɑ̃ˈneval,ɑ̃.n.e.v.a.l,ɑ̃ n e v a l,849,false,,bretonst,Breton_ST,bret1244,Breton,bre,Indo-European,,animal,619,ANIMAL,false,expert
catalan-4_animal-1,4_animal,əni’mal,ə.n.i.m.a.l,ə n i m a l,849,false,,catalan,Catalan,stan1289,Catalan,cat,Indo-European,,animal,619,ANIMAL,false,expert
czech-4_animal-1,4_animal,zviːr̝ɛ,z.v.iː.r̝.ɛ,z v iː r̝ ɛ,1104,false,,czech,Czech,czec1258,Czech,ces,Indo-European,,animal,619,ANIMAL,false,expert
danish-4_animal-1,4_animal,"ˈd̥yːʌ, 'd̥yɐ̯",d̥.yːʌ,d̥/d yː ʌ,177,false,,danish,Danish,dani1285,Danish,dan,Indo-European,,animal,619,ANIMAL,false,expert
dutchlist-4_animal-1,4_animal,dir,d.i.r,d i r,177,false,,dutchlist,Dutch_List,dutc1256,Dutch,nld,Indo-European,,animal,619,ANIMAL,false,expert
english-4_animal-1,4_animal,'ænɪməl,æ.n.ɪ.m.ə.l,æ n ɪ m ə l,849,false,,english,English,stan1293,English,eng,Indo-European,,animal,619,ANIMAL,false,expert
french-4_animal-1,4_animal,animal,a.n.i.m.a.l,a n i m a l,849,false,,french,French,stan1290,French,fra,Indo-European,,animal,619,ANIMAL,false,expert
german-4_animal-1,4_animal,ti:ɐ̯,t.iːɐ̯,t iː ɐ̯,177,false,,german,German,stan1295,German,deu,Indo-European,,animal,619,ANIMAL,false,expert
greekmod-4_animal-1,4_animal,ˈzo̞ˌo̞,z.o̞o̞,z o̞ː,2176,false,,greekmod,Greek_Mod,mode1248,Modern Greek,ell,Indo-European,,animal,619,ANIMAL,false,expert
italian-4_animal-1,4_animal,ani'male,a.n.i.m.a.l.e,a n i m a l e,849,false,,italian,Italian,ital1282,Italian,ita,Indo-European,,animal,619,ANIMAL,false,expert
polish-4_animal-1,4_animal,ˈzvʲɛʒɛ̃,z.vʲ.ɛ.ʒ.ɛ̃,z vʲ ɛ ʒ ɛ̃,1104,false,,polish,Polish,poli1260,Polish,pol,Indo-European,,animal,619,ANIMAL,false,expert
portuguesest-4_animal-1,4_animal,ɐniˈmaɫ,ɐ.n.i.m.a.ɫ,ɐ n i m a ɫ,849,false,,portuguesest,Portuguese_ST,port1283,Portuguese,por,Indo-European,,animal,619,ANIMAL,false,expert
russian-4_animal-1,4_animal,ʒɨ'votnoe,ʒ.ɨ.v.o.t.n.oe,ʒ ɨ v o t n oe,2176,false,,russian,Russian,russ1263,Russian,rus,Indo-European,,animal,619,ANIMAL,false,expert
spanish-4_animal-1,4_animal,ani'mal,a.n.i.m.a.l,a n i m a l,849,false,,spanish,Spanish,stan1288,Spanish,spa,Indo-European,,animal,619,ANIMAL,false,expert
swedish-4_animal-1,4_animal,jʉːr,j.ʉː.r,j ʉː r,177,false,,swedish,Swedish,swed1254,Swedish,swe,Indo-European,,animal,619,ANIMAL,false,expert
oriya-4_animal-1,4_animal,praṇi,p.r.a.ɳ.i,p r a ɳ i,849,false,,oriya,Oriya,oriy1255,Odia,ory,Indo-European,,animal,619,ANIMAL,false,expert
oriya-4_animal-2,4_animal,pɔsu,p.ɔ.s.u,p ɔ s u,2177,false,,oriya,Oriya,oriy1255,Odia,ory,Indo-European,,animal,619,ANIMAL,false,expert
bihari-4_animal-1,4_animal,janbər,j.a.n.b.ə.r,j a n b ə r,684,false,,bihari,Bihari,mait1250,Maithili,mai,Indo-European,,animal,619,ANIMAL,false,expert
oriya-4_animal-3,4_animal,ǰɔntu,ǰ.ɔ.n.t.u,ǰ/dʒ ɔ n t u,684,false,,oriya,Oriya,oriy1255,Odia,ory,Indo-European,,animal,619,ANIMAL,false,expert
urdu-4_animal-1,4_animal,ʤɑnwəɾ,ʤ.ɑ.n.w.ə.ɾ,dʒ ɑ n w ə ɾ,684,false,,urdu,Urdu,urdu1245,Urdu,urd,Indo-European,,animal,619,ANIMAL,false,expert
bretonst-4_animal-2,4_animal,lo.ɛ̃n,l.o.ɛ̃.n,l o ɛ̃ n,2429,false,,bretonst,Breton_ST,bret1244,Breton,bre,Indo-European,,animal,619,ANIMAL,false,expert
marathi-4_animal-1,4_animal,dzən'awəɾ,d.z.ə.n.a.w.ə.ɾ,d z ə n a w ə ɾ,684,false,,marathi,Marathi,mara1378,Marathi,mar,Indo-European,,animal,619,ANIMAL,false,expert
armenianmod-5_ashes-1,5_ashes,moˈχiɾ,m.o.χ.i.ɾ,m o χ i ɾ,568,false,,armenianmod,Armenian_Mod,nucl1235,Eastern Armenian,hye,Indo-European,,ashes,646,ASH,false,expert
