ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Amharic-1_added-1,1_added,dǝmmǝrǝ1,dǝmmǝrǝ,d ə mː ə r ə,1,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,added,,,,
Amharic-2_all-1,2_all,hullum1,hullum,h u lː u m,2,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,all,98,ALL,,
Amharic-3_arm-1,3_arm,kɨnd1,kɨnd,k ɨ n d,3,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,arm,1673,ARM,,
Amharic-4_back-1,4_back,ğǝrba1,ğǝrba,dʒ ə r b a,4,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,back,1291,BACK,,
Amharic-5_barley-1,5_barley,gǝbs1,gǝbs,g ə b s,5,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,barley,932,BARLEY,,
Amharic-6_beautiful-1,6_beautiful,mǝlkam1,mǝlkam,m ə l k a m,6,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,beautiful,1427,BEAUTIFUL,,
Amharic-7_bed-1,7_bed,ʔalga1,ʔalga,ʔ a l g a,7,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,bed,1663,BED,,
Amharic-8_belt-1,8_belt,ќǝbǝtto1,ќǝbǝtto,ќ/kʼ ə b ə tː o,8,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,belt,772,BELT,,
Amharic-9_big-1,9_big,tɨllɨќ1,tɨllɨќ,t ɨ lː ɨ kʼ,9,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,big,1202,BIG,,
Amharic-10_black-1,10_black,ťɨќur1,ťɨќur,ť/tʼ ɨ ќ/kʼ u r,10,,,Amharic,Amharic,amha1245,Amharic,amh,Afro-Asiatic,,black,163,BLACK,,
Argobba-1_added-1,1_added,ćemmǝra1,ćemmǝra,ć/tʃʼ e mː ə r a,1,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,added,,,,
Argobba-2_all-1,2_all,diyyum1,diyyum,d i yy/jː u m,2,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,all,98,ALL,,
Argobba-3_arm-1,3_arm,kɨrra1,kɨrra,k ɨ rː a,3,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,arm,1673,ARM,,
Argobba-4_back-1,4_back,ğeed1,ğeed,dʒ eː d,4,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,back,1291,BACK,,
Argobba-5_barley-1,5_barley,masɨla2,masɨla,m a s ɨ l a,11,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,barley,932,BARLEY,,
Argobba-6_beautiful-1,6_beautiful,ťɨru2,ťɨru,ť/tʼ ɨ r u,12,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,beautiful,1427,BEAUTIFUL,,
Argobba-7_bed-1,7_bed,ʔalga1,ʔalga,ʔ a l g a,7,,,Argobba,Argobba,argo1244,Argobba,agj,Afro-Asiatic,,bed,1663,BED,,
