ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
TibetanWritten-969_i-1,969_i,ŋa,ŋa,ŋ a,969_i-1,,,TibetanWritten,Tibetan (Written),clas1254,Classical Tibetan,xct,Sino-Tibetan,,I,1209,I,false,expert
TibetanLhasa-969_i-1,969_i,ŋa¹³,ŋa¹³,ŋ a ¹³,969_i-1,,,TibetanLhasa,Tibetan (Lhasa),tibe1272,Tibetan,bod,Sino-Tibetan,,I,1209,I,false,expert
TibetanDege-969_i-1,969_i,ŋa¹³,ŋa¹³,ŋ a ¹³,969_i-1,,,TibetanDege,Tibetan (Dege),kham1282,Khams Tibetan,khg,Sino-Tibetan,,I,1209,I,false,expert
TibetanXiahe-969_i-1,969_i,ŋa,ŋa,ŋ a,969_i-1,,,TibetanXiahe,Tibetan (Xiahe),amdo1237,Amdo Tibetan,adx,Sino-Tibetan,,I,1209,I,false,expert
TibetanZeku-969_i-1,969_i,ŋa,ŋa,ŋ a,969_i-1,,,TibetanZeku,Tibetan (Zeku),amdo1237,Amdo Tibetan,adx,Sino-Tibetan,,I,1209,I,false,expert
MenbaCuona-969_i-1,969_i,ŋe¹³,ŋe¹³,ŋ e ¹³,969_i-1,,,MenbaCuona,Menba (Cuona),,,,,,I,1209,I,false,expert
MenbaMotuo-969_i-1,969_i,dʑaŋ,dʑaŋ,dʑ a ŋ,969_i-7,,,MenbaMotuo,Menba (Motuo),,,,,,I,1209,I,false,expert
QiangMawo-969_i-1,969_i,qɑ,qɑ,q ɑ,969_i-1,,,QiangMawo,Qiang (Mawo),nort2722,Northern Qiang,cng,Sino-Tibetan,,I,1209,I,false,expert
QiangTaoping-969_i-1,969_i,ŋɑ⁵⁵; qɑ⁵⁵,ŋɑ⁵⁵,ŋ ɑ ⁵⁵,969_i-1,,,QiangTaoping,Qiang (Taoping),sout2728,Southern Qiang,qxs,Sino-Tibetan,,I,1209,I,false,expert
PumiTaoba-969_i-1,969_i,a³⁵,a³⁵,a ³⁵,969_i-10,,,PumiTaoba,Pumi (Taoba),nort2723,Northern Pumi,pmi,Sino-Tibetan,,I,1209,I,false,expert
PumiQinghua-969_i-1,969_i,ɛ⁵⁵,ɛ⁵⁵,ɛ ⁵⁵,969_i-10,,,PumiQinghua,Pumi (Qinghua),sout2729,Southern Pumi,pmj,Sino-Tibetan,,I,1209,I,false,expert
rGyalrongSomo-969_i-1,969_i,ŋa,ŋa,ŋ a,969_i-1,,,rGyalrongSomo,rGyalrong (Somo),jiar1240,Northern Gyalrong,jya,Sino-Tibetan,,I,1209,I,false,expert
Ergong-969_i-1,969_i,ŋɛ,ŋɛ,ŋ ɛ,969_i-1,,,Ergong,Ergong,horp1239,Stau-Dgebshes,ero,Sino-Tibetan,,I,1209,I,false,expert
MuyaMinyak-969_i-1,969_i,ŋɯ⁵⁵,ŋɯ⁵⁵,ŋ ɯ ⁵⁵,969_i-1,,,MuyaMinyak,Muya [Minyak],muya1239,Muya,mvm,Sino-Tibetan,,I,1209,I,false,expert
ZhebaQueyu-969_i-1,969_i,ŋa³⁵,ŋa³⁵,ŋ a ³⁵,969_i-1,,,ZhebaQueyu,Zhaba [Queyu],quey1238,Queyu,qvy,Sino-Tibetan,,I,1209,I,false,expert
Guiqiong-969_i-1,969_i,ŋø³⁵,ŋø³⁵,ŋ ø ³⁵,969_i-1,,,Guiqiong,Guiqiong,guiq1238,Guiqiong,gqi,Sino-Tibetan,,I,1209,I,false,expert
ErsuGanluo-969_i-1,969_i,ɑ⁵⁵,ɑ⁵⁵,ɑ ⁵⁵,969_i-10,,,ErsuGanluo,Ersu (Ganluo),ersu1241,Ersu,ers,Sino-Tibetan,,I,1209,I,false,expert
Namuyi-969_i-1,969_i,ŋa⁵⁵,ŋa⁵⁵,ŋ a ⁵⁵,969_i-1,,,Namuyi,Namuyi,namu1246,Namuyi,nmy,Sino-Tibetan,,I,1209,I,false,expert
ShixingXumi-969_i-1,969_i,ŋɐ⁵⁵,ŋɐ⁵⁵,ŋ ɐ ⁵⁵,969_i-1,,,ShixingXumi,Shixing [Xumi],shix1238,Shixing,sxg,Sino-Tibetan,,I,1209,I,false,expert
YiXide-969_i-1,969_i,ŋa³³,ŋa³³,ŋ a ³³,969_i-1,,,YiXide,Yi (Xide),sich1238,Sichuan Yi,iii,Sino-Tibetan,,I,1209,I,false,expert
YiDafang-969_i-1,969_i,ŋo²¹,ŋo²¹,ŋ o ²¹,969_i-1,,,YiDafang,Yi (Dafang),wusa1235,Wusa Nasu,yig,Sino-Tibetan,,I,1209,I,false,expert
YiNanjian-969_i-1,969_i,ŋɑ⁵⁵,ŋɑ⁵⁵,ŋ ɑ ⁵⁵,969_i-1,,,YiNanjian,Yi (Nanjian),xish1235,Xishanba Lalo,ywt,Sino-Tibetan,,I,1209,I,false,expert
YiNanhua-969_i-1,969_i,ŋo³³,ŋo³³,ŋ o ³³,969_i-1,,,YiNanhua,Yi (Nanhua),lolo1259,Lolopo,ycl,Sino-Tibetan,,I,1209,I,false,expert
YiMile-969_i-1,969_i,ŋo³³,ŋo³³,ŋ o ³³,969_i-1,,,YiMile,Yi (Mile),,,,,,I,1209,I,false,expert
MojiangYi-969_i-1,969_i,ŋo²¹,ŋo²¹,ŋ o ²¹,969_i-1,,,MojiangYi,Yi (Mojiang),nucl1833,Nuclear Nisu,,Sino-Tibetan,,I,1209,I,false,expert
Liso-969_i-1,969_i,ŋuɑ⁴⁴,ŋuɑ⁴⁴,ŋ w ɑ ⁴⁴,969_i-1,,,Liso,Lisu,lisu1250,Lisu,lis,Sino-Tibetan,,I,1209,I,false,expert
LijangNaxi-969_i-1,969_i,ŋə³¹,ŋə³¹,ŋ ə ³¹,969_i-1,,,LijangNaxi,Naxi (Lijiang),nais1236,Naish,,Sino-Tibetan,,I,1209,I,false,expert
YongningNaxi-969_i-1,969_i,ȵɑ³³,ȵɑ³³,ɲ ɑ ³³,969_i-1,,,YongningNaxi,Naxi (Yongning),nais1236,Naish,,Sino-Tibetan,,I,1209,I,false,expert
BikaHani-969_i-1,969_i,ŋa⁵⁵,ŋa⁵⁵,ŋ a ⁵⁵,969_i-1,,,BikaHani,Hani (Bika),,,,,,I,1209,I,false,expert
HayaHani-969_i-1,969_i,ŋa⁵⁵,ŋa⁵⁵,ŋ a ⁵⁵,969_i-1,,,HayaHani,Hani (Haya),,,,,,I,1209,I,false,expert
HaobaiHani-969_i-1,969_i,ŋɔ⁵⁵,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,969_i-1,,,HaobaiHani,Hani (Haobai),,,,,,I,1209,I,false,expert
