ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Mawe-1_all-1,1_all,t o r a n i a,t o r a n i a,t o r a n i a,all-4,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,ALL,98,ALL,false,expert
Mawe-2_arm-1,2_arm,m o p ɨ,m o p ɨ,m o p ɨ,arm-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,ARM,1673,ARM,false,expert
Mawe-3_arrow-1,3_arrow,m o r ɨ ʔ a,m o r ɨ ʔ a,m o r ɨ ʔ a,arrow-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,ARROW,977,ARROW,false,expert
Mawe-4_ash-1,4_ash,ɨ w ɨ r u p,ɨ w ɨ r u p,ɨ w ɨ r u p,ash-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,ASH,646,ASH,false,expert
Mawe-5_axe-1,5_axe,ɨ w ɨ k a p,ɨ w ɨ k a p,ɨ w ɨ k a p,axe-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,AXE,677,AXE,false,expert
Mawe-6_back-1,6_back,a p e,a p e,a p e,back-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BACK,1291,BACK,false,expert
Mawe-7_badevil-1,7_badevil,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,badevil-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BAD/EVIL,3764,BAD OR EVIL,false,expert
Mawe-8_bamboo-1,8_bamboo,a kʷ a r a,a kʷ a r a,a kʷ a r a,bamboo-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BAMBOO,1927,BAMBOO,false,expert
Mawe-9_banana-1,9_banana,p a k u a,p a k u a,p a k u a,banana-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BANANA,868,BANANA,false,expert
Mawe-10_basket-1,10_basket,h ɨ t,h ɨ t,h ɨ t,basket-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BASKET,1539,BASKET,false,expert
Mawe-11_bat-1,11_bat,h a k i ʔ i,h a k i ʔ i,h a k i ʔ i,bat-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BAT,1793,BAT,false,expert
Mawe-12_bewrong-1,12_bewrong,a p a r a p,a p a r a p,a p a r a p,bewrong-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BE_WRONG,1390,WRONG,false,expert
Mawe-13_beans-1,13_beans,k u m a n a,k u m a n a,k u m a n a,beans-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BEANS,832,BEAN,false,expert
Mawe-15_belly-1,15_belly,p ɨ r u m ʔ a,p ɨ r u m ʔ a,p ɨ r u m ʔ a,belly-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BELLY,1251,BELLY,false,expert
Mawe-16_break-1,16_break,w e j,w e j,w e j,break-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BREAK,3020,BREAK (BREAKING),false,expert
Mawe-17_big-1,17_big,w a t o,w a t o,w a t o,big-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BIG,1202,BIG,false,expert
Mawe-18_bird-1,18_bird,w ei t a,w ei t a,w ei t a,bird-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BIRD,937,BIRD,false,expert
Mawe-19_bite-1,19_bite,k a t u ʔ u,k a t u ʔ u,k a t u ʔ u,bite-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BITE,1403,BITE,false,expert
Mawe-20_black-1,20_black,h u n,h u n,h u n,black-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BLACK,163,BLACK,false,expert
Mawe-21_blow-1,21_blow,p e h u,p e h u,p e h u,blow-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BLOW,176,BLOW (WITH MOUTH),false,expert
Mawe-22_bone-1,22_bone,k a ŋ,k a ŋ,k a ŋ,bone-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BONE,1394,BONE,false,expert
Mawe-23_boy-1,23_boy,k u r u m,k u r u m,k u r u m,boy-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BOY,1366,BOY,false,expert
Mawe-24_branch-1,24_branch,e ŋ a,e ŋ a,e ŋ a,branch-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BRANCH,1531,BRANCH,false,expert
Mawe-25_breast-1,25_breast,n a m,n a m,n a m,breast-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BREAST,1402,BREAST,false,expert
Mawe-26_breathe-1,26_breathe,p ɨ h u,p ɨ h u,p ɨ h u,breathe-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BREATHE,1407,BREATHE,false,expert
Mawe-27_burnintr-1,27_burnintr,a t i w u k,a t i w u k,a t i w u k,burnintr-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BURN_intr,1428,BURNING,false,expert
Mawe-28_burntr-1,28_burntr,wu k,wu k,w u k,burntr-3,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BURN_tr,141,BURN (SOMETHING),false,expert
Mawe-29_bury-1,29_bury,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,bury-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BURY,1719,BURY,false,expert
Mawe-30_bush-1,30_bush,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,bush-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BUSH,201,FARM,false,expert
Mawe-31_butterfly-1,31_butterfly,m o r o p e ʔ i,m o r o p e ʔ i,m o r o p e ʔ i,butterfly-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,BUTTERFLY,1791,BUTTERFLY,false,expert
Mawe-32_cair-1,32_cair,ʔ a t,ʔ a t,ʔ a t,,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CAIR,,,,
Mawe-33_canoe-1,33_canoe,ja r a,ja r a,j a r a,canoe-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CANOE,1970,CANOE,false,expert
Mawe-35_cloud-1,35_cloud,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,cloud-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CLOUD,1489,CLOUD,false,expert
Mawe-36_coati-1,36_coati,m u s ĩ,m u s ĩ,m u s ĩ,coati-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,COATI,2389,COATI (COATIMUNDI),false,expert
Mawe-37_come-1,37_come,o t,o t,o t,come-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,COME,1446,COME,false,expert
Mawe-38_comb-1,38_comb,k ɨ w a,k ɨ w a,k ɨ w a,comb-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,COMB,1475,COMB,false,expert
Mawe-39_corn-1,39_corn,a w a t i,a w a t i,a w a t i,corn-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CORN,506,MAIZE,false,expert
Mawe-40_cotton-1,40_cotton,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,cotton-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,COTTON,1850,COTTON,false,expert
Mawe-41_cry-1,41_cry,w a k,w a k,w a k,cry-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CRY,1839,CRY,false,expert
Mawe-42_cut-1,42_cut,a t i ʔ t e k,a t i ʔ t e k,a t i ʔ t e k,cut-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,CUT,1432,CUT,false,expert
Mawe-43_dance-1,43_dance,h a i r u,h a i r u,h a i r u,dance-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DANCE,1879,DANCE,false,expert
Mawe-44_day-1,44_day,ʔ a t,ʔ a t,ʔ a t,day-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DAY,1260,DAY (24 HOURS),false,expert
Mawe-45_defecate-1,45_defecate,h e p a i ʔ a,h e p a i ʔ a,h e p a i ʔ a,defecate-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DEFECATE,676,SHIT (DEFECATE),false,expert
Mawe-46_die-1,46_die,k u ʔ u r o,k u ʔ u r o,k u ʔ u r o,die-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DIE,1494,DIE,false,expert
Mawe-47_dirty-1,47_dirty,h a w i u,h a w i u,h a w i u,dirty-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DIRTY,1230,DIRTY,false,expert
Mawe-48_domake-1,48_domake,n u ŋ,n u ŋ,n u ŋ,domake-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DO/MAKE,2575,DO OR MAKE,false,expert
Mawe-50_dressup-1,50_dressup,s o k p e p a ŋ,s o k p e p a ŋ,s o k p e p a ŋ,dressup-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DRESS_UP,814,DRESS UP,false,expert
Mawe-51_dry-1,51_dry,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,dry-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DRY,1786,DRY UP,false,expert
Mawe-52_drystate-1,52_drystate,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,drystate-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,DRY (state),1398,DRY,false,expert
Mawe-53_earthland-1,53_earthland,ɨ i,ɨ i,ɨ i,earthland-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,EARTH/LAND,3603,EARTH OR LAND,false,expert
Mawe-55_enter-1,55_enter,e k e,e k e,e k e,enter-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,ENTER,749,ENTER,false,expert
Mawe-56_eye-1,56_eye,e h a,e h a,e h a,eye-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,EYE,1248,EYE,false,expert
Mawe-58_far-1,58_far,p ɨ a,p ɨ a,p ɨ a,far-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FAR,1406,FAR,false,expert
Mawe-59_fatgrease-1,59_fatgrease,k a p,k a p,k a p,fatgrease-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FAT/GREASE,1282,FAT (FROM ANIMALS),false,expert
Mawe-60_father-1,60_father,a p,a p,a p,father-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FATHER,1217,FATHER,false,expert
Mawe-62_finger-1,62_finger,m u ʔ u ɲ ã,m u ʔ u ɲ ã,m u ʔ u ɲ ã,finger-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FINGER,1303,FINGER,false,expert
Mawe-63_fire-1,63_fire,a r j a,a r j a,a r j a,fire-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FIRE,221,FIRE,false,expert
Mawe-66_fish-1,66_fish,p i r a,p i r a,p i r a,fish-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FISH,227,FISH,false,expert
Mawe-68_flesh-1,68_flesh,p u ʔ i,p u ʔ i,p u ʔ i,flesh-3,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FLESH,2615,FLESH OR MEAT,false,expert
Mawe-69_flour-1,69_flour,u ʔ i,u ʔ i,u ʔ i,flour-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FLOUR,1594,FLOUR,false,expert
Mawe-70_flower-1,70_flower,p o h ɨ t,p o h ɨ t,p o h ɨ t,flower-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FLOWER,239,FLOWER,false,expert
Mawe-71_fly-1,71_fly,m o p ɨ,m o p ɨ,m o p ɨ,fly-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FLY,1441,FLY (MOVE THROUGH AIR),false,expert
Mawe-72_flyn-1,72_flyn,w i n,w i n,w i n,flyn-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FLY (n),1504,FLY (INSECT),false,expert
Mawe-73_foot-1,73_foot,p ɨ,p ɨ,p ɨ,foot-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FOOT,1301,FOOT,false,expert
Mawe-74_four-1,74_four,t u k a w a,t u k a w a,t u k a w a,four-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FOUR,1500,FOUR,false,expert
Mawe-75_frog-1,75_frog,w a ʔ a s a,w a ʔ a s a,w a ʔ a s a,frog-3,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FROG,503,FROG,false,expert
Mawe-76_fruit-1,76_fruit,i ʔ p,i ʔ p,i ʔ p,fruit-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FRUIT,1507,FRUIT,false,expert
Mawe-77_full-1,77_full,h ɨ t,h ɨ t,h ɨ t,full-2,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,FULL,1429,FULL,false,expert
Mawe-78_gather-1,78_gather,a t u n u ŋ,a t u n u ŋ,a t u n u ŋ,gather-1,,,Mawe,MAWE,sate1243,Sateré-Mawé,mav,Tupian,,GATHER,7,GATHER,false,expert
