ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Miyako-1_i-1,1_i,ban,b.a.n,b a n,1,,,Miyako,Miyako,miya1259,Miyako,mvi,Japonic,,I,1209,I,false,expert
Tokyo-1_i-1,1_i,watasi,w.a.t.a.s.i,w a t a s i,2,,,Tokyo,Tōkyō,toky1238,Tōkyō,,Japonic,,I,1209,I,false,expert
Amami-1_i-1,1_i,waɴ,w.a.ɴ,w a ɴ,1,,,Amami,Amami,naze1238,Naze,,Japonic,,I,1209,I,false,expert
Kyoto-1_i-1,1_i,wate,w.a.t.e,w a t e,2,,,Kyoto,Kyōto,kyot1238,Kyoto,,Japonic,,I,1209,I,false,expert
Hachijo-1_i-1,1_i,ware,w.a.r.e,w a r e,1,,,Hachijo,Hachijō,hach1239,Hachijo,,Japonic,,I,1209,I,false,expert
Shuri-1_i-1,1_i,waɴ,w.a.ɴ,w a ɴ,1,,,Shuri,Shuri,shur1243,Shuri,,Japonic,,I,1209,I,false,expert
Kochi-1_i-1,1_i,asi,a.s.i,a s i,2,,,Kochi,Kōchi,shik1243,Shikoku,,Japonic,,I,1209,I,false,expert
Sado-1_i-1,1_i,ore,o.r.e,o r e,3,,,Sado,Sado,sado1237,Sado,,Japonic,,I,1209,I,false,expert
Oki-1_i-1,1_i,ora,o.r.a,o r a,3,,,Oki,Oki,okin1246,Oki-No-Erabu,okn,Japonic,,I,1209,I,false,expert
Kagoshima-1_i-1,1_i,oiː,oiː,o iː,3,,,Kagoshima,Kagoshima,kyus1238,Kyūshū,,Japonic,,I,1209,I,false,expert
Miyako-2_thou-1,2_thou,vːa,vː.a,vː a,10,,,Miyako,Miyako,miya1259,Miyako,mvi,Japonic,,thou,1215,THOU,false,expert
Tokyo-2_thou-1,2_thou,anata,a.n.a.t.a,a n a t a,5,,,Tokyo,Tōkyō,toky1238,Tōkyō,,Japonic,,thou,1215,THOU,false,expert
Amami-2_thou-1,2_thou,ʔʲa,ʔʲ.a,ʔʲ a,10,,,Amami,Amami,naze1238,Naze,,Japonic,,thou,1215,THOU,false,expert
Kyoto-2_thou-1,2_thou,aɴta,a.ɴ.t.a,a ɴ t a,5,,,Kyoto,Kyōto,kyot1238,Kyoto,,Japonic,,thou,1215,THOU,false,expert
Hachijo-2_thou-1,2_thou,omi,o.m.i,o m i,4,,,Hachijo,Hachijō,hach1239,Hachijo,,Japonic,,thou,1215,THOU,false,expert
Shuri-2_thou-1,2_thou,ʔʲaː,ʔʲ.aː,ʔʲ aː,10,,,Shuri,Shuri,shur1243,Shuri,,Japonic,,thou,1215,THOU,false,expert
Kochi-2_thou-1,2_thou,oɴsi,o.ɴ.s.i,o ɴ s i,7,,,Kochi,Kōchi,shik1243,Shikoku,,Japonic,,thou,1215,THOU,false,expert
Sado-2_thou-1,2_thou,ɴna,ɴ.n.a,ɴ n a,6,,,Sado,Sado,sado1237,Sado,,Japonic,,thou,1215,THOU,false,expert
Oki-2_thou-1,2_thou,omae,o.m.ae,o m a e,8,,,Oki,Oki,okin1246,Oki-No-Erabu,okn,Japonic,,thou,1215,THOU,false,expert
Kagoshima-2_thou-1,2_thou,waiː,w.aiː,w a iː,9,,,Kagoshima,Kagoshima,kyus1238,Kyūshū,,Japonic,,thou,1215,THOU,false,expert
Miyako-3_we-1,3_we,bantiː,b.a.n.t.iː,b a n t iː,11,,,Miyako,Miyako,miya1259,Miyako,mvi,Japonic,,we,1212,WE,false,expert
Tokyo-3_we-1,3_we,watasitaʨi,w.a.t.a.s.i.t.a.ʨ.i,w a t a s i t a tɕ i,12,,,Tokyo,Tōkyō,toky1238,Tōkyō,,Japonic,,we,1212,WE,false,expert
Amami-3_we-1,3_we,waxja,w.a.x.j.a,w a x j a,11,,,Amami,Amami,naze1238,Naze,,Japonic,,we,1212,WE,false,expert
Kyoto-3_we-1,3_we,watera,w.a.t.e.r.a,w a t e r a,12,,,Kyoto,Kyōto,kyot1238,Kyoto,,Japonic,,we,1212,WE,false,expert
Hachijo-3_we-1,3_we,wareɴisa,w.a.r.e.ɴ.i.s.a,w a r e ɴ i s a,11,,,Hachijo,Hachijō,hach1239,Hachijo,,Japonic,,we,1212,WE,false,expert
Shuri-3_we-1,3_we,watːaː,w.a.tː.aː,w a tː aː,11,,,Shuri,Shuri,shur1243,Shuri,,Japonic,,we,1212,WE,false,expert
Kochi-3_we-1,3_we,asiraː,a.s.i.r.aː,a s i r aː,12,,,Kochi,Kōchi,shik1243,Shikoku,,Japonic,,we,1212,WE,false,expert
Sado-3_we-1,3_we,oraʨi,o.r.a.ʨ.i,o r a tɕ i,13,,,Sado,Sado,sado1237,Sado,,Japonic,,we,1212,WE,false,expert
Oki-3_we-1,3_we,orara,o.r.a.r.a,o r a r a,13,,,Oki,Oki,okin1246,Oki-No-Erabu,okn,Japonic,,we,1212,WE,false,expert
Kagoshima-3_we-1,3_we,oidoɴ,oi.d.o.ɴ,o i d o ɴ,13,,,Kagoshima,Kagoshima,kyus1238,Kyūshū,,Japonic,,we,1212,WE,false,expert
Miyako-4_this-1,4_this,kuri,k.u.r.i,k u r i,14,,,Miyako,Miyako,miya1259,Miyako,mvi,Japonic,,this,1214,THIS,false,expert
Tokyo-4_this-1,4_this,kore,k.o.r.e,k o r e,14,,,Tokyo,Tōkyō,toky1238,Tōkyō,,Japonic,,this,1214,THIS,false,expert
Amami-4_this-1,4_this,xurɨ,x.u.r.ɨ,x u r ɨ,14,,,Amami,Amami,naze1238,Naze,,Japonic,,this,1214,THIS,false,expert
Kyoto-4_this-1,4_this,kore,k.o.r.e,k o r e,14,,,Kyoto,Kyōto,kyot1238,Kyoto,,Japonic,,this,1214,THIS,false,expert
