ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Meixian-1_sun-1,1_sun,日头,ŋit¹tʰew¹¹,ŋ i t ¹ + tʰ e w ¹¹,184,false,,Meixian,Meixian,yuet1238,Meixian,,Sino-Tibetan,,sun,1343,SUN,false,expert
Changsha-1_sun-1,1_sun,太阳,tʰaj⁵⁵jan¹³,tʰ a j ⁵⁵ + j a n ¹³,469,false,,Changsha,Changsha,chan1326,Changsha,,Sino-Tibetan,,sun,1343,SUN,false,expert
Changsha-1_sun-2,1_sun,日头,ʐʅ²⁴təw,ʐ ʅ ²⁴ + t ə w,184,false,,Changsha,Changsha,chan1326,Changsha,,Sino-Tibetan,,sun,1343,SUN,false,expert
Guixian-1_sun-1,1_sun,太阳,tʰaj²¹³jaŋ²¹,tʰ a j ²¹³ + j a ŋ ²¹,469,false,,Guixian,Guiyang,guiy1235,Guiyang,,Hmong-Mien,,sun,1343,SUN,false,expert
Xiamen-1_sun-1,1_sun,日头,lit⁵tʰaw,l i t ⁵ + tʰ a w,184,false,,Xiamen,Xiamen,xiam1236,Xiamen,,Sino-Tibetan,,sun,1343,SUN,false,expert
Xiamen-1_sun-2,1_sun,太阳,tʰaj²¹jɔŋ³⁵,tʰ a j ²¹ + j ɔ ŋ ³⁵,469,false,,Xiamen,Xiamen,xiam1236,Xiamen,,Sino-Tibetan,,sun,1343,SUN,false,expert
Hefei-1_sun-1,1_sun,太阳,tʰᴇ⁵³jɑ̃,tʰ ᴇ/e̞ ⁵³ + j ɑ̃,469,false,,Hefei,Hefei,hefe1234,Hefei Mandarin,,Sino-Tibetan,,sun,1343,SUN,false,expert
Hefei-1_sun-2,1_sun,日头,ʐəʔ⁵tʰɯ,ʐ ə ʔ ⁵ + tʰ ɯ,184,false,,Hefei,Hefei,hefe1234,Hefei Mandarin,,Sino-Tibetan,,sun,1343,SUN,false,expert
Jinan-1_sun-1,1_sun,太阳,tʰɛ²¹jaŋ,tʰ ɛ ²¹ + j a ŋ,469,false,,Jinan,Jinan,jina1245,Jinan Mandarin,,Sino-Tibetan,,sun,1343,SUN,false,expert
Jinan-1_sun-2,1_sun,老爷爷儿,lɔ⁵⁵jə⁴²jər⁴²,l ɔ ⁵⁵ + j ə ⁴² + j ə r ⁴²,594,false,,Jinan,Jinan,jina1245,Jinan Mandarin,,Sino-Tibetan,,sun,1343,SUN,false,expert
