ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
3-4-1,4,hĩ,hĩ,,850,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,ash,646,ASH,false,expert
3-6-1,6,shpinë,shpinë,,5295,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,back,1291,BACK,false,expert
3-7-1,7,keç,keç,,6597,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,bad,1292,BAD,false,expert
3-11-1,11,madh,madh,,360,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,big,1202,BIG,false,expert
3-12-1,12,shpend,shpend,,8378,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,bird,937,BIRD,false,expert
3-13-1,13,kapshoj,kapshoj,,362,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,bite,1403,BITE,false,expert
3-14-1,14,zi,zi,,363,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,black,163,BLACK,false,expert
3-15-1,15,gjak,gjak,,364,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,blood,946,BLOOD,false,expert
3-17-1,17,asht,asht,,519,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,bone,1394,BONE,false,expert
3-19-1,19,marr frymë,marr frymë,,367,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,breathe,1407,BREATHE,false,expert
3-20-1,20,digjem,digjem,,368,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,burn,2102,BURN,false,expert
3-22-1,22,rẽ,rẽ,,5484,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,cloud,1489,CLOUD,false,expert
3-23-1,23,ftoft,ftoft,,371,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,cold,1287,COLD,false,expert
3-24-1,24,vinj,vinj,,372,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,come,1446,COME,false,expert
3-25-1,25,numeroj,numeroj,,5490,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,count,1420,COUNT,false,expert
3-27-1,27,ditë,ditë,,8280,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,day,1225,DAY (NOT NIGHT),false,expert
3-28-1,28,vdes,vdes,,5258,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,die,1494,DIE,false,expert
3-29-1,29,gërmoj,gërmoj,,377,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,dig,1418,DIG,false,expert
3-31-1,31,qen,qen,,5505,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,dog,2009,DOG,false,expert
3-32-1,32,pî,pî,,380,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,drink,1401,DRINK,false,expert
3-33-1,33,thatë,thatë,,8281,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,dry,1398,DRY,false,expert
3-35-1,35,pluhun,pluhun,,8125,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,dust,2,DUST,false,expert
3-36-1,36,vesh,vesh,,208,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,ear,1247,EAR,false,expert
3-37-1,37,dhe,dhe,,384,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,earth,1228,EARTH (SOIL),false,expert
3-38-1,38,hâ,hâ,,7947,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,eat,1336,EAT,false,expert
3-39-1,39,vo,vo,,28,,,3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Indo-European,,egg,744,EGG,false,expert
