ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Albanian-1_all-1,1_all,gjithë,ɟ.i.θ,ɟ i θ,4,false,,Albanian,Albanian,gheg1238,Gheg Albanian,aln,Indo-European,,all,98,ALL,false,expert
English-1_all-1,1_all,all,ɔ.l,ɔ l,1,false,,English,English,stan1293,English,eng,Indo-European,,all,98,ALL,false,expert
French-1_all-1,1_all,tous,t.u.t,t u t,2,false,,French,French,stan1290,French,fra,Indo-European,,all,98,ALL,false,expert
German-1_all-1,1_all,alle,a.l,a l,1,false,,German,German,stan1295,German,deu,Indo-European,,all,98,ALL,false,expert
Hawaiian-1_all-1,1_all,apau,a.p.a.u,a p a u,7,false,,Hawaiian,Hawaiian,hawa1245,Hawaiian,haw,Austronesian,,all,98,ALL,false,expert
Latin-1_all-1,1_all,omnes,o.m.n.i,o m n i,6,false,,Latin,Latin,lati1261,Latin,lat,Indo-European,,all,98,ALL,false,expert
Navajo-1_all-1,1_all,t'áá 'áƚtso,ʔ.ay.ɬ.ʦ.o,ʔ ay ɬ ts o,5,false,,Navajo,Navajo,nava1243,Navajo,nav,Athabaskan-Eyak-Tlingit,,all,98,ALL,false,expert
Turkish-1_all-1,1_all,bütün,b.y.t.y.n,b y t y n,3,false,,Turkish,Turkish,nucl1301,Turkish,tur,Turkic,,all,98,ALL,false,expert
Albanian-2_and-1,2_and,e,e,e,916,true,,Albanian,Albanian,gheg1238,Gheg Albanian,aln,Indo-European,,and,1577,AND,false,expert
English-2_and-1,2_and,and,a.n.d,a n d,915,false,,English,English,stan1293,English,eng,Indo-European,,and,1577,AND,false,expert
French-2_and-1,2_and,et,e,e,916,false,,French,French,stan1290,French,fra,Indo-European,,and,1577,AND,false,expert
German-2_and-1,2_and,und,u.n.t,u n t,915,false,,German,German,stan1295,German,deu,Indo-European,,and,1577,AND,false,expert
Hawaiian-2_and-1,2_and,ā,aː,aː,919,false,,Hawaiian,Hawaiian,hawa1245,Hawaiian,haw,Austronesian,,and,1577,AND,false,expert
Latin-2_and-1,2_and,et,e.t,e t,916,false,,Latin,Latin,lati1261,Latin,lat,Indo-European,,and,1577,AND,false,expert
Navajo-2_and-1,2_and,dóó,d.oː,d oː,918,false,,Navajo,Navajo,nava1243,Navajo,nav,Athabaskan-Eyak-Tlingit,,and,1577,AND,false,expert
Turkish-2_and-1,2_and,ve,v.e,v e,917,true,,Turkish,Turkish,nucl1301,Turkish,tur,Turkic,,and,1577,AND,false,expert
Albanian-3_animal-1,3_animal,kafshë,k.a.f.ʃ,k a f ʃ,1018,true,,Albanian,Albanian,gheg1238,Gheg Albanian,aln,Indo-European,,animal,619,ANIMAL,false,expert
English-3_animal-1,3_animal,animal,a.n.ə.m.ə.l,a n ə m ə l,1016,true,,English,English,stan1293,English,eng,Indo-European,,animal,619,ANIMAL,false,expert
French-3_animal-1,3_animal,animal,a.n.i.m.a.l,a n i m a l,1016,true,,French,French,stan1290,French,fra,Indo-European,,animal,619,ANIMAL,false,expert
German-3_animal-1,3_animal,Tier,t.iː.r,t iː r,1015,false,,German,German,stan1295,German,deu,Indo-European,,animal,619,ANIMAL,false,expert
Hawaiian-3_animal-1,3_animal,holoholona,h.o.l.o.h.o.l.o.n.a,h o l o h o l o n a,1020,false,,Hawaiian,Hawaiian,hawa1245,Hawaiian,haw,Austronesian,,animal,619,ANIMAL,false,expert
Latin-3_animal-1,3_animal,animal,a.n.i.m.aː.l,a n i m aː l,1016,false,,Latin,Latin,lati1261,Latin,lat,Indo-European,,animal,619,ANIMAL,false,expert
