ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
yakumo-1_i-1,1_i,ku'ani,ku'ani,k u a n i,i-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,I,1209,I,false,expert
yakumo-2_thou-1,2_thou,'e'ani,'e'ani,e a n i,thou-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,thou,1215,THOU,false,expert
yakumo-3_we-1,3_we,ku'ani 'utár,ku'ani 'utár,k u a n i + u t á/a r,,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,we,1212,WE,,
yakumo-3_we-2,3_we,ci'okáy('utár)[excl.],ci'okáy[excl.],ts i ʔ o k áy/ai,,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,we,1212,WE,,
yakumo-3_we-3,3_we,'a'okáy('utár)[incl.],'a'okáy[incl.],ʔ a ʔ o k áy/ai,,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,we,1212,WE,,
yakumo-4_this-1,4_this,tánpe,tánpe,t á/a n p e,this-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,this,1214,THIS,false,expert
yakumo-4_this-2,4_this,ta'ánpe,ta'ánpe,t a á/a n p e,,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,this,1214,THIS,,
yakumo-5_that-1,5_that,to'anpe,to'anpe,t o a n p e,that-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,that,78,THAT,false,expert
yakumo-6_who-1,6_who,nén,nén,n é/e n,who-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,who,1235,WHO,false,expert
yakumo-7_what-1,7_what,nép,nép,n é/e p,what-1,,,yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Ainu,,what,1236,WHAT,false,expert
