ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
MiddleJapanese-1_green-1,1_green,awoʃi,awoʃi,a w o ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,green,1425,GREEN,,
MiddleJapanese-2_red-1,2_red,akaʃi,akaʃi,a k a ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,red,156,RED,,
MiddleJapanese-3_toyawn-1,3_toyawn,akubi,akubi,a k u b i,1,,,MiddleJapanese,Middle Japanese,,,,,,to yawn,1028,YAWN,,
MiddleJapanese-4_legfoot-1,4_legfoot,aʃi,aʃi,a ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,leg/foot,2098,FOOT OR LEG,,
MiddleJapanese-5_head-1,5_head,atama,atama,a t a m a,1,,,MiddleJapanese,Middle Japanese,,,,,,head,1256,HEAD,,
MiddleJapanese-6_new-1,6_new,ataraʃi,ataraʃi,a t a r a ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,new,1231,NEW,,
MiddleJapanese-7_thick-1,7_thick,atsuʃi,atsuʃi,a ts u ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,thick,1244,THICK,,
MiddleJapanese-8_warm-1,8_warm,atatakaʃi,atatakaʃi,a t a t a k a ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,warm,1232,WARM,,
MiddleJapanese-9_you-1,9_you,anata,anata,a n a t a,1,,,MiddleJapanese,Middle Japanese,,,,,,you,1213,YOU,,
MiddleJapanese-10_heshe-1,10_heshe,anoçito,anoçito,a n o ç i t o,1,,,MiddleJapanese,Middle Japanese,,,,,,he/she,2642,HE OR SHE,,
MiddleJapanese-11_they-1,11_they,karera,karera,k a r e r a,2,,,MiddleJapanese,Middle Japanese,,,,,,they,817,THEY,,
MiddleJapanese-12_fatgrease-1,12_fatgrease,abura,abura,a b u r a,1,,,MiddleJapanese,Middle Japanese,,,,,,fat/grease,323,FAT (ORGANIC SUBSTANCE),,
MiddleJapanese-13_rain-1,13_rain,ame,ame,a m e,1,,,MiddleJapanese,Middle Japanese,,,,,,rain,658,RAIN (PRECIPITATION),,
MiddleJapanese-14_towalk-1,14_towalk,ajumu,ajumu,a j u m u,3,,,MiddleJapanese,Middle Japanese,,,,,,to walk,1443,WALK,,
MiddleJapanese-15_that-1,15_that,are,are,a r e,1,,,MiddleJapanese,Middle Japanese,,,,,,that,78,THAT,,
MiddleJapanese-16_tosay-1,16_tosay,iFu,iFu,i β u,1,,,MiddleJapanese,Middle Japanese,,,,,,to say,1458,SAY,,
MiddleJapanese-17_house-1,17_house,ihe,ihe,i h e,2,,,MiddleJapanese,Middle Japanese,,,,,,house,1252,HOUSE,,
MiddleJapanese-18_tobreathe-1,18_tobreathe,iki-,iki-,i k i,1,,,MiddleJapanese,Middle Japanese,,,,,,to breathe,1407,BREATHE,,
MiddleJapanese-19_tolivebealive-1,19_tolivebealive,iku,iku,i k u,1,,,MiddleJapanese,Middle Japanese,,,,,,"to live, be alive",1422,BE ALIVE,,
MiddleJapanese-20_stone-1,20_stone,iʃi,iʃi,i ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,stone,857,STONE,,
MiddleJapanese-21_painfulsick-1,21_painfulsick,itamu,itamu,i t a m u,1,,,MiddleJapanese,Middle Japanese,,,,,,"painful, sick",2103,PAINFUL OR SICK,,
MiddleJapanese-22_when-1,22_when,itsu,itsu,i ts u,1,,,MiddleJapanese,Middle Japanese,,,,,,when?,1238,WHEN,,
MiddleJapanese-23_five-1,23_five,itsu,itsu,i ts u,1,,,MiddleJapanese,Middle Japanese,,,,,,Five,493,FIVE,,
MiddleJapanese-24_lightening-1,24_lightening,inabikari,inabikari,i n a b i k a r i,1,,,MiddleJapanese,Middle Japanese,,,,,,lightening,1654,LIGHTNING,,
MiddleJapanese-25_dog-1,25_dog,inu,inu,i n u,1,,,MiddleJapanese,Middle Japanese,,,,,,dog,2009,DOG,,
MiddleJapanese-26_above-1,26_above,uhe,uhe,u h e,1,,,MiddleJapanese,Middle Japanese,,,,,,above,1741,ABOVE,,
MiddleJapanese-27_toplant-1,27_toplant,uu,uu,uː,1,,,MiddleJapanese,Middle Japanese,,,,,,to plant,1486,PLANT (SOMETHING),,
MiddleJapanese-28_thin-1,28_thin,usuʃi,usuʃi,u s u ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,thin,2308,THIN,,
MiddleJapanese-29_toshoot-1,29_toshoot,utsu,utsu,u ts u,1,,,MiddleJapanese,Middle Japanese,,,,,,to shoot,1172,SHOOT,,
MiddleJapanese-30_sea-1,30_sea,umi,umi,u m i,1,,,MiddleJapanese,Middle Japanese,,,,,,sea,1474,SEA,,
MiddleJapanese-31_branch-1,31_branch,eda,eda,e d a,1,,,MiddleJapanese,Middle Japanese,,,,,,branch,1531,BRANCH,,
MiddleJapanese-32_tochoose-1,32_tochoose,erabu,erabu,e r a b u,1,,,MiddleJapanese,Middle Japanese,,,,,,to choose,1750,CHOOSE,,
MiddleJapanese-33_tail-1,33_tail,wo,wo,w o,1,,,MiddleJapanese,Middle Japanese,,,,,,tail,1220,TAIL,,
MiddleJapanese-34_big-1,34_big,oFo,oFo,o β o,1,,,MiddleJapanese,Middle Japanese,,,,,,big,1202,BIG,,
MiddleJapanese-35_tofear-1,35_tofear,osoru,osoru,o s o r u,1,,,MiddleJapanese,Middle Japanese,,,,,,to fear,1419,FEAR (BE AFRAID),,
MiddleJapanese-36_tofall-1,36_tofall,otʃiiru,otʃiiru,o tʃ iː r u,1,,,MiddleJapanese,Middle Japanese,,,,,,to fall,1280,FALL,,
MiddleJapanese-37_husband-1,37_husband,wotsuto,wotsuto,w o ts u t o,1,,,MiddleJapanese,Middle Japanese,,,,,,husband,1200,HUSBAND,,
MiddleJapanese-38_manmale-1,38_manmale,wo,wo,w o,1,,,MiddleJapanese,Middle Japanese,,,,,,man/male,2106,MALE PERSON,,
MiddleJapanese-39_heavy-1,39_heavy,omoʃi,omoʃi,o m o ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,heavy,1210,HEAVY,,
MiddleJapanese-40_tothink-1,40_tothink,omoFu,omoFu,o m o β u,1,,,MiddleJapanese,Middle Japanese,,,,,,to think,2271,THINK,,
MiddleJapanese-41_toswim-1,41_toswim,ojogu,ojogu,o j o g u,1,,,MiddleJapanese,Middle Japanese,,,,,,to swim,1439,SWIM,,
MiddleJapanese-42_womanfemale-1,42_womanfemale,me,me,m e,2,,,MiddleJapanese,Middle Japanese,,,,,,woman/female,2105,FEMALE PERSON,,
MiddleJapanese-43_mosquito-1,43_mosquito,ka,ka,k a,1,,,MiddleJapanese,Middle Japanese,,,,,,mosquito,1509,MOSQUITO,,
MiddleJapanese-44_tobuy-1,44_tobuy,kaFu,kaFu,k a β u,1,,,MiddleJapanese,Middle Japanese,,,,,,to buy,1869,BUY,,
MiddleJapanese-45_tosniffsmell-1,45_tosniffsmell,kagu,kagu,k a g u,1,,,MiddleJapanese,Middle Japanese,,,,,,"to sniff, smell",1586,SMELL (PERCEIVE),,
MiddleJapanese-46_toscratch-1,46_toscratch,kaku,kaku,k a k u,1,,,MiddleJapanese,Middle Japanese,,,,,,to scratch,1436,SCRATCH,,
MiddleJapanese-47_tohide-1,47_tohide,kakusu,kakusu,k a k u s u,1,,,MiddleJapanese,Middle Japanese,,,,,,to hide,2486,HIDE,,
MiddleJapanese-48_wind-1,48_wind,kadze,kadze,k a d z e,1,,,MiddleJapanese,Middle Japanese,,,,,,wind,960,WIND,,
MiddleJapanese-49_tocount-1,49_tocount,kadzoFu,kadzoFu,k a d z o β u,1,,,MiddleJapanese,Middle Japanese,,,,,,to count,1420,COUNT,,
MiddleJapanese-50_shoulder-1,50_shoulder,kata,kata,k a t a,1,,,MiddleJapanese,Middle Japanese,,,,,,shoulder,1482,SHOULDER,,
MiddleJapanese-51_tobite-1,51_tobite,kamitsuku,kamitsuku,k a m i ts u k u,1,,,MiddleJapanese,Middle Japanese,,,,,,to bite,1403,BITE,,
MiddleJapanese-52_thunder-1,52_thunder,kaminari,kaminari,k a m i n a r i,1,,,MiddleJapanese,Middle Japanese,,,,,,thunder,1150,THUNDER,,
MiddleJapanese-53_tochew-1,53_tochew,kamu,kamu,k a m u,1,,,MiddleJapanese,Middle Japanese,,,,,,to chew,321,CHEW,,
MiddleJapanese-54_tohunt-1,54_tohunt,kari,kari,k a r i,1,,,MiddleJapanese,Middle Japanese,,,,,,to hunt,1435,HUNT,,
MiddleJapanese-55_skin-1,55_skin,kaha,kaha,k a h a,1,,,MiddleJapanese,Middle Japanese,,,,,,skin,763,SKIN,,
MiddleJapanese-56_dry-1,56_dry,kawaku,kawaku,k a w a k u,1,,,MiddleJapanese,Middle Japanese,,,,,,dry,1398,DRY,,
MiddleJapanese-57_yellow-1,57_yellow,ki,ki,k i,1,,,MiddleJapanese,Middle Japanese,,,,,,yellow,1424,YELLOW,,
MiddleJapanese-58_tohear-1,58_tohear,kiku,kiku,k i k u,1,,,MiddleJapanese,Middle Japanese,,,,,,to hear,1408,HEAR,,
MiddleJapanese-59_dirty-1,59_dirty,kitanaʃi,kitanaʃi,k i t a n a ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,dirty,1230,DIRTY,,
MiddleJapanese-60_liver-1,60_liver,kimo,kimo,k i m o,1,,,MiddleJapanese,Middle Japanese,,,,,,liver,1224,LIVER,,
MiddleJapanese-61_fog-1,61_fog,kiri,kiri,k i r i,1,,,MiddleJapanese,Middle Japanese,,,,,,fog,249,FOG,,
MiddleJapanese-62_tocuthack-1,62_tocuthack,kiru,kiru,k i r u,1,,,MiddleJapanese,Middle Japanese,,,,,,"to cut, hack",3889,CUT OR HACK,,
MiddleJapanese-64_toeat-1,64_toeat,kuFu,kuFu,k u β u,1,,,MiddleJapanese,Middle Japanese,,,,,,to eat,1336,EAT,,
MiddleJapanese-65_grass-1,65_grass,kusa,kusa,k u s a,1,,,MiddleJapanese,Middle Japanese,,,,,,grass,606,GRASS,,
MiddleJapanese-66_rotten-1,66_rotten,kusaru,kusaru,k u s a r u,1,,,MiddleJapanese,Middle Japanese,,,,,,rotten,1728,ROTTEN,,
MiddleJapanese-67_mouth-1,67_mouth,kutʃi,kutʃi,k u tʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,mouth,674,MOUTH,,
MiddleJapanese-68_neck-1,68_neck,kubi,kubi,k u b i,1,,,MiddleJapanese,Middle Japanese,,,,,,neck,1333,NECK,,
MiddleJapanese-69_cloud-1,69_cloud,kumo,kumo,k u m o,1,,,MiddleJapanese,Middle Japanese,,,,,,cloud,1489,CLOUD,,
MiddleJapanese-70_spider-1,70_spider,kumo,kumo,k u m o,1,,,MiddleJapanese,Middle Japanese,,,,,,spider,843,SPIDER,,
MiddleJapanese-71_tocome-1,71_tocome,ku,ku,k u,1,,,MiddleJapanese,Middle Japanese,,,,,,to come,1446,COME,,
MiddleJapanese-72_black-1,72_black,kuroʃi,kuroʃi,k u r o ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,black,163,BLACK,,
MiddleJapanese-73_hair-1,73_hair,ke,ke,k e,1,,,MiddleJapanese,Middle Japanese,,,,,,hair,1040,HAIR,,
MiddleJapanese-74_smoke-1,74_smoke,kemuri,kemuri,k e m u r i,1,,,MiddleJapanese,Middle Japanese,,,,,,smoke,778,SMOKE (EXHAUST),,
MiddleJapanese-75_nine-1,75_nine,kokonotsu,kokonotsu,k o k o n o ts u,1,,,MiddleJapanese,Middle Japanese,,,,,,Nine,1483,NINE,,
MiddleJapanese-77_child-1,77_child,kodomo,kodomo,k o d o m o,1,,,MiddleJapanese,Middle Japanese,,,,,,child,2099,CHILD,,
MiddleJapanese-78_this-1,78_this,kore,kore,k o r e,1,,,MiddleJapanese,Middle Japanese,,,,,,this,1214,THIS,,
MiddleJapanese-79_tokill-1,79_tokill,korosu,korosu,k o r o s u,1,,,MiddleJapanese,Middle Japanese,,,,,,to kill,1417,KILL,,
MiddleJapanese-80_fish-1,80_fish,iwo,iwo,i w o,2,,,MiddleJapanese,Middle Japanese,,,,,,fish,227,FISH,,
MiddleJapanese-81_tosplit-1,81_tosplit,saku,saku,s a k u,1,,,MiddleJapanese,Middle Japanese,,,,,,to split,1437,SPLIT,,
MiddleJapanese-82_tostabpierce-1,82_tostabpierce,sasu,sasu,s a s u,1,,,MiddleJapanese,Middle Japanese,,,,,,"to stab, pierce",1434,STAB,,
MiddleJapanese-83_cold-1,83_cold,samuʃi,samuʃi,s a m u ʃ i,1,,,MiddleJapanese,Middle Japanese,,,,,,cold,1287,COLD,,
MiddleJapanese-84_salt-1,84_salt,ʃiho,ʃiho,ʃ i h o,1,,,MiddleJapanese,Middle Japanese,,,,,,salt,1274,SALT,,
MiddleJapanese-85_below-1,85_below,ʃita,ʃita,ʃ i t a,1,,,MiddleJapanese,Middle Japanese,,,,,,below,1485,BELOW OR UNDER,,
MiddleJapanese-86_tongue-1,86_tongue,ʃita,ʃita,ʃ i t a,1,,,MiddleJapanese,Middle Japanese,,,,,,tongue,1205,TONGUE,,
MiddleJapanese-87_todiebedead-1,87_todiebedead,ʃinu,ʃinu,ʃ i n u,1,,,MiddleJapanese,Middle Japanese,,,,,,"to die, be dead",2101,BE DEAD OR DIE,,
MiddleJapanese-88_tosqueeze-1,88_tosqueeze,ʃiboru,ʃiboru,ʃ i b o r u,1,,,MiddleJapanese,Middle Japanese,,,,,,to squeeze,1414,SQUEEZE,,
