ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Jeju-55_hand-1,55_hand,son,son,s o n,55_hand-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,hand,1277,HAND,false,expert
Jeju-73_left-1,73_left,wen,wen,w e n,73_left-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,left,244,LEFT,false,expert
Jeju-107_right-1,107_right,o-rɨn-pen,o-rɨn-pen,o + ɾ ɨ n + p e n,107_right-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,right,1019,RIGHT,false,expert
Jeju-226_walk-1,226_walk,kər-,kər-,k ə ɾ,226_walk-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,walk,1443,WALK,false,expert
Jeju-109_road-1,109_road,cil,cil,tɕ i l,109_road-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,road,667,ROAD,false,expert
Jeju-215_toturn-1,215_toturn,tol-lin-,tol-lin-,t o l + l i n,215_toturn-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,to turn,1588,TURN,false,expert
Jeju-30_dust-1,30_dust,ku-dum,ku-dum,k u + d u m,30_dust-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,dust,2,DUST,false,expert
Jeju-7_back-1,7_back,tɨŋ-ə-ri,tɨŋ-ə-ri,t ɨ ŋ + ə + ɾ i,7_back-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,back,1291,BACK,false,expert
Jeju-11_belly-1,11_belly,pɛ,pɛ,p ɛ,11_belly-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,belly,1251,BELLY,false,expert
Jeju-17_bone-1,17_bone,k'waŋ,k'waŋ,k͈ w a ŋ,17_bone-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,bone,1394,BONE,false,expert
Jeju-69_intestines-1,69_intestines,cʰaŋ-,cʰaŋ-,tɕʰ a ŋ,69_intestines-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,intestines,1991,INTESTINES,false,expert
Jeju-19_breast-1,19_breast,ka-sim,ka-sim,k a + s i m,19_breast-1,,,Jeju,Jeju,jeju1234,Jejueo,jje,Koreanic,,breast,1402,BREAST,false,expert
