ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Duhumbi-1_1sg-1,1_1sg,ga,ga,g a,101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,1SG,1209,I,,
Duhumbi-2_2sg-1,2_2sg,naŋ,naŋ,n a ŋ,301,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,2SG,1215,THOU,,
Duhumbi-3_3sg-1,3_3sg,wɔj,wɔj,w ɔ j,501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,3SG,2642,HE OR SHE,,
Duhumbi-4_ant-1,4_ant,kʰin-ʨʰɔk,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,701,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,ant,587,ANT,,
Duhumbi-5_armhand-1,5_armhand,hut,hut,h u t,901,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,arm/hand,2121,ARM OR HAND,,
Duhumbi-6_ash-1,6_ash,ʨʰu-pʰak,ʨʰu-pʰak,tɕʰ u + pʰ a k,1101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,ash,646,ASH,,
Duhumbi-7_big-1,7_big,ɔ-dɔk,ɔ-dɔk,ɔ + d ɔ k,1301,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,big,1202,BIG,,
Duhumbi-8_bird-1,8_bird,hwa,hwa,w̥ a,1501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,bird,937,BIRD,,
Duhumbi-9_bite-1,9_bite,zɛk,zɛk,z ɛ k,1701,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,bite,1403,BITE,,
Duhumbi-10_bitter-1,10_bitter,ʨʰak-ba,ʨʰak-ba,tɕʰ a k + b a,1901,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,bitter,887,BITTER,,
Duhumbi-11_black-1,11_black,u-ʨʰam,u-ʨʰam,u + tɕʰ a m,2101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,black,163,BLACK,,
Duhumbi-12_blood-1,12_blood,hɔj,hɔj,h ɔ j,2301,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,blood,946,BLOOD,,
Duhumbi-13_bone-1,13_bone,ɕa-kʰus,ɕa-kʰus,ɕ a + kʰ u s,2501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,bone,1394,BONE,,
Duhumbi-14_breast-1,14_breast,nu,nu,n u,2701,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,breast,1402,BREAST,,
Duhumbi-15_toburnit-1,15_toburnit,haj,haj,h a j,2901,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,to burn (it.),1428,BURNING,,
Duhumbi-16_tocarryonback-1,16_tocarryonback,bu,bu,b u,3101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,to carry (on back),465,CARRY ON BACK,,
Duhumbi-17_cloud-1,17_cloud,mukpa,mukpa,m u k p a,3301,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,cloud,1489,CLOUD,,
Duhumbi-18_tocryweep-1,18_tocryweep,kʰip,kʰip,kʰ i p,3501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,to cry/weep,1839,CRY,,
Duhumbi-19_todie-1,19_todie,i,i,i,3701,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,to die,1494,DIE,,
Duhumbi-20_todomake-1,20_todomake,le,le,l e,3901,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,to do/make,2575,DO OR MAKE,,
Duhumbi-21_dog-1,21_dog,wa-tʰi,wa-tʰi,w a + tʰ i,4101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,dog,2009,DOG,,
Duhumbi-22_drink-1,22_drink,ɲiŋ,ɲiŋ,ɲ i ŋ,4301,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,drink,1401,DRINK,,
Duhumbi-23_dry-1,23_dry,wa-ar,wa-ar,w a + a r,4501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,dry,1398,DRY,,
Duhumbi-24_ear-1,24_ear,kʰu-tʰuŋ,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,4701,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,ear,1247,EAR,,
Duhumbi-25_eat-1,25_eat,ʨʰa,ʨʰa,tɕʰ a,4901,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,eat,1336,EAT,,
Duhumbi-26_egg-1,26_egg,hɔj-ʥɔŋ,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,5101,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,egg,744,EGG,,
Duhumbi-27_eye-1,27_eye,kʰu-m,kʰu-m,kʰ u + m,5303,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,eye,1248,EYE,,
Duhumbi-28_far-1,28_far,tʰa-u-ɹiŋ,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,5501,,,Duhumbi,Duhumbi,chug1252,Chug,cvg,Sino-Tibetan,,far,1406,FAR,,
