ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ProtoSonoran-1_beeshive-1,1_beeshive,*mumu,*mumu,m u m u,156,,,ProtoSonoran,Proto-Sonoran,sout3136,Southern Uto-Aztecan,,Uto-Aztecan,,"bees, hive",,,,
SonoraPimaBajo-1_beeshive-1,1_beeshive,mumuba,mumuba,m u m u b a,156,,,SonoraPimaBajo,Sonora Pima Bajo (Nevome),sono1245,Sonora Pima Bajo,,Uto-Aztecan,,"bees, hive",,,,
TepehuanNorth-1_beeshive-1,1_beeshive,mɨmívai,mɨmívai,m ɨ m í/i v ai,156,,,TepehuanNorth,Tepehuán del Norte,nort2959,Northern Tepehuan,ntp,Uto-Aztecan,,"bees, hive",,,,
TepehuanSouth-1_beeshive-1,1_beeshive,mɨmɨí,mɨmɨí,m ɨ m ɨ í/i,156,,,TepehuanSouth,Tepehuán del Sur,sout2976,Southeastern Tepehuan,stp,Uto-Aztecan,,"bees, hive",,,,
Opata-1_beeshive-1,1_beeshive,mumugo,mumugo,m u m u g o,156,,,Opata,Opata,opat1246,Teguima,opt,Uto-Aztecan,,"bees, hive",,,,
EudeveNorth-1_beeshive-1,1_beeshive,mumúgo,mumúgo,m u m ú/u g o,156,,,EudeveNorth,North Eudeve,eude1234,Eudeve,eud,Uto-Aztecan,,"bees, hive",,,,
EudeveSouth-1_beeshive-1,1_beeshive,mumukut,mumukut,m u m u k u t,156,,,EudeveSouth,South Eudeve,eude1234,Eudeve,eud,Uto-Aztecan,,"bees, hive",,,,
Yaqui-1_beeshive-1,1_beeshive,múmu-,múmu-,m ú/u m u,156,,,Yaqui,Yaqui,yaqu1251,Yaqui,yaq,Uto-Aztecan,,"bees, hive",,,,
Mayo-1_beeshive-1,1_beeshive,múmmu-,múmmu-,m ú/u mm/mː u,156,,,Mayo,Mayo,mayo1264,Mayo,mfy,Uto-Aztecan,,"bees, hive",,,,
WarihioLowland-1_beeshive-1,1_beeshive,momohá,momohá,m o m o h á/a,156,,,WarihioLowland,Lowland Warihío,lowl1264,Lowland Huarijío,,Uto-Aztecan,,"bees, hive",,,,
WarihioHighland-1_beeshive-1,1_beeshive,momohá,momohá,m o m o h á/a,156,,,WarihioHighland,Highland Warihío,high1277,Highland Huarijío,,Uto-Aztecan,,"bees, hive",,,,
TarahumaraCentral-1_beeshive-1,1_beeshive,umugá,umugá,u m u g á/a,156,,,TarahumaraCentral,Central Tarahumara,cent2131,Central Tarahumara,tar,Uto-Aztecan,,"bees, hive",,,,
ProtoSonoran-2_slap-1,2_slap,*cona,*cona,ts o n a,39,,,ProtoSonoran,Proto-Sonoran,sout3136,Southern Uto-Aztecan,,Uto-Aztecan,,slap,3160,SLAP,,
ProtoSonoran-2_slap-2,2_slap,con-i,con-i,ts o n + i,39,,,ProtoSonoran,Proto-Sonoran,sout3136,Southern Uto-Aztecan,,Uto-Aztecan,,slap,3160,SLAP,,
TohonoOdam-2_slap-1,2_slap,shoni-,shoni-,sh/ʃ o n i,39,,,TohonoOdam,Tohono O'odam,toho1246,Tohono O'odam,,Uto-Aztecan,,slap,3160,SLAP,,
SonoraPimaBajo-2_slap-1,2_slap,soni-,soni-,s o n i,39,,,SonoraPimaBajo,Sonora Pima Bajo (Nevome),sono1245,Sonora Pima Bajo,,Uto-Aztecan,,slap,3160,SLAP,,
