ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
german-965_world-1,965_world,Welt,vɛlt,v ɛ l t,968,false,,german,German,stan1295,German,deu,Indo-European,,world,965,WORLD,false,expert
french-965_world-1,965_world,monde,mɔ̃d,m ɔ̃ d,969,false,,french,French,stan1290,French,fra,Indo-European,,world,965,WORLD,false,expert
dutch-965_world-1,965_world,wereld,weːrəlt,w eː r ə l t,968,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,world,965,WORLD,false,expert
english-965_world-1,965_world,world,wɜːld,w ɜː l d,968,false,,english,English,stan1293,English,eng,Indo-European,,world,965,WORLD,false,expert
german-964_earthland-1,964_earthland,Erde,eːrdə,eː r d ə,1673,false,,german,German,stan1295,German,deu,Indo-European,,"earth, land",626,LAND,false,expert
german-964_earthland-2,964_earthland,Land,lant,l a n t,1674,false,,german,German,stan1295,German,deu,Indo-European,,"earth, land",626,LAND,false,expert
french-964_earthland-1,964_earthland,terre,tɛʁ,t ɛ ʁ,1675,false,,french,French,stan1290,French,fra,Indo-European,,"earth, land",626,LAND,false,expert
dutch-964_earthland-1,964_earthland,land,lɑnt,l ɑ n t,1674,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"earth, land",626,LAND,false,expert
english-964_earthland-1,964_earthland,land,lænd,l æ n d,1674,false,,english,English,stan1293,English,eng,Indo-European,,"earth, land",626,LAND,false,expert
german-963_earthgroundsoil-1,963_earthgroundsoil,Erde,eːrdə,eː r d ə,1475,false,,german,German,stan1295,German,deu,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
german-963_earthgroundsoil-2,963_earthgroundsoil,Boden,boːdən,b oː d ə n,1478,false,,german,German,stan1295,German,deu,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
french-963_earthgroundsoil-1,963_earthgroundsoil,terre,tɛʁ,t ɛ ʁ,1477,false,,french,French,stan1290,French,fra,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
french-963_earthgroundsoil-2,963_earthgroundsoil,sol,sɔl,s ɔ l,1476,false,,french,French,stan1290,French,fra,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
dutch-963_earthgroundsoil-1,963_earthgroundsoil,bodem,boːdəm,b oː d ə m,1478,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
english-963_earthgroundsoil-1,963_earthgroundsoil,soil,sɔɪl,s ɔ ɪ l,-1476,true,,english,English,stan1293,English,eng,Indo-European,,"earth=ground, soil",1228,EARTH (SOIL),false,expert
german-960_mud-1,960_mud,Schlamm,ʃlam,ʃ l a m,1471,false,,german,German,stan1295,German,deu,Indo-European,,mud,640,MUD,false,expert
german-960_mud-2,960_mud,Dreck,drɛk,d r ɛ k,1474,false,,german,German,stan1295,German,deu,Indo-European,,mud,640,MUD,false,expert
french-960_mud-1,960_mud,boue,bu,b u,1473,false,,french,French,stan1290,French,fra,Indo-European,,mud,640,MUD,false,expert
dutch-960_mud-1,960_mud,modder,mɔdər,m ɔ d ə r,1472,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,mud,640,MUD,false,expert
english-960_mud-1,960_mud,mud,mʌd,m ʌ d,1472,false,,english,English,stan1293,English,eng,Indo-European,,mud,640,MUD,false,expert
german-961_sand-1,961_sand,Sand,zant,z a n t,1469,false,,german,German,stan1295,German,deu,Indo-European,,sand,671,SAND,false,expert
french-961_sand-1,961_sand,sable,sɑbl,s ɑ b l,1469,false,,french,French,stan1290,French,fra,Indo-European,,sand,671,SAND,false,expert
dutch-961_sand-1,961_sand,zand,zɑnt,z ɑ n t,1469,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,sand,671,SAND,false,expert
english-961_sand-1,961_sand,sand,sænd,s æ n d,1469,false,,english,English,stan1293,English,eng,Indo-European,,sand,671,SAND,false,expert
german-959_mountainhill-1,959_mountainhill,Berg,bɛrk,b ɛ r k,1669,false,,german,German,stan1295,German,deu,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
german-959_mountainhill-2,959_mountainhill,Hügel,hyːɡəl,h yː ɡ ə l,1671,false,,german,German,stan1295,German,deu,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
french-959_mountainhill-1,959_mountainhill,montagne,mɔ̃taɲ,m ɔ̃ t a ɲ,1670,false,,french,French,stan1290,French,fra,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
french-959_mountainhill-2,959_mountainhill,colline,kɔlin,k ɔ l i n,1672,false,,french,French,stan1290,French,fra,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
dutch-959_mountainhill-1,959_mountainhill,berg,bɛrx,b ɛ r x,1669,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
dutch-959_mountainhill-2,959_mountainhill,heuvel,høːvəl,h øː v ə l,1671,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
english-959_mountainhill-1,959_mountainhill,mountain,maʊntɪn,m aʊ n t ɪ n,-1670,true,,english,English,stan1293,English,eng,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
english-959_mountainhill-2,959_mountainhill,hill,hɪl,h ɪ l,1671,false,,english,English,stan1293,English,eng,Indo-European,,"mountain, hill",2118,MOUNTAIN OR HILL,false,expert
german-958_cliffprecipice-1,958_cliffprecipice,Klippe,klɪpə,k l ɪ p ə,829,false,,german,German,stan1295,German,deu,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
french-958_cliffprecipice-1,958_cliffprecipice,falaise,falɛz,f a l ɛ z,830,false,,french,French,stan1290,French,fra,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
french-958_cliffprecipice-2,958_cliffprecipice,escarpement,ɛskaʀpəmɑ̃,ɛ s k a ʀ p ə m ɑ̃,832,false,,french,French,stan1290,French,fra,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
dutch-958_cliffprecipice-1,958_cliffprecipice,klif,klɪf,k l ɪ f,829,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
english-958_cliffprecipice-1,958_cliffprecipice,cliff,klɪf,k l ɪ f,829,false,,english,English,stan1293,English,eng,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
english-958_cliffprecipice-2,958_cliffprecipice,precipice,prɛsɪpɪs,p r ɛ s ɪ p ɪ s,831,false,,english,English,stan1293,English,eng,Indo-European,,"cliff, precipice",618,PRECIPICE,false,expert
german-957_plainfield-1,957_plainfield,Ebene,eːbənə,eː b ə n ə,1664,false,,german,German,stan1295,German,deu,Indo-European,,"plain, field",652,PLAIN,false,expert
german-957_plainfield-2,957_plainfield,Fläche,flɛxə,f l ɛ x ə,1666,false,,german,German,stan1295,German,deu,Indo-European,,"plain, field",652,PLAIN,false,expert
german-957_plainfield-3,957_plainfield,Feld,fɛlt,f ɛ l t,1668,false,,german,German,stan1295,German,deu,Indo-European,,"plain, field",652,PLAIN,false,expert
french-957_plainfield-1,957_plainfield,plaine,plɛn,p l ɛ n,1665,false,,french,French,stan1290,French,fra,Indo-European,,"plain, field",652,PLAIN,false,expert
french-957_plainfield-2,957_plainfield,campagne,kɑ̃paɲ,k ɑ̃ p a ɲ,6000,false,,french,French,stan1290,French,fra,Indo-European,,"plain, field",652,PLAIN,false,expert
dutch-957_plainfield-1,957_plainfield,vlakte,vlɑktə,v l ɑ k t ə,1666,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,"plain, field",652,PLAIN,false,expert
english-957_plainfield-1,957_plainfield,plain,pleɪn,p l eɪ n,-1665,true,,english,English,stan1293,English,eng,Indo-European,,"plain, field",652,PLAIN,false,expert
german-956_valley-1,956_valley,Tal,taːl,t aː l,1681,false,,german,German,stan1295,German,deu,Indo-European,,valley,921,VALLEY,false,expert
french-956_valley-1,956_valley,vallée,vale,v a l e,1682,false,,french,French,stan1290,French,fra,Indo-European,,valley,921,VALLEY,false,expert
dutch-956_valley-1,956_valley,vallei,vɑlɛɪ,v ɑ l ɛɪ,-1682,true,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,valley,921,VALLEY,false,expert
dutch-956_valley-2,956_valley,dal,dɑl,d ɑ l,1681,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,valley,921,VALLEY,false,expert
english-956_valley-1,956_valley,valley,vælɪ,v æ l ɪ,-1682,true,,english,English,stan1293,English,eng,Indo-European,,valley,921,VALLEY,false,expert
german-954_mainland-1,954_mainland,Festland,fɛst-lant,f ɛ s t + l a n t,1678,false,,german,German,stan1295,German,deu,Indo-European,,mainland,166,MAINLAND,false,expert
french-954_mainland-1,954_mainland,continent,kɔ̃tinɑ̃,k ɔ̃ t i n ɑ̃,1680,false,,french,French,stan1290,French,fra,Indo-European,,mainland,166,MAINLAND,false,expert
dutch-954_mainland-1,954_mainland,vasteland,vɑstə-lɑnt,v ɑ s t ə + l ɑ n t,1678,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,mainland,166,MAINLAND,false,expert
