ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
OldNewari-8_tobealive-1,8_tobealive,mvāt-,mwat-,m w a t,mvāt-,false,,OldNewari,OLD NEWARI,,,,,,to be alive,1422,BE ALIVE,,
ClassicalNewari-8_tobealive-1,8_tobealive,mvāt-,mwat-,m w a t,mvāt-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to be alive,1422,BE ALIVE,,
KathmanduNewari-8_tobealive-1,8_tobealive,mvāt-,mwat-,m w a t,mvāt-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to be alive,1422,BE ALIVE,,
DolakhaNewari-8_tobealive-1,8_tobealive,mwāt-,mwat-,m w a t,mvāt-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to be alive,1422,BE ALIVE,,
ClassicalNewari-9_thebelly-1,9_thebelly,pvāta,pwat,p w a t,pvāt-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the belly,1251,BELLY,,
KathmanduNewari-9_thebelly-1,9_thebelly,pvāḥ,pwaː,p w aː,pvāt-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the belly,1251,BELLY,,
OldNewari-9_thebelly-1,9_thebelly,phū,pʰu,pʰ u,phu,false,,OldNewari,OLD NEWARI,,,,,,the belly,1251,BELLY,,
ClassicalNewari-9_thebelly-2,9_thebelly,phu,pʰu,pʰ u,phu,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the belly,1251,BELLY,,
OldNewari-9_thebelly-2,9_thebelly,pyaṃṭa,pjẽʈɑ,p j ẽ ʈ ɑ,pyaṃṭa,true,,OldNewari,OLD NEWARI,,,,,,the belly,1251,BELLY,,
ClassicalNewari-9_thebelly-3,9_thebelly,peta,pet,p e t,pyaṃṭa,true,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the belly,1251,BELLY,,
DolakhaNewari-9_thebelly-1,9_thebelly,pyāṭā,pjaʈa,p j a ʈ a,pyaṃṭa,true,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the belly,1251,BELLY,,
OldNewari-11_big-1,11_big,tava,tɑwo,t ɑ w o,ta-,false,,OldNewari,OLD NEWARI,,,,,,big,1202,BIG,,
ClassicalNewari-11_big-1,11_big,taomā,tɑwoma,t ɑ w o m a,ta-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,big,1202,BIG,,
KathmanduNewari-11_big-1,11_big,ta,tɔ,t ɔ,ta-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,big,1202,BIG,,
ClassicalNewari-11_big-2,11_big,dhū ?,dʰu,dʰ u,dhu-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,big,1202,BIG,,
DolakhaNewari-11_big-1,11_big,ḍwākar-,ɖwakɑr,ɖ w a k ɑ r,dhu-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,big,1202,BIG,,
ClassicalNewari-12_thebird-1,12_thebird,jhaṅgala,dʑʰɑgɑl,dʑʰ ɑ g ɑ l,jhaṅgal,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the bird,937,BIRD,,
KathmanduNewari-12_thebird-1,12_thebird,jhaṃgaḥ,dʑʰɔ̃gɔ:,dʑʰ ɔ̃ g ɔ:,jhaṅgal,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the bird,937,BIRD,,
DolakhaNewari-12_thebird-1,12_thebird,jāṅal,dʑʰaŋɑl,dʑʰ a ŋ ɑ l,jhaṅgal,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the bird,937,BIRD,,
DolakhaNewari-12_thebird-2,12_thebird,ciḍiya,tɕiɖiyɑ,tɕ i ɖ i j ɑ,ciḍiya,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the bird,937,BIRD,,
OldNewari-13_tobite-1,13_tobite,ṅār-,ŋar-,ŋ a r,ṅār-,false,,OldNewari,OLD NEWARI,,,,,,to bite,1403,BITE,,
ClassicalNewari-13_tobite-1,13_tobite,ṅār-,ŋar-,ŋ a r,ṅār-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to bite,1403,BITE,,
KathmanduNewari-13_tobite-1,13_tobite,nyāt-,njat-,n j a t,ṅār-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to bite,1403,BITE,,
DolakhaNewari-13_tobite-1,13_tobite,ṅār-,ŋar-,ŋ a r,ṅār-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to bite,1403,BITE,,
OldNewari-13_tobite-2,13_tobite,ṅhel-,ŋ̥el-,ŋ̥ e l,ṅhel-,false,,OldNewari,OLD NEWARI,,,,,,to bite,1403,BITE,,
ClassicalNewari-14_black-1,14_black,hāku,haku,h a k u,hāk-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,black,163,BLACK,,
KathmanduNewari-14_black-1,14_black,hāku,haku,h a k u,hāk-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,black,163,BLACK,,
DolakhaNewari-14_black-1,14_black,hākar-(be.black),hakɑr-,h a k ɑ r,hāk-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,black,163,BLACK,,
OldNewari-15_theblood-1,15_theblood,hī,hi,h i,hi,false,,OldNewari,OLD NEWARI,,,,,,the blood,946,BLOOD,,
ClassicalNewari-15_theblood-1,15_theblood,hi,hi,h i,hi,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the blood,946,BLOOD,,
KathmanduNewari-15_theblood-1,15_theblood,hi,hi,h i,hi,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the blood,946,BLOOD,,
DolakhaNewari-15_theblood-1,15_theblood,hi,hi,h i,hi,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the blood,946,BLOOD,,
OldNewari-18_thebone-1,18_thebone,kvas,kos,k o s,kvas,false,,OldNewari,OLD NEWARI,,,,,,the bone,1394,BONE,,
ClassicalNewari-18_thebone-1,18_thebone,kosa,kos,k o s,kvas,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the bone,1394,BONE,,
KathmanduNewari-18_thebone-1,18_thebone,kvayṃ,kɔ̃ĩ,k ɔ̃ĩ,kvas,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the bone,1394,BONE,,
DolakhaNewari-18_thebone-1,18_thebone,koṃsa,kõsɑ,k õ s ɑ,kvas,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the bone,1394,BONE,,
ClassicalNewari-19_thebranch-1,19_thebranch,kacā,kɑtɕa,k ɑ tɕ a,kacā,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the branch,1531,BRANCH,,
KathmanduNewari-19_thebranch-1,19_thebranch,kacā,kɔtɕa,k ɔ tɕ a,kacā,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the branch,1531,BRANCH,,
DolakhaNewari-19_thebranch-1,19_thebranch,kāṃcā,kãtɕa,k ã tɕ a,kacā,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the branch,1531,BRANCH,,
ClassicalNewari-20_thebreastfemale-1,20_thebreastfemale,putanu,putɑnu,p u t ɑ n u,putanu,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the breast (female),1402,BREAST,,
KathmanduNewari-20_thebreastfemale-1,20_thebreastfemale,tutu,tutu,t u t u,tutu,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the breast (female),1402,BREAST,,
OldNewari-22_tobuy-1,22_tobuy,ṅyāt-,ŋjat-,ŋ j a t,ṅyāt-,false,,OldNewari,OLD NEWARI,,,,,,to buy,1869,BUY,,
ClassicalNewari-22_tobuy-1,22_tobuy,ṅāt-,ŋat-,ŋ a t,ṅyāt-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to buy,1869,BUY,,
KathmanduNewari-22_tobuy-1,22_tobuy,nyāt-,njat-,n j a t,ṅyāt-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to buy,1869,BUY,,
DolakhaNewari-22_tobuy-1,22_tobuy,ṅyāt-,ŋjat-,ŋ j a t,ṅyāt-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to buy,1869,BUY,,
OldNewari-23_tochew-1,23_tochew,ṅhel-,ŋ̥el-,ŋ̥ e l,ṅhel-,false,,OldNewari,OLD NEWARI,,,,,,to chew,321,CHEW,,
KathmanduNewari-23_tochew-1,23_tochew,nhel-,n̥el-,n̥ e l,ṅhel-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to chew,321,CHEW,,
DolakhaNewari-23_tochew-1,23_tochew,yāl-,jal-,j a l,yāl-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to chew,321,CHEW,,
ClassicalNewari-25_thecloud-1,25_thecloud,śu,su,s u,su,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,the cloud,1489,CLOUD,,
KathmanduNewari-25_thecloud-1,25_thecloud,kha-su,kʰɔ-su,kʰ ɔ s u,su,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,the cloud,1489,CLOUD,,
DolakhaNewari-25_thecloud-1,25_thecloud,kho-su,kʰo-su,kʰ o s u,su,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,the cloud,1489,CLOUD,,
ClassicalNewari-26_coldoftemperature-1,26_coldoftemperature,khvāṅu,kʰwaŋu,kʰ w a ŋ u,khvāṅu,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,cold (of temperature),1287,COLD,,
KathmanduNewari-26_coldoftemperature-1,26_coldoftemperature,khvāuṃ,kʰwãũ,kʰ w ãũ,khvāṅu,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,cold (of temperature),1287,COLD,,
DolakhaNewari-26_coldoftemperature-1,26_coldoftemperature,khwāṃgar,kʰwãgɑr,kʰ w ã g ɑ r,khvāṅu,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,cold (of temperature),1287,COLD,,
ClassicalNewari-26_coldoftemperature-2,26_coldoftemperature,ciku,tɕiku,tɕ i k u,ciku,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,cold (of temperature),1287,COLD,,
KathmanduNewari-26_coldoftemperature-2,26_coldoftemperature,ciku,tɕiku,tɕ i k u,ciku,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,cold (of temperature),1287,COLD,,
DolakhaNewari-26_coldoftemperature-2,26_coldoftemperature,cikār-,tɕikar-,tɕ i k a r,ciku,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,cold (of temperature),1287,COLD,,
KathmanduNewari-26_coldoftemperature-3,26_coldoftemperature,phvāuṃ,pʰwãũ,pʰ w ãũ,phvāuṃ,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,cold (of temperature),1287,COLD,,
KathmanduNewari-26_coldoftemperature-4,26_coldoftemperature,sitāṃga,sitãgɔ,s i t ã g ɔ,sitāṃga,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,cold (of temperature),1287,COLD,,
OldNewari-27_tocome-1,27_tocome,var-,wɑr-,w ɑ r,var-,false,,OldNewari,OLD NEWARI,,,,,,to come,1446,COME,,
ClassicalNewari-27_tocome-1,27_tocome,var-,wɑr-,w ɑ r,var-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to come,1446,COME,,
KathmanduNewari-27_tocome-1,27_tocome,val-,wɔl-,w ɔ l,var-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to come,1446,COME,,
OldNewari-27_tocome-2,27_tocome,jhār-,dʑʰar-,dʑʰ a r,jhar-,false,,OldNewari,OLD NEWARI,,,,,,to come,1446,COME,,
ClassicalNewari-27_tocome-2,27_tocome,jhāl-,dʑʰal-,dʑʰ a l,jhar-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to come,1446,COME,,
KathmanduNewari-27_tocome-2,27_tocome,jhāl-,dʑʰal-,dʑʰ a l,jhar-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to come,1446,COME,,
DolakhaNewari-27_tocome-1,27_tocome,"jā-sin(imp.,come!)",dʑasin,dʑ a s i n,jhar-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to come,1446,COME,,
OldNewari-27_tocome-3,27_tocome,ye ,je,j e,yer-,false,,OldNewari,OLD NEWARI,,,,,,to come,1446,COME,,
DolakhaNewari-27_tocome-2,27_tocome,yer-,jer-,j e r,yer-,false,,DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Sino-Tibetan,,to come,1446,COME,,
OldNewari-29_tocount-1,29_tocount,ṅīsyaṃ/ṅīye ,ŋisẽ,ŋ i s ẽ,ṅit-,false,,OldNewari,OLD NEWARI,,,,,,to count,1420,COUNT,,
OldNewari-29_tocount-2,29_tocount,ṅīsyaṃ/ṅīye ,ŋije,ŋ i j e,ṅit-,false,,OldNewari,OLD NEWARI,,,,,,to count,1420,COUNT,,
ClassicalNewari-29_tocount-1,29_tocount,ṅin-/t-,ŋit-,ŋ i t,ṅit-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to count,1420,COUNT,,
ClassicalNewari-29_tocount-2,29_tocount,ṅin-/t-,ŋin-,ŋ i n,ṅit-,false,,ClassicalNewari,CLASSICAL NEWARI,,,,,,to count,1420,COUNT,,
KathmanduNewari-29_tocount-1,29_tocount,nit-/nin-,nit-,n i t,ṅit-,false,,KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Sino-Tibetan,,to count,1420,COUNT,,
