ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Beijing-91_vomit-1,91_vomit,tʰu⁵¹,tʰu⁵¹,tʰ u ⁵¹,1,,,Beijing,Beijing,beij1234,Beijing Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Haerbin-91_vomit-1,91_vomit,tʰu⁵³,tʰu⁵³,tʰ u ⁵³,1,,,Haerbin,Ha_erbin,haer1234,Ha'erbin Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Jinan-91_vomit-1,91_vomit,tʰu³¹,tʰu³¹,tʰ u ³¹,1,,,Jinan,Jinan,jina1245,Jinan Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Rongcheng-91_vomit-1,91_vomit,ou²¹³⁻³⁵ tʰu²¹⁴,ou²¹³⁻³⁵ tʰu²¹⁴,ou ²¹³ + tʰ u ²¹⁴,2,,,Rongcheng,Rongcheng,rong1271,Rongcheng Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Rongcheng-91_vomit-1,91_vomit,ou²¹³⁻³⁵ tʰu²¹⁴,ou²¹³⁻³⁵ tʰu²¹⁴,ou ²¹³ + tʰ u ²¹⁴,1,,,Rongcheng,Rongcheng,rong1271,Rongcheng Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Taiyuan-91_vomit-1,91_vomit,tʰu⁵³ lə⁰,tʰu⁵³ lə⁰,tʰ u ⁵³ + l ə ⁰,2,,,Taiyuan,Taiyuan,taiy1243,Taiyuan,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Taiyuan-91_vomit-1,91_vomit,tʰu⁵³ lə⁰,tʰu⁵³ lə⁰,tʰ u ⁵³ + l ə ⁰,5,,,Taiyuan,Taiyuan,taiy1243,Taiyuan,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
XiAn-91_vomit-1,91_vomit,ŋou²¹ tʰu⁵³,ŋou²¹ tʰu⁵³,ŋ ou ²¹ + tʰ u ⁵³,2,,,XiAn,Xi_an,xian1253,Xi'an Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
XiAn-91_vomit-1,91_vomit,ŋou²¹ tʰu⁵³,ŋou²¹ tʰu⁵³,ŋ ou ²¹ + tʰ u ⁵³,1,,,XiAn,Xi_an,xian1253,Xi'an Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-1,91_vomit,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,4,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-1,91_vomit,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,1,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-1,91_vomit,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,5,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-2,91_vomit,tʰu⁵³⁻⁵⁵ lo²¹,tʰu⁵³⁻⁵⁵ lo²¹,tʰ u ⁵³ + l o ²¹,1,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-2,91_vomit,tʰu⁵³⁻⁵⁵ lo²¹,tʰu⁵³⁻⁵⁵ lo²¹,tʰ u ⁵³ + l o ²¹,5,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-3,91_vomit,ŋəu⁵³⁻⁴⁵ lo²¹,ŋəu⁵³⁻⁴⁵ lo²¹,ŋ əu ⁵³ + l o ²¹,2,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Chengdu-91_vomit-3,91_vomit,ŋəu⁵³⁻⁴⁵ lo²¹,ŋəu⁵³⁻⁴⁵ lo²¹,ŋ əu ⁵³ + l o ²¹,5,,,Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Nanjing-91_vomit-1,91_vomit,tʰu⁴⁴,tʰu⁴⁴,tʰ u ⁴⁴,1,,,Nanjing,Nanjing,nanj1234,Nanjing Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Nanjing-91_vomit-2,91_vomit,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ ¹¹ + tʰ u ⁴⁴,2,,,Nanjing,Nanjing,nanj1234,Nanjing Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Nanjing-91_vomit-2,91_vomit,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ ¹¹ + tʰ u ⁴⁴,1,,,Nanjing,Nanjing,nanj1234,Nanjing Mandarin,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Jixi-91_vomit-1,91_vomit,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,f ɔ ⁵⁵ + ŋ o ʔ ³²,6,,,Jixi,Jixi,jixi1238,Jixi,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
Jixi-91_vomit-1,91_vomit,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,f ɔ ⁵⁵ + ŋ o ʔ ³²,7,,,Jixi,Jixi,jixi1238,Jixi,,Sino-Tibetan,Sinitic,vomit,1278,VOMIT,false,expert
