ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Achang-1_sky-1,1_sky,mau³⁴ kʰoŋ³²,mau³⁴ kʰoŋ³²,m au ³⁴ + kʰ o ŋ ³²,1 2,,,Achang,Achang,acha1249,Longchuan Achang,acn,Sino-Tibetan,Burmish,sky,1732,SKY,,
Bela-1_sky-1,1_sky,mau⁵²,mau⁵²,m au ⁵²,1,,,Bela,Bela,pela1242,Pela,bxd,Sino-Tibetan,Burmish,sky,1732,SKY,,
Lashi-1_sky-1,1_sky,mau³ kʰoŋ³¹,mau³ kʰoŋ³¹,m au ³ + kʰ o ŋ ³¹,1 2,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,sky,1732,SKY,,
Maru-1_sky-1,1_sky,moɂ³⁵ gauŋ⁵¹,moɂ³⁵ gauŋ⁵¹,m o ʔ ³⁵ + g au ŋ ⁵¹,1 2,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,sky,1732,SKY,,
Phon-1_sky-1,1_sky,mu³¹,mu³¹,m u ³¹,1,,,Phon,Phon,hpon1238,Hpon,hpo,Sino-Tibetan,Burmish,sky,1732,SKY,,
WrittenBurmese-1_sky-1,1_sky,mui: kauŋ:,mui: kauŋ:,m u/w iː + k au ŋː/ŋ,1 2,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,sky,1732,SKY,,
Zaiwa-1_sky-1,1_sky,mau³ kʰuŋ⁵³,mau³ kʰuŋ⁵³,m au ³ + kʰ u ŋ ⁵³,1 2,,,Zaiwa,Zaiwa,zaiw1241,Zaiwa,atb,Sino-Tibetan,Burmish,sky,1732,SKY,,
Achang-2_sun-1,2_sun,pui³¹,pui³¹,p u/w i ³¹,3,,,Achang,Achang,acha1249,Longchuan Achang,acn,Sino-Tibetan,Burmish,sun,1343,SUN,,
Bela-2_sun-1,2_sun,pui³,pui³,p u/w i ³,3,,,Bela,Bela,pela1242,Pela,bxd,Sino-Tibetan,Burmish,sun,1343,SUN,,
Lashi-2_sun-1,2_sun,be⁵¹,be⁵¹,b e ⁵¹,3,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,sun,1343,SUN,,
Maru-2_sun-1,2_sun,ba³¹,ba³¹,b a ³¹,3,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,sun,1343,SUN,,
WrittenBurmese-2_sun-1,2_sun,pauŋ:,pauŋ:,p au ŋː/ŋ,3,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,sun,1343,SUN,,
Zaiwa-2_sun-1,2_sun,bui³,bui³,b u/w i ³,3,,,Zaiwa,Zaiwa,zaiw1241,Zaiwa,atb,Sino-Tibetan,Burmish,sun,1343,SUN,,
Achang-3_moon-1,3_moon,lạ⁵ mụ⁵,lạ⁵ mụ⁵,l a̰ ⁵ + m ṵ ⁵,4 5,,,Achang,Achang,acha1249,Longchuan Achang,acn,Sino-Tibetan,Burmish,moon,1313,MOON,,
Bela-3_moon-1,3_moon,lẹ²³ mə⁵²,lẹ²³ mə⁵²,l ḛ ²³ + m ə ⁵²,4 5,,,Bela,Bela,pela1242,Pela,bxd,Sino-Tibetan,Burmish,moon,1313,MOON,,
Lashi-3_moon-1,3_moon,la⁵ mɔ⁵³,la⁵ mɔ⁵³,l a ⁵ + m ɔ ⁵³,4 5,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,moon,1313,MOON,,
Maru-3_moon-1,3_moon,lọ⁴³,lọ⁴³,l o̰ ⁴³,4,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,moon,1313,MOON,,
Phon-3_moon-1,3_moon,la³¹,la³¹,l a ³¹,4,,,Phon,Phon,hpon1238,Hpon,hpo,Sino-Tibetan,Burmish,moon,1313,MOON,,
WrittenBurmese-3_moon-1,3_moon,laˀ,laˀ,l aˀ,4,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,moon,1313,MOON,,
Zaiwa-3_moon-1,3_moon,lə⁴ mɔ⁴,lə⁴ mɔ⁴,l ə ⁴ + m ɔ ⁴,4 5,,,Zaiwa,Zaiwa,zaiw1241,Zaiwa,atb,Sino-Tibetan,Burmish,moon,1313,MOON,,
Achang-4_star-1,4_star,gi²,gi²,g i ²,6,,,Achang,Achang,acha1249,Longchuan Achang,acn,Sino-Tibetan,Burmish,star,1430,STAR,,
Bela-4_star-1,4_star,kị³,kị³,k ḭ ³,6,,,Bela,Bela,pela1242,Pela,bxd,Sino-Tibetan,Burmish,star,1430,STAR,,
Lashi-4_star-1,4_star,kị⁵³,kị⁵³,k ḭ ⁵³,6,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,star,1430,STAR,,
Maru-4_star-1,4_star,gi⁵²,gi⁵²,g i ⁵²,6,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,star,1430,STAR,,
WrittenBurmese-4_star-1,4_star,krai,krai,k r ai,6,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,star,1430,STAR,,
Zaiwa-4_star-1,4_star,kị⁵³,kị⁵³,k ḭ ⁵³,6,,,Zaiwa,Zaiwa,zaiw1241,Zaiwa,atb,Sino-Tibetan,Burmish,star,1430,STAR,,
Achang-5_cloud-1,5_cloud,dʒə³²,dʒə³²,dʒ ə ³²,7,,,Achang,Achang,acha1249,Longchuan Achang,acn,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
Bela-5_cloud-1,5_cloud,tsạm³,tsạm³,ts a̰ m ³,7,,,Bela,Bela,pela1242,Pela,bxd,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
Lashi-5_cloud-1,5_cloud,dʒɛ⁵³,dʒɛ⁵³,dʒ ɛ ⁵³,7,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
Maru-5_cloud-1,5_cloud,dʒạm³¹,dʒạm³¹,dʒ a̰ m ³¹,7,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
WrittenBurmese-5_cloud-1,5_cloud,tim,tim,t i m,7,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
Zaiwa-5_cloud-1,5_cloud,dum⁴²,dum⁴²,d u m ⁴²,7,,,Zaiwa,Zaiwa,zaiw1241,Zaiwa,atb,Sino-Tibetan,Burmish,cloud,1489,CLOUD,,
Lashi-6_mist-1,6_mist,ŋãɪ³,ŋãɪ³,ŋ ãɪ ³,8,,,Lashi,Lashi,lash1243,Lashi,lsi,Sino-Tibetan,Burmish,mist,249,FOG,,
Maru-6_mist-1,6_mist,ŋɪn⁴² tʃʰe⁴³,ŋɪn⁴² tʃʰe⁴³,ŋ ɪ n ⁴² + tʃʰ e ⁴³,8 9,,,Maru,Maru,maru1249,Maru,mhx,Sino-Tibetan,Burmish,mist,249,FOG,,
WrittenBurmese-6_mist-1,6_mist,hnaŋ:,hnaŋ:,h n a ŋː/ŋ,8,,,WrittenBurmese,Written_Burmese,oldb1235,Old Burmese,obr,Sino-Tibetan,Burmish,mist,249,FOG,,
