ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Borong-1_i-1,1_i,ni,ni,n i,0,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,I,1209,I,false,expert
Borong-89_where-1,89_where,daaŋeŋ,daaŋeŋ,d a a ŋ e ŋ,1,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,where,1237,WHERE,false,expert
Borong-2_thou-1,2_thou,gi,gi,g i,2,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,thou,1215,THOU,false,expert
Borong-110_itsflower-1,110_itsflower,dzura-,dzura-,dz u r a,3,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(its) flower,239,FLOWER,false,expert
Borong-3_we-1,3_we,nono,nono,n o n o,4,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,we,1212,WE,false,expert
Borong-98_hethrows-1,98_hethrows,mesao-,mesao-,m e s a o,5,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) throws,1456,THROW,false,expert
Borong-10_hesays-1,10_hesays,dzo-,dzo-,dz o,6,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) says,1458,SAY,false,expert
Borong-117_itswing-1,117_itswing,eŋgaŋ-,eŋgaŋ-,e ŋ g a ŋ,7,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(its) wing,1257,WING,false,expert
Borong-19_hegivesme-1,19_hegivesme,non-,non-,n o n,8,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) gives me,1447,GIVE,false,expert
Borong-126_dull-1,126_dull,dzitakpaak,dzitakpaak,dz i t a kp a a k,9,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,dull,379,BLUNT,false,expert
Borong-39_hesleeps-1,39_hesleeps,e-,e-,e,10,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) sleeps,1585,SLEEP,false,expert
Borong-109_lake-1,109_lake,aŋgoŋ,aŋgoŋ,a ŋ g o ŋ,11,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,lake,624,LAKE,false,expert
Borong-40_heeats-1,40_heeats,ne-,ne-,n e,12,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) eats,1336,EAT,false,expert
Borong-137_work-1,137_work,gawoŋ,gawoŋ,g a w o ŋ,13,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,work,984,WORK (LABOUR),false,expert
Borong-20_hestands-1,20_hestands,nan-,nan-,n a n,14,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) stands,1442,STAND,false,expert
Borong-82_itseye-1,82_itseye,dzaa-,dzaa-,dz a a,15,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(its) eye,1248,EYE,false,expert
Borong-41_hebitesit-1,41_hebitesit,ki-,ki-,k i,16,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(he) bites it,1403,BITE,false,expert
Borong-138_spear-1,138_spear,wasak,wasak,w a s a k,17,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,spear,945,SPEAR,false,expert
Borong-21_all-1,21_all,kuuya,kuuya,k u u y a,18,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,all,98,ALL,false,expert
Borong-127_hisbrother-1,127_hisbrother,dat-,dat-,d a t,19,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,(his) brother,1262,BROTHER,false,expert
Borong-42_black-1,42_black,indzaŋa,indzaŋa,i n dz a ŋ a,20,,,Borong,Kosorong,boro1279,Borong,ksr,Nuclear Trans New Guinea,,black,163,BLACK,false,expert
