ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
AbasoloValleMixtec-58_mother-1,58_mother,nana,nana,n a ³ n a ³,432,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,MOTHER,1216,MOTHER,false,expert
AbasoloValleMixtec-59_mothervocative-1,59_mothervocative,ma,ma,m a ³,435,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,MOTHER VOCATIVE,1216,MOTHER,false,expert
AbasoloValleMixtec-32_father-1,32_father,tata,tata,t a ³ t a ³,220,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FATHER,1217,FATHER,false,expert
AbasoloValleMixtec-191_son-1,191_son,se'e,se'e,s e ³ ʔ e ³,103,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,SON,1620,SON,false,expert
AbasoloValleMixtec-129_daughter-1,129_daughter,sesi'i,se-si'i,s e ³ + s i ³ ʔ i ³,103,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,DAUGHTER,1357,DAUGHTER,false,expert
AbasoloValleMixtec-129_daughter-1,129_daughter,sesi'i,se-si'i,s e ³ + s i ³ ʔ i ³,433,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,DAUGHTER,1357,DAUGHTER,false,expert
AbasoloValleMixtec-20_crosssexsibling-1,20_crosssexsibling,kua'à,kua'à,kʷ a ³ ʔ a ¹,159,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,CROSS-SEX SIBLING,,,false,expert
AbasoloValleMixtec-12_brotherofman-1,12_brotherofman,ñani,ñani,ɲ a ³ n i ³,84,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BROTHER (OF MAN),1262,BROTHER,false,expert
AbasoloValleMixtec-148_sisterofwoman-1,148_sisterofwoman,ku'u,ku'u,k u ³ ʔ u ³,651,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,SISTER (OF WOMAN),1263,SISTER,false,expert
AbasoloValleMixtec-119_aunt-1,119_aunt,xixi,xixi,ʃ i ³ ʃ i ³,6,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,AUNT,1272,AUNT,false,expert
AbasoloValleMixtec-151_uncle-1,151_uncle,xito,xito,ʃ i ³ t o ¹,824,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,UNCLE,1327,UNCLE,false,expert
AbasoloValleMixtec-53_man-1,53_man,chàa,chàa,tʃ a ¹ a ³,414,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,MAN,1554,MAN,false,expert
AbasoloValleMixtec-113_woman-1,113_woman,ñà'an,ñà'an,ɲ a ¹ ʔ ã ³,858,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,WOMAN,962,WOMAN,false,expert
AbasoloValleMixtec-144_owner-1,144_owner,sto'o,sto'o,s + t o ³ ʔ o ¹,485,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,OWNER,1036,OWNER,false,expert
AbasoloValleMixtec-144_owner-1,144_owner,sto'o,sto'o,s + t o ³ ʔ o ¹,512,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,OWNER,1036,OWNER,false,expert
AbasoloValleMixtec-79_priest-1,79_priest,sutu,sutu,s u ³ t u ³,568,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,PRIEST,852,PRIEST,false,expert
AbasoloValleMixtec-158_blood-1,158_blood,niì,niì,n i ³ i ¹,65,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BLOOD,946,BLOOD,false,expert
AbasoloValleMixtec-136_hair-1,136_hair,ixi,ixi,i ³ ʃ i ³,311,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,HAIR,1040,HAIR,false,expert
AbasoloValleMixtec-29_face-1,29_face,nùù,nùù,n u ¹ u ¹,210,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FACE,1560,FACE,false,expert
AbasoloValleMixtec-196_tongue-1,196_tongue,yaá,yaá,ʒ a ³ a ⁵,781,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,TONGUE,1205,TONGUE,false,expert
AbasoloValleMixtec-197_tooth-1,197_tooth,nu'u,nu'u,n u ³ ʔ u ³,785,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,TOOTH,1380,TOOTH,false,expert
AbasoloValleMixtec-61_mouth-1,61_mouth,yu'u,yu'u,ʒ u ³ ʔ u ³,447,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,MOUTH,674,MOUTH,false,expert
AbasoloValleMixtec-131_ear-1,131_ear,so'o,so'o,s o ³ ʔ o ¹,194,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,EAR,1247,EAR,false,expert
AbasoloValleMixtec-69_nose-1,69_nose,xichi,xichi,ʃ i ³ tʃ i ³,496,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,NOSE,1221,NOSE,false,expert
AbasoloValleMixtec-141_neck-1,141_neck,sukú,sukú,s u ³ k u ⁵,465,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,NECK,1333,NECK,false,expert
AbasoloValleMixtec-43_hand-1,43_hand,nta'á,nta'á,ⁿd a ³ ʔ a ⁵,320,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,HAND,1277,HAND,false,expert
AbasoloValleMixtec-3_back-1,3_back,sata,sata,s a ³ t a ³,11,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BACK,1291,BACK,false,expert
AbasoloValleMixtec-37_foot-1,37_foot,tsa'a,tsa'a,ts a ³ ʔ a ³,258,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FOOT,1301,FOOT,false,expert
AbasoloValleMixtec-25_disease-1,25_disease,kue'é,kue'é,kʷ e ³ ʔ e ⁵,172,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,DISEASE,1986,DISEASE,false,expert
AbasoloValleMixtec-182_pimple-1,182_pimple,nti'í,nti'í,ⁿd i ³ ʔ i ⁵,529,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,PIMPLE,605,GRAIN,false,expert
AbasoloValleMixtec-16_clothorclothes-1,16_clothorclothes,sa'ma,sa'ma,s a ³ ʔ m a ³,112,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,CLOTH OR CLOTHES,1616,CLOTH,false,expert
AbasoloValleMixtec-147_sandal-1,147_sandal,ntsítsa,ntsítsa,ⁿts i ⁵ ts a ³,631,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,SANDAL,,,false,expert
AbasoloValleMixtec-223_trousers-1,223_trousers,tsatu,tsatu,ts a ³ t u ³,802,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,TROUSERS,809,TROUSERS,false,expert
AbasoloValleMixtec-104_townorvillage-1,104_townorvillage,ñuu,ñuu,ɲ u ³ u ³,794,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,TOWN OR VILLAGE,930,VILLAGE,false,expert
AbasoloValleMixtec-49_house-1,49_house,ve'e,ve'e,β e ³ ʔ e ³,363,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,HOUSE,1252,HOUSE,false,expert
AbasoloValleMixtec-73_path-1,73_path,ichi,ichi,i ³ tʃ i ³,523,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,PATH,2252,PATH,false,expert
AbasoloValleMixtec-210_post-1,210_post,si'ìn,si'ìn,s i ³ ʔ ĩ ¹,387,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,POST,281,POST,false,expert
AbasoloValleMixtec-177_mat-1,177_mat,yuvi,yuvi,ʒ u ³ β i ³,416,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,MAT,195,MAT,false,expert
AbasoloValleMixtec-154_bed-1,154_bed,tsíto,tsíto,ts i ⁵ t o ¹,26,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BED,1663,BED,false,expert
AbasoloValleMixtec-192_stool-1,192_stool,chai,chai,tʃ a ³ i ³,717,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,STOOL,1476,CHAIR,false,expert
AbasoloValleMixtec-1_animal-1,1_animal,kiti,kiti,k i ³ t i ³,2,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,ANIMAL,619,ANIMAL,false,expert
AbasoloValleMixtec-9_bird-1,9_bird,saa,saa,s a ³ a ³,49,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BIRD,937,BIRD,false,expert
AbasoloValleMixtec-34_fish-1,34_fish,chaká,chaká,tʃ + a ³ k a ⁵,9,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FISH,227,FISH,false,expert
AbasoloValleMixtec-34_fish-1,34_fish,chaká,chaká,tʃ + a ³ k a ⁵,242,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FISH,227,FISH,false,expert
AbasoloValleMixtec-95_snake-1,95_snake,kòò,kòò,k o ¹ o ¹,689,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,SNAKE,730,SNAKE,false,expert
AbasoloValleMixtec-166_frog-1,166_frog,sa'va,sa'va,s a ³ ʔ β a ³,263,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,FROG,503,FROG,false,expert
AbasoloValleMixtec-207_hawk-1,207_hawk,xi'an,xi'an,ʃ i ³ ʔ ã ³,193,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,HAWK,1865,BUZZARD,false,expert
AbasoloValleMixtec-155_bee-1,155_bee,ñuñu,ñuñu,ɲ u ³ ɲ u ³,29,,,AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,Mixtepec Mixtec,mix,Otomanguean,Mixtec,BEE,665,BEE,false,expert
