ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Khasi-1_all-1,1_all,roʔ,roʔ,r o ʔ,1_all_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,all,98,ALL,,
Lyngngam-1_all-1,1_all,prok,prok,p r o k,1_all_a,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,all,98,ALL,,
PnarJaintia-1_all-1,1_all,warɔʔ,warɔʔ,w a r ɔ ʔ,1_all_a,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,all,98,ALL,,
WarLamin-1_all-1,1_all,bərɒʔ,bərɒʔ,b ə r ɒ ʔ,1_all_a,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,all,98,ALL,,
Palaung-1_all-1,1_all,paj,paj,p ai̯,1_all_b,false,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,all,98,ALL,,
Khmu-1_all-1,1_all,sam,sam,s a m,1_all_c,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,all,98,ALL,,
Khasi-2_and-1,2_and,baːd,baːd,b aː d,2_and_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,and,1577,AND,,
Lyngngam-2_and-1,2_and,nam,nam,n a m,,true,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,and,1577,AND,,
PnarJaintia-2_and-1,2_and,wa,wa,w a,2_and_c,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,and,1577,AND,,
WarLamin-2_and-1,2_and,waː,waː,w aː,2_and_c,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,and,1577,AND,,
Khasi-3_animal-1,3_animal,mraːd,mraːd,m r aː d,3_animal_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,animal,619,ANIMAL,,
Lyngngam-3_animal-1,3_animal,mraːd,mraːd,m r aː d,,true,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,animal,619,ANIMAL,,
PnarJaintia-3_animal-1,3_animal,mraːd,mraːd,m r aː d,,true,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,animal,619,ANIMAL,,
WarLamin-3_animal-1,3_animal,mrat,mrat,m r a t,,true,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,animal,619,ANIMAL,,
Palaung-3_animal-1,3_animal,to,to,t o,,true,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,animal,619,ANIMAL,,
Khmu-3_animal-1,3_animal,toː,toː,t oː,,true,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,animal,619,ANIMAL,,
Khasi-4_ashes-1,4_ashes,dpej,dpej,d p ei̯,4_ashes_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,ashes,646,ASH,,
Lyngngam-4_ashes-1,4_ashes,əpaw,əpaw,ə p a w,4_ashes_a,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,ashes,646,ASH,,
PnarJaintia-4_ashes-1,4_ashes,tpai,tpai,t p a i,4_ashes_a,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,ashes,646,ASH,,
WarLamin-4_ashes-1,4_ashes,tvʊ,tvʊ,t v ʊ,4_ashes_c,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,ashes,646,ASH,,
Palaung-4_ashes-1,4_ashes,kəhvaŋ,kəhvaŋ,k ə h v a ŋ,4_ashes_d,false,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,ashes,646,ASH,,
Khmu-4_ashes-1,4_ashes,bɔh,bɔh,b ɔ h,4_ashes_e,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,ashes,646,ASH,,
Khasi-5_at-1,5_at,ha,ha,h a,5_at_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,at,1461,AT,,
Lyngngam-5_at-1,5_at,he,he,h e,5_at_a,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,at,1461,AT,,
PnarJaintia-5_at-1,5_at,ha,ha,h a,5_at_a,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,at,1461,AT,,
WarLamin-5_at-1,5_at,ti,ti,t i,5_at_b,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,at,1461,AT,,
Khmu-5_at-1,5_at,daʔ,daʔ,d a ʔ,5_at_b,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,at,1461,AT,,
Khasi-6_backanat-1,6_backanat,dien,dien,d i e n,6_backanat_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,back (anat.),1291,BACK,,
Lyngngam-6_backanat-1,6_backanat,bad don,bad don,b a d + d o n,6_backanat_a,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,back (anat.),1291,BACK,,
PnarJaintia-6_backanat-1,6_backanat,rn̩kʰi,rn̩kʰi,r n̩ kʰ i,6_backanat_b,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,back (anat.),1291,BACK,,
WarLamin-6_backanat-1,6_backanat,təmpɒŋ,təmpɒŋ,t ə m p ɒ ŋ,6_backanat_c,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,back (anat.),1291,BACK,,
Palaung-6_backanat-1,6_backanat,krɔŋ,krɔŋ,k r ɔ ŋ,6_backanat_d,false,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,back (anat.),1291,BACK,,
Khmu-6_backanat-1,6_backanat,kndrɔːŋ,kndrɔːŋ,k d r ɔː ŋ,6_backanat_d,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,back (anat.),1291,BACK,,
Khasi-7_bad-1,7_bad,sɲiew,sɲiew,s ɲ i e w,7_bad_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,bad,1292,BAD,,
Lyngngam-7_bad-1,7_bad,kɨncʰa,kɨncʰa,k ɨ cʰ a,7_bad_b,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,bad,1292,BAD,,
PnarJaintia-7_bad-1,7_bad,siʔ,siʔ,s i ʔ,7_bad_c,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,bad,1292,BAD,,
WarLamin-7_bad-1,7_bad,kɒ͂m,kɒ͂m,k ɒ̃ m,7_bad_d,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,bad,1292,BAD,,
Palaung-7_bad-1,7_bad,kʰu (?),kʰu,kʰ u,7_bad_e,false,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,bad,1292,BAD,,
Khmu-7_bad-1,7_bad,ɲoːɲ,ɲoːɲ,ɲ oː ɲ,7_bad_f,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,bad,1292,BAD,,
Khasi-8_barkoftree-1,8_barkoftree,snep,snep,s e p,8_barkoftree_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,bark (of tree),1204,BARK,,
Lyngngam-8_barkoftree-1,8_barkoftree,snieʔ,snieʔ,s i e ʔ,8_barkoftree_a,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,bark (of tree),1204,BARK,,
PnarJaintia-8_barkoftree-1,8_barkoftree,sneiʔ,sneiʔ,s e i ʔ,8_barkoftree_a,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,bark (of tree),1204,BARK,,
WarLamin-8_barkoftree-1,8_barkoftree,snɪəʔ,snɪəʔ,s ɪ ə ʔ,8_barkoftree_a,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,bark (of tree),1204,BARK,,
Palaung-8_barkoftree-1,8_barkoftree,gɔʔ,gɔʔ,g ɔ ʔ,8_barkoftree_b,false,,Palaung,Palaung,shwe1236,Shwe Palaung,pll,Austroasiatic,,bark (of tree),1204,BARK,,
Khmu-8_barkoftree-1,8_barkoftree,səŋkhraʔ,səŋkhraʔ,s ə ŋ kʰ r a ʔ,8_barkoftree_c,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,bark (of tree),1204,BARK,,
Khasi-9_because-1,9_because,namar,namar,n a m a r,9_because_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,because,1157,BECAUSE,,
Lyngngam-9_because-1,9_because,amte,amte,a m t e,9_because_b,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,because,1157,BECAUSE,,
PnarJaintia-9_because-1,9_because,neibʰaʔ,neibʰaʔ,n e i bʰ a ʔ,9_because_c,false,,PnarJaintia,PnarJaintia,jain1238,Jaintia,,Austroasiatic,,because,1157,BECAUSE,,
WarLamin-9_because-1,9_because,kaʔ,kaʔ,k a ʔ,9_because_d,false,,WarLamin,WarLamin,warj1242,War-Jaintia,aml,Austroasiatic,,because,1157,BECAUSE,,
Khmu-9_because-1,9_because,jɔʔ,jɔʔ,j ɔ ʔ,9_because_e,false,,Khmu,Khmu,khmu1256,Khmu,kjg,Austroasiatic,,because,1157,BECAUSE,,
Khasi-10_belly-1,10_belly,kpoʔ,kpoʔ,k p o ʔ,10_belly_a,false,,Khasi,Khasi,khas1269,Khasi,kha,Austroasiatic,,belly,1251,BELLY,,
Lyngngam-10_belly-1,10_belly,ləwbaʔ,ləwbaʔ,l ə w b a ʔ,10_belly_b,false,,Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Austroasiatic,,belly,1251,BELLY,,
