ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Nanai_Bikin-1_firen-1,1_firen,tao,tao,t ao,2,false,,Nanai_Bikin,Bikin Nanai,nana1257,Nanai,gld,Tungusic,,fire (n.),221,FIRE,,
Evenki_StonyTunguska-1_firen-1,1_firen,towo,towo,t o w o,2,false,,Evenki_StonyTunguska,Stony Tunguska Evenki (Southern),hiss1234,Hissing Evenki,,Tungusic,,fire (n.),221,FIRE,,
Evenki_Teteya-1_firen-1,1_firen,toγo,toγo,t o γ/ɣ o,2,false,,Evenki_Teteya,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",nort3334,Northern Evenki,eve,Tungusic,,fire (n.),221,FIRE,,
Udihe-1_firen-1,1_firen,thoː,thoː,tʰ oː,2,false,,Udihe,Udihe,udih1248,Udihe,ude,Tungusic,,fire (n.),221,FIRE,,
Nanai_Najkhin-1_firen-1,1_firen,tawa,tawa,t a w a,2,false,,Nanai_Najkhin,Najkhin Nanai,nana1257,Nanai,gld,Tungusic,,fire (n.),221,FIRE,,
Evenki_Chiringda-1_firen-1,1_firen,toγo,toγo,t o γ/ɣ o,2,false,,Evenki_Chiringda,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",hiss1234,Hissing Evenki,eve,Tungusic,,fire (n.),221,FIRE,,
Kur_Urmi-1_firen-1,1_firen,toː,toː,t oː,2,false,,Kur_Urmi,Kur-Urmì,kuro1242,Kur-Urmi,,Tungusic,,fire (n.),221,FIRE,,
Evenki_Khamnigan-1_firen-1,1_firen,toɣo,toɣo,t o ɣ o,2,false,,Evenki_Khamnigan,Khamnigan Evenki,hail1248,Urulyungui Khamnigan Evenki,,Tungusic,,fire (n.),221,FIRE,,
Evenki_Strelka_Chun-1_firen-1,1_firen,toγo,toγo,t o γ/ɣ o,2,false,,Evenki_Strelka_Chun,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",hiss1234,Hissing Evenki,eve,Tungusic,,fire (n.),221,FIRE,,
Manchu-1_firen-1,1_firen,tuwa,tuwa,t u w a,2,false,,Manchu,Manchu,manc1252,Manchu,mnc,Tungusic,,fire (n.),221,FIRE,,
Hezhe-1_firen-1,1_firen,tho ~ thua,tho,tʰ o,2,false,,Hezhe,Hezhe,kile1243,Kilen,,Tungusic,,fire (n.),221,FIRE,,
Hezhe-1_firen-2,1_firen,tho ~ thua,thua,tʰ u/w a,2,false,,Hezhe,Hezhe,kile1243,Kilen,,Tungusic,,fire (n.),221,FIRE,,
Negidal-1_firen-1,1_firen,toɣʷo,toɣʷo,t o ɣʷ o,2,false,,Negidal,Negidal,negi1245,Negidal,neg,Tungusic,,fire (n.),221,FIRE,,
Solon-1_firen-1,1_firen,tͻɣ,tͻɣ,t ɔ ɣ,2,false,,Solon,Solon,solo1263,Solon,,Tungusic,,fire (n.),221,FIRE,,
Oroch-1_firen-1,1_firen,tɔː,tɔː,t ɔː,2,false,,Oroch,Oroch,oroc1248,Oroch,oac,Tungusic,,fire (n.),221,FIRE,,
Orok-1_firen-1,1_firen,tɑwɑ,tɑwɑ,t ɑ w ɑ,2,false,,Orok,Orok,orok1265,Orok,oaa,Tungusic,,fire (n.),221,FIRE,,
Evenki_Tutonchany-1_firen-1,1_firen,toγo,toγo,t o γ/ɣ o,2,false,,Evenki_Tutonchany,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",ilim1234,Ilimpeya,,Tungusic,,fire (n.),221,FIRE,,
Xibe-1_firen-1,1_firen,thuɑ,thuɑ,tʰ u ɑ,2,false,,Xibe,Xibe,xibe1242,Xibe,sjo,Tungusic,,fire (n.),221,FIRE,,
Ulcha-1_firen-1,1_firen,tawa,tawa,t a w a,2,false,,Ulcha,Ulch,ulch1241,Ulch,ulc,Tungusic,,fire (n.),221,FIRE,,
Jurchen-1_firen-1,1_firen,ta,ta,t a,2,false,,Jurchen,Jurchen,jurc1239,Jurchen,juc,Tungusic,,fire (n.),221,FIRE,,
Oroqen-1_firen-1,1_firen,tɔɣɔ,tɔɣɔ,t ɔ ɣ ɔ,2,false,,Oroqen,Oroqen,oroq1238,Oroqen,orh,Tungusic,,fire (n.),221,FIRE,,
Even-1_firen-1,1_firen,toˁɣ,toˁɣ,t oˤ/o ʕ ɣ,2,false,,Even,Even,even1260,Even,eve,Tungusic,,fire (n.),221,FIRE,,
Evenki_StonyTunguska-2_nosen-1,2_nosen,oŋokto,oŋokto,o ŋ o k t o,3,false,,Evenki_StonyTunguska,Stony Tunguska Evenki (Southern),hiss1234,Hissing Evenki,,Tungusic,,nose (n.),1221,NOSE,,
Evenki_Teteya-2_nosen-1,2_nosen,oŋokto,oŋokto,o ŋ o k t o,3,false,,Evenki_Teteya,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",nort3334,Northern Evenki,eve,Tungusic,,nose (n.),1221,NOSE,,
Evenki_Chiringda-2_nosen-1,2_nosen,oŋoktɒ,oŋoktɒ,o ŋ o k t ɒ,3,false,,Evenki_Chiringda,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",hiss1234,Hissing Evenki,eve,Tungusic,,nose (n.),1221,NOSE,,
Evenki_Khamnigan-2_nosen-1,2_nosen,oŋokto,oŋokto,o ŋ o k t o,3,false,,Evenki_Khamnigan,Khamnigan Evenki,hail1248,Urulyungui Khamnigan Evenki,,Tungusic,,nose (n.),1221,NOSE,,
