ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Stieng-1_all-1,1_all,lɛʔ,lɛʔ,l ɛ ʔ,1508,false,,Stieng,Stieng,bulo1242,Bulo Stieng,sti,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
Chrau-1_all-1,1_all,lɛʔ lawʌn,lɛʔ lawʌn,l ɛ ʔ + l a w ʌ n,1508,false,,Chrau,Chrau,chra1242,Chrau,crw,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
MRolom-1_all-1,1_all,lɛ mət,lɛ mət,l ɛ + m ə t,1508,false,,MRolom,M.Rolom,east2333,Eastern Mnong,mng,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
MBunong-1_all-1,1_all,lɛʔ rŋoc,lɛʔ rŋoc,l ɛ ʔ + r ŋ o c/ts,1508,false,,MBunong,M.Bunong,maaa1253,Maa,cma,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
MDip-1_all-1,1_all,dɨŋ ndə,dɨŋ ndə,d ɨ ŋ + nd/ⁿd ə,2648,false,,MDip,M.Dip,maaa1253,Maa,cma,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
Ma1-1_all-1,1_all,thuj,thuj,th/tʰ u j,3004,false,,Ma1,Ma1,maaa1253,Maa,,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
Ma2-1_all-1,1_all,sweh,sweh,sw/sʷ e h,3005,false,,Ma2,Ma2,maaa1253,Maa,,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
Sre-1_all-1,1_all,ʒəh,ʒəh,dʑ ə h,3008,false,,Sre,Sre,sree1244,Sre,kpm,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
KahoChil-1_all-1,1_all,ʒəh ʔalaʔ,ʒəh ʔalaʔ,dʑ ə h + ʔ a l a ʔ,3008,false,,KahoChil,KahoChil,chil1279,Chil (Koho),,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
KorCua-1_all-1,1_all,kaluh,kaluh,k a l u h,3001,false,,KorCua,Kor=Cua,cuaa1241,Cua,cua,Austroasiatic,BAHNARIC,all,98,ALL,false,expert
