ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Cora-1-notno-1,1-notno,kah/ka-pú/ka-mo (Casad 1984)/,kah,k a h,1,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
Cora-1-notno-2,1-notno,kah/ka-pú/ka-mo (Casad 1984)/,ka-pú,k a + p u,,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,"Not, no",1240,NOT,,
Cora-1-notno-3,1-notno,kah/ka-pú/ka-mo (Casad 1984)/,ka-mo_,k a + m o,,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,"Not, no",1240,NOT,,
Huichol-1-notno-1,1-notno,tiʂaɨ,tiʂaɨ,t i ʂ a ɨ,2,,,Huichol,Huichol,huic1243,Huichol,hch,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
ProtoNahua-1-notno-1,1-notno,*ahmo/*ka,ahmo,a h m o,1,,,ProtoNahua,Proto-Nahua,azte1234,Aztec,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
ProtoNahua-1-notno-2,1-notno,*ahmo/*ka,ka,k a,,,,ProtoNahua,Proto-Nahua,azte1234,Aztec,,Uto-Aztecan,,"Not, no",1240,NOT,,
Tepiman-1-notno-1,1-notno,*čo/*káaki,čo,tʃ o,1,,,Tepiman,Tepiman,tepi1240,Tepiman,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
Tepiman-1-notno-2,1-notno,*čo/*káaki,káaki,k aː k i,,,,Tepiman,Tepiman,tepi1240,Tepiman,,Uto-Aztecan,,"Not, no",1240,NOT,,
Cahita-1-notno-1,1-notno,*ka,ka,k a,1,,,Cahita,Cahita,cahi1243,Cahitan,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
Tarahumaran-1-notno-1,1-notno,*kai,kai,k ai,1,,,Tarahumaran,Tarahumaran,tara1321,Tarahumaran,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
ProtoCoracholNahua-1-notno-1,1-notno,**ka-mo,ka-mo,k a + m o,1,,,ProtoCoracholNahua,Proto-Corachol-Nahua,cora1261,Corachol-Aztecan,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
ProtoUtoAztecan-1-notno-1,1-notno,*ka,ka,k a,1,,,ProtoUtoAztecan,PUA,utoa1244,Uto-Aztecan,,Uto-Aztecan,,"Not, no",1240,NOT,false,expert
Cora-2-many-1,2-many,mu’i’í,muí,m u i,3,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,Many,1198,MANY,false,expert
Huichol-2-many-1,2-many,mɨiré (Stubbs),mɨiré_,m ɨ i r e,4,,,Huichol,Huichol,huic1243,Huichol,hch,Uto-Aztecan,,Many,1198,MANY,false,expert
ProtoNahua-2-many-1,2-many,*mi:yak,mi:yak,m iː j a k,3,,,ProtoNahua,Proto-Nahua,azte1234,Aztec,,Uto-Aztecan,,Many,1198,MANY,false,expert
Tepiman-2-many-1,2-many,*mui,mui,m u i,3,,,Tepiman,Tepiman,tepi1240,Tepiman,,Uto-Aztecan,,Many,1198,MANY,false,expert
Tarahumaran-2-many-1,2-many,*mu,mu,m u,3,,,Tarahumaran,Tarahumaran,tara1321,Tarahumaran,,Uto-Aztecan,,Many,1198,MANY,false,expert
ProtoUtoAztecan-2-many-1,2-many,*mu’i:- PUA,mu,m u,3,,,ProtoUtoAztecan,PUA,utoa1244,Uto-Aztecan,,Uto-Aztecan,,Many,1198,MANY,false,expert
Cora-3-one-1,3-one,saɨ́,saɨ́,s a ɨ,5,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,One,1493,ONE,false,expert
Huichol-3-one-1,3-one,ʂewi,ʂewi,ʂ e w i,5,,,Huichol,Huichol,huic1243,Huichol,hch,Uto-Aztecan,,One,1493,ONE,false,expert
ProtoNahua-3-one-1,3-one,*se:,se:,s eː,5,,,ProtoNahua,Proto-Nahua,azte1234,Aztec,,Uto-Aztecan,,One,1493,ONE,false,expert
Tepiman-3-one-1,3-one,*hɨ,hɨ,h ɨ,5,,,Tepiman,Tepiman,tepi1240,Tepiman,,Uto-Aztecan,,One,1493,ONE,false,expert
Cahita-3-one-1,3-one,*sen-,sen-,s e n,5,,,Cahita,Cahita,cahi1243,Cahitan,,Uto-Aztecan,,One,1493,ONE,false,expert
Tarahumaran-3-one-1,3-one,*pire,pire,p i r e,6,,,Tarahumaran,Tarahumaran,tara1321,Tarahumaran,,Uto-Aztecan,,One,1493,ONE,false,expert
ProtoCoracholNahua-3-one-1,3-one,**samwi,samwi,s a mʷ i,5,,,ProtoCoracholNahua,Proto-Corachol-Nahua,cora1261,Corachol-Aztecan,,Uto-Aztecan,,One,1493,ONE,false,expert
ProtoUtoAztecan-3-one-1,3-one,*heme tubar/*sei  opatan/,heme_tubar,h e m e,5,,,ProtoUtoAztecan,PUA,utoa1244,Uto-Aztecan,,Uto-Aztecan,,One,1493,ONE,false,expert
ProtoUtoAztecan-3-one-2,3-one,*heme tubar/*sei  opatan/,sei__opatan,s e i,,,,ProtoUtoAztecan,PUA,utoa1244,Uto-Aztecan,,Uto-Aztecan,,One,1493,ONE,,
Cora-4-two-1,4-two,wá’apwa,wá,w a,7,,,Cora,Cora,cora1259,Corachol,,Uto-Aztecan,,Two,1498,TWO,false,expert
Huichol-4-two-1,4-two,huuta,huuta,h uː t a,7,,,Huichol,Huichol,huic1243,Huichol,hch,Uto-Aztecan,,Two,1498,TWO,false,expert
ProtoNahua-4-two-1,4-two,*o:me,o:me,oː m e,7,,,ProtoNahua,Proto-Nahua,azte1234,Aztec,,Uto-Aztecan,,Two,1498,TWO,false,expert
Tepiman-4-two-1,4-two,*gok,gok,g o k,7,,,Tepiman,Tepiman,tepi1240,Tepiman,,Uto-Aztecan,,Two,1498,TWO,false,expert
Cahita-4-two-1,4-two,*woyi,woyi,w o j i,7,,,Cahita,Cahita,cahi1243,Cahitan,,Uto-Aztecan,,Two,1498,TWO,false,expert
