ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
CentralArabic-1_all-1,1_all,kull,kull,k u lː,,,,CentralArabic,CentralArabic,stan1318,Standard Arabic,arb,Afro-Asiatic,,ALL,98,ALL,,
MoroccanArabic-1_all-1,1_all,koll,koll,k o lː,all,,,MoroccanArabic,MoroccoArabic,moro1292,Moroccan Arabic,ary,Afro-Asiatic,,ALL,98,ALL,false,expert
Maltese-1_all-1,1_all,Koll u,Koll_u,k o lː u,all,,,Maltese,MalteseArabic,malt1254,Maltese,mlt,Afro-Asiatic,,ALL,98,ALL,false,expert
Cairene-1_all-1,1_all,kull,kull,k u lː,all,,,Cairene,CaireneArabic,egyp1253,Egyptian Arabic,arz,Afro-Asiatic,,ALL,98,ALL,false,expert
Damascene-1_all-1,1_all,kəll,kəll,k ə lː,all,,,Damascene,DamasceneArabic,nort3139,Levantine Arabic,apc,Afro-Asiatic,,ALL,98,ALL,false,expert
Iraqi-1_all-1,1_all,kull,kull,k u lː,all,,,Iraqi,IraqiArabic,jude1266,Judeo-Iraqi Arabic,yhd,Afro-Asiatic,,ALL,98,ALL,false,expert
Soukhne-1_all-1,1_all,ʧill,ʧill,tʃ i lː,all,,,Soukhne,SoukhneArabic,nort3139,Levantine Arabic,apc,Afro-Asiatic,,ALL,98,ALL,false,expert
AqraArbilArabic-1_all-1,1_all,"kəll, sa:γi:  n",kəll,k ə lː,all,,,AqraArbilArabic,AqraArbilArabic,jude1266,Judeo-Iraqi Arabic,yhd,Afro-Asiatic,,ALL,98,ALL,false,expert
CypriotArabic-1_all-1,1_all,kull,kull,k u lː,all,,,CypriotArabic,CypriotArabic,cypr1248,Cypriot Arabic,acy,Afro-Asiatic,,ALL,98,ALL,false,expert
GulfArabic-1_all-1,1_all,kil,kil,k i l,all,,,GulfArabic,United Arab Emirates,gulf1241,Gulf Arabic,afb,Afro-Asiatic,,ALL,98,ALL,false,expert
YemeniticArabic-1_all-1,1_all,kull,kull,k u lː,all,,,YemeniticArabic,YemeniticArabic,jude1267,Judeo-Yemeni Arabic,jye,Afro-Asiatic,,ALL,98,ALL,false,expert
NigerianArabic-1_all-1,1_all,tʃat,tʃat,tʃ a t,,,,NigerianArabic,NigerianArabic,chad1249,Chadian Arabic,shu,Afro-Asiatic,,ALL,98,ALL,,
Buxari-1_all-1,1_all,kullu,kullu,k u lː u,all,,,Buxari,BuxariArabic,uzbe1248,Qashqa-Darya Arabic,auz,Afro-Asiatic,,ALL,98,ALL,false,expert
Kinubi-1_all-1,1_all,kulu,kulu,k u l u,all,,,Kinubi,Ki-nubi,nubi1253,Nubi,kcn,Afro-Asiatic,,ALL,98,ALL,false,expert
CentralArabic-2_ash-1,2_ash,ra ma: d,ra_ma:_d,r a m aː d,,,,CentralArabic,CentralArabic,stan1318,Standard Arabic,arb,Afro-Asiatic,,ASH,646,ASH,,
MoroccanArabic-2_ash-1,2_ash,rˁm adˁ,rˁm_adˁ,rˤ m a dˤ,ash,,,MoroccanArabic,MoroccoArabic,moro1292,Moroccan Arabic,ary,Afro-Asiatic,,ASH,646,ASH,false,expert
Maltese-2_ash-1,2_ash,rmi: d,rmi:_d,r m iː d,ash,,,Maltese,MalteseArabic,malt1254,Maltese,mlt,Afro-Asiatic,,ASH,646,ASH,false,expert
Cairene-2_ash-1,2_ash,ram a:dˁ  *,ram_a:dˁ_*,r a m aː dˤ,ash,,,Cairene,CaireneArabic,egyp1253,Egyptian Arabic,arz,Afro-Asiatic,,ASH,646,ASH,false,expert
Damascene-2_ash-1,2_ash,rama :d,rama_:d,r a m aː d,ash,,,Damascene,DamasceneArabic,nort3139,Levantine Arabic,apc,Afro-Asiatic,,ASH,646,ASH,false,expert
Iraqi-2_ash-1,2_ash,ruma :d,ruma_:d,r u m aː d,ash,,,Iraqi,IraqiArabic,jude1266,Judeo-Iraqi Arabic,yhd,Afro-Asiatic,,ASH,646,ASH,false,expert
AqraArbilArabic-2_ash-1,2_ash,rˁam a:d,rˁam_a:d,rˤ a m aː d,ash,,,AqraArbilArabic,AqraArbilArabic,jude1266,Judeo-Iraqi Arabic,yhd,Afro-Asiatic,,ASH,646,ASH,false,expert
CypriotArabic-2_ash-1,2_ash,rama t  r-m-  d,rama_t_r-m-_d,r a m a t r m d,ash,,,CypriotArabic,CypriotArabic,cypr1248,Cypriot Arabic,acy,Afro-Asiatic,,ASH,646,ASH,false,expert
GulfArabic-2_ash-1,2_ash,rama ad,rama_ad,r a m a a d,ash,,,GulfArabic,United Arab Emirates,gulf1241,Gulf Arabic,afb,Afro-Asiatic,,ASH,646,ASH,false,expert
Buxari-2_ash-1,2_ash,ra’matt,ra’matt,r a mˁ a tː,ash,,,Buxari,BuxariArabic,uzbe1248,Qashqa-Darya Arabic,auz,Afro-Asiatic,,ASH,646,ASH,false,expert
Kinubi-2_ash-1,2_ash,ruman,ruman,r u m a n,ash,,,Kinubi,Ki-nubi,nubi1253,Nubi,kcn,Afro-Asiatic,,ASH,646,ASH,false,expert
CentralArabic-3_bark-1,3_bark,qirf at,qirf_at,q i r f a t,,,,CentralArabic,CentralArabic,stan1318,Standard Arabic,arb,Afro-Asiatic,,BARK,1204,BARK,,
MoroccanArabic-3_bark-1,3_bark,qeʃ rˁa,qeʃ_rˁa,q e ʃ rˤ a,bark,,,MoroccanArabic,MoroccoArabic,moro1292,Moroccan Arabic,ary,Afro-Asiatic,,BARK,1204,BARK,false,expert
Maltese-3_bark-1,3_bark,ʔoʃr a,ʔoʃr_a,ʔ o ʃ r a,bark,,,Maltese,MalteseArabic,malt1254,Maltese,mlt,Afro-Asiatic,,BARK,1204,BARK,false,expert
Cairene-3_bark-1,3_bark,ʔiʃr*,ʔiʃr*,ʔ i ʃ r,bark,,,Cairene,CaireneArabic,egyp1253,Egyptian Arabic,arz,Afro-Asiatic,,BARK,1204,BARK,false,expert
Damascene-3_bark-1,3_bark,ʔəʃər,ʔəʃər,ʔ ə ʃ ə r,,,,Damascene,DamasceneArabic,nort3139,Levantine Arabic,apc,Afro-Asiatic,,BARK,1204,BARK,,
