ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
AmamiAsama-1_firen-1,1_firen,Ɂmatsɨ,Ɂmatsɨ,ʔ m a ts ɨ,1,,,AmamiAsama,Amami Asama,toku1246,Toku-No-Shima,tkn,Japonic,,fire (n.),221,FIRE,,
AmamiYamatohama-1_firen-1,1_firen,μacï,μacï,μ/m a c/ts ï/ɨ,1,,,AmamiYamatohama,Amami Yamatohama,sout2954,Southern Amami-Oshima,ams,Japonic,,fire (n.),221,FIRE,,
AmamiYoron-1_firen-1,1_firen,maci,maci,m a c/ts i,1,,,AmamiYoron,Amami Yoron,yoro1243,Yoron,yox,Japonic,,fire (n.),221,FIRE,,
MiyakoIrabu-1_firen-1,1_firen,umacï,umacï,u m a c/ts ï/ɨ,1,,,MiyakoIrabu,Miyako Irabu,irab1238,Irabu-Jima,mvi,Japonic,,fire (n.),221,FIRE,,
Fukuoka-1_firen-1,1_firen,hi,hi,h i,2,,,Fukuoka,Fukuoka,,,jpn,Japonic,,fire (n.),221,FIRE,,
Gangwon-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,Gangwon,Gangwon,,,kor,Koreanic,,fire (n.),221,FIRE,,
Gyeonggi-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,Gyeonggi,Gyeonggi,seou1239,Seoul,kor,Koreanic,,fire (n.),221,FIRE,,
Hachijo-1_firen-1,1_firen,hi,hi,h i,2,,,Hachijo,Hachijo,hach1239,Hachijo,,Japonic,,fire (n.),221,FIRE,,
Hwanghae-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,Hwanghae,Hwanghae,hwan1238,Hwanghaedo,kor,Koreanic,,fire (n.),221,FIRE,,
Japanese-1_firen-1,1_firen,hi,hi,h i,2,,,Japanese,Japanese,,,jpn,Japonic,,fire (n.),221,FIRE,,
Jeju-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,Jeju,Jeju,jeju1234,Jejueo,kor,Koreanic,,fire (n.),221,FIRE,,
Kagoshima-1_firen-1,1_firen,hi,hi,h i,2,,,Kagoshima,Kagoshima,sats1242,Satsuma-ben,jpn,Japonic,,fire (n.),221,FIRE,,
Korean-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,Korean,Korean,,,kor,Koreanic,,fire (n.),221,FIRE,,
Koshikiislands-1_firen-1,1_firen,hi,hi,h i,2,,,Koshikiislands,Koshiki islands,sats1242,Satsuma-ben,jpn,Japonic,,fire (n.),221,FIRE,,
Kumamoto-1_firen-1,1_firen,hiː,hiː,h iː,2,,,Kumamoto,Kumamoto,kuma1281,Kumamoto-ben,jpn,Japonic,,fire (n.),221,FIRE,,
LateMiddleKorean-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,LateMiddleKorean,(Late) Middle Korean,late1258,Late Middle Korean,kor,Koreanic,,fire (n.),221,FIRE,,
NorthernChungcheong-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,NorthernChungcheong,Northern Chungcheong,chun1247,Ch'ungch'ongdo,kor,Koreanic,,fire (n.),221,FIRE,,
NorthernGyeongsang-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,NorthernGyeongsang,Northern Gyeongsang,kyon1247,Kyongsangdo,kor,Koreanic,,fire (n.),221,FIRE,,
NorthernHamgyong-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,NorthernHamgyong,Northern Hamgyong,hamg1238,Hamgyongdo,kor,Koreanic,,fire (n.),221,FIRE,,
NorthernJeolla-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,NorthernJeolla,Northern Jeolla,chol1278,Jollado,kor,Koreanic,,fire (n.),221,FIRE,,
NorthernPyongan-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,NorthernPyongan,Northern Pyongan,pyon1239,P'yong'ando,kor,Koreanic,,fire (n.),221,FIRE,,
OkinawaShuri-1_firen-1,1_firen,hwii,hwii,hw/hʷ iː,2,,,OkinawaShuri,Okinawa Shuri,shur1243,Shuri,ryu,Japonic,,fire (n.),221,FIRE,,
OkinawaYonamine-1_firen-1,1_firen,πii,πii,π/p iː,2,,,OkinawaYonamine,Okinawa Yonamine,kuni1268,Kunigami,xug,Japonic,,fire (n.),221,FIRE,,
SouthernChungcheong-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,SouthernChungcheong,Southern Chungcheong,chun1247,Ch'ungch'ongdo,kor,Koreanic,,fire (n.),221,FIRE,,
SouthernGyeongsang-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,SouthernGyeongsang,Southern Gyeongsang,kyon1247,Kyongsangdo,kor,Koreanic,,fire (n.),221,FIRE,,
SouthernHamgyong-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,SouthernHamgyong,Southern Hamgyong,hamg1238,Hamgyongdo,kor,Koreanic,,fire (n.),221,FIRE,,
SouthernJeolla-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,SouthernJeolla,Southern Jeolla,chol1278,Jollado,kor,Koreanic,,fire (n.),221,FIRE,,
SouthernPyongan-1_firen-1,1_firen,pwul,pwul,p w u l,2,,,SouthernPyongan,Southern Pyongan,pyon1239,P'yong'ando,kor,Koreanic,,fire (n.),221,FIRE,,
YaeyamaHatoma-1_firen-1,1_firen,pii,pii,p iː,2,,,YaeyamaHatoma,Yaeyama Hatoma,hato1238,Hatoma,rys,Japonic,,fire (n.),221,FIRE,,
YaeyamaIshigaki-1_firen-1,1_firen,pïï,pïï,p ïï/ɨː,2,,,YaeyamaIshigaki,Yaeyama Ishigaki,ishi1240,Ishigaki,rys,Japonic,,fire (n.),221,FIRE,,
Yonaguni-1_firen-1,1_firen,ccìi,ccìi,cc/tsː ì/i i,2,,,Yonaguni,Yonaguni,yona1241,Yonaguni,yoi,Japonic,,fire (n.),221,FIRE,,
EasternEvenki-1_firen-1,1_firen,togo,togo,t o g o,3,,,EasternEvenki,Eastern Evenki,,,,Tungusic,,fire (n.),221,FIRE,,
Even-1_firen-1,1_firen,tọg,tọg,t ọ/o g,3,,,Even,Even,even1260,Even,eve,Tungusic,,fire (n.),221,FIRE,,
EvenkiKamnigan-1_firen-1,1_firen,togo,togo,t o g o,3,,,EvenkiKamnigan,Evenki (Khamnigan),chen1257,Borzya Khamnigan Evenki,,Tungusic,,fire (n.),221,FIRE,,
Hezhe-1_firen-1,1_firen,to ~ tua,to,t o,3,,,Hezhe,Hezhe,sung1269,Sungari,,Tungusic,,fire (n.),221,FIRE,,
Jurchen-1_firen-1,1_firen,ta,ta,t a,3,,,Jurchen,Jurchen,jurc1239,Jurchen,juc,Tungusic,,fire (n.),221,FIRE,,
KurUrmi-1_firen-1,1_firen,toː,toː,t oː,3,,,KurUrmi,Kur-Urmi,kuro1242,Kur-Urmi,,Tungusic,,fire (n.),221,FIRE,,
Manchu-1_firen-1,1_firen,tuwa,tuwa,t u w a,3,,,Manchu,Manchu,manc1252,Manchu,mnc,Tungusic,,fire (n.),221,FIRE,,
NanaiBikin-1_firen-1,1_firen,tao,tao,t ao,3,,,NanaiBikin,Nanai (Bikin),nana1257,Nanai,gld,Tungusic,,fire (n.),221,FIRE,,
NanaiMiddleAmur-1_firen-1,1_firen,tawa,tawa,t a w a,3,,,NanaiMiddleAmur,Nanai (Middle Amur),nana1257,Nanai,gld,Tungusic,,fire (n.),221,FIRE,,
Negidal-1_firen-1,1_firen,togo,togo,t o g o,3,,,Negidal,Negidal,negi1245,Negidal,neg,Tungusic,,fire (n.),221,FIRE,,
NorthernEvenkiTura-1_firen-1,1_firen,togo,togo,t o g o,3,,,NorthernEvenkiTura,Northern Evenki (Tura),ilim1234,Ilimpeya,,Tungusic,,fire (n.),221,FIRE,,
NorthernEvenkiTutonchany-1_firen-1,1_firen,togo,togo,t o g o,3,,,NorthernEvenkiTutonchany,Northern Evenki (Tutonchany),ilim1234,Ilimpeya,,Tungusic,,fire (n.),221,FIRE,,
Oroch-1_firen-1,1_firen,toː,toː,t oː,3,,,Oroch,Oroch,oroc1248,Oroch,oac,Tungusic,,fire (n.),221,FIRE,,
Orok-1_firen-1,1_firen,tawa,tawa,t a w a,3,,,Orok,Orok,orok1265,Orok,oaa,Tungusic,,fire (n.),221,FIRE,,
Oroqen-1_firen-1,1_firen,tɔgɔ,tɔgɔ,t ɔ g ɔ,3,,,Oroqen,Oroqen,oroq1238,Oroqen,orh,Tungusic,,fire (n.),221,FIRE,,
Solon-1_firen-1,1_firen,tͻg,tͻg,t ɔ g,3,,,Solon,Solon,solo1263,Solon,,Tungusic,,fire (n.),221,FIRE,,
SouthernEvenkiChiringda-1_firen-1,1_firen,toγo,toγo,t o γ/ɣ o,3,,,SouthernEvenkiChiringda,Southern Evenki (Chiringda),hiss1234,Hissing Evenki,,Tungusic,,fire (n.),221,FIRE,,
SouthernEvenkiVershinaTuturyBaikal-1_firen-1,1_firen,togo,togo,t o g o,3,,,SouthernEvenkiVershinaTuturyBaikal,"Southern Evenki  (Vershina-Tutury, Baikal)",,,,Tungusic,,fire (n.),221,FIRE,,
StonyEvenkiPTPodkamennayaTunguska-1_firen-1,1_firen,towo,towo,t o w o,3,,,StonyEvenkiPTPodkamennayaTunguska,Stony Evenki (PT = Podkamennaya Tunguska),hiss1234,Hissing Evenki,,Tungusic,,fire (n.),221,FIRE,,
Udihe-1_firen-1,1_firen,toː,toː,t oː,3,,,Udihe,Udihe,udih1248,Udihe,ude,Tungusic,,fire (n.),221,FIRE,,
Ulcha-1_firen-1,1_firen,tawa,tawa,t a w a,3,,,Ulcha,Ulcha,ulch1242,Ulchaic,,Tungusic,,fire (n.),221,FIRE,,
Xibe-1_firen-1,1_firen,tua,tua,t u/w a,3,,,Xibe,Xibe,xibe1242,Xibe,sjo,Tungusic,,fire (n.),221,FIRE,,
