ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
teiwa-264_sky-1,264_sky,bulan,bulan,b u l a n,264_sky-0,,,teiwa,Teiwa,teiw1235,Teiwa,twe,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
abui-264_sky-1,264_sky,ahalingtama,ahalingtama,a h a l i ŋ t a m a,264_sky-6,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
blagar-264_sky-1,264_sky,bulaŋ,bulaŋ,b u l a ŋ,264_sky-0,,,blagar,Blagar,blag1240,Blagar,beu,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
kamang-264_sky-1,264_sky,deling,deling,d e l i ŋ,264_sky-7,,,kamang,Kamang,kama1365,Kamang,woi,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
wersing-264_sky-1,264_sky,ayakeng,ayakeng,a j a k e ŋ,264_sky-9,,,wersing,Wersing,wers1238,Wersing,kvw,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
kaera-264_sky-1,264_sky,bulung,bulung,b u l u ŋ,264_sky-0,,,kaera,Kaera,kaer1234,Kaera,jka,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
westernpantar-264_sky-1,264_sky,gunnang,gunnang,g u n n a ŋ,264_sky-2,,,westernpantar,Western Pantar,lamm1241,Western Pantar,lev,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
kui-264_sky-1,264_sky,langin,langin,l a ŋ i n,264_sky-5,,,kui,Kui,kuii1254,Kui,kvd,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
adang-264_sky-1,264_sky,la:b,la:b,l aː b,264_sky-3,,,adang,Adang,adan1251,Adang,adn,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
sawila-264_sky-1,264_sky,ayaakani,ayaakani,a j a a k a n i,264_sky-8,,,sawila,Sawila,sawi1256,Sawila,swt,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
nedebang-264_sky-1,264_sky,hundus,hundus,h u n d u s,264_sky-1,,,nedebang,Nedebang,nede1245,Nedebang,nec,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
klon-264_sky-1,264_sky,buləgɛn,buləgɛn,b u l ə g ɛ n,264_sky-4,,,klon,Klon,kelo1247,Klon,kyo,Timor-Alor-Pantar,,sky,1732,SKY,false,expert
teiwa-287_sun-1,287_sun,war get,war get,w a r + g e t,287_sun-0,,,teiwa,Teiwa,teiw1235,Teiwa,twe,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
abui-287_sun-1,287_sun,wari,wari,w a r i,287_sun-0,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
protoalorpantar-287_sun-1,287_sun,wad-i,wad-i,w a d i,287_sun-0,,,protoalorpantar,Alor-Pantar,alor1249,Alor-Pantar,,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
blagar-287_sun-1,287_sun,ved,ved,v e d,287_sun-0,,,blagar,Blagar,blag1240,Blagar,beu,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
kamang-287_sun-1,287_sun,wati,wati,w a t i,287_sun-0,,,kamang,Kamang,kama1365,Kamang,woi,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
wersing-287_sun-1,287_sun,widí,widí,w i d i,287_sun-0,,,wersing,Wersing,wers1238,Wersing,kvw,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
kaera-287_sun-1,287_sun,kuwer,kuwer,k u w e r,287_sun-4,,,kaera,Kaera,kaer1234,Kaera,jka,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
westernpantar-287_sun-1,287_sun,was,was,w a s,287_sun-1,,,westernpantar,Western Pantar,lamm1241,Western Pantar,lev,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
kui-287_sun-1,287_sun,ber,ber,b e r,287_sun-3,,,kui,Kui,kuii1254,Kui,kvd,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
adang-287_sun-1,287_sun,fεd,fεd,f ɛ d,287_sun-0,,,adang,Adang,adan1251,Adang,adn,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
sawila-287_sun-1,287_sun,wadi,wadi,w a d i,287_sun-0,,,sawila,Sawila,sawi1256,Sawila,swt,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
nedebang-287_sun-1,287_sun,weri,weri,w e r i,287_sun-0,,,nedebang,Nedebang,nede1245,Nedebang,nec,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
klon-287_sun-1,287_sun,mədi,mədi,m ə d i,287_sun-2,,,klon,Klon,kelo1247,Klon,kyo,Timor-Alor-Pantar,,sun,1343,SUN,false,expert
teiwa-278_star-1,278_star,yif,yif,j i f,278_star-0,,,teiwa,Teiwa,teiw1235,Teiwa,twe,Timor-Alor-Pantar,,star,1430,STAR,false,expert
abui-278_star-1,278_star,fir/fɪr,fir,f i r,278_star-3,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,star,1430,STAR,false,expert
abui-278_star-2,278_star,fir/fɪr,fɪr,f ɪ r,,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,star,1430,STAR,,
blagar-278_star-1,278_star,iid,iid,i i d,278_star-2,,,blagar,Blagar,blag1240,Blagar,beu,Timor-Alor-Pantar,,star,1430,STAR,false,expert
kamang-278_star-1,278_star,atoibaai,atoibaai,a t o i b a a i,278_star-4,,,kamang,Kamang,kama1365,Kamang,woi,Timor-Alor-Pantar,,star,1430,STAR,false,expert
wersing-278_star-1,278_star,apíkal,apíkal,a p i k a l,278_star-6,,,wersing,Wersing,wers1238,Wersing,kvw,Timor-Alor-Pantar,,star,1430,STAR,false,expert
kaera-278_star-1,278_star,ipalaq,ipalaq,i p a l a q,278_star-1,,,kaera,Kaera,kaer1234,Kaera,jka,Timor-Alor-Pantar,,star,1430,STAR,false,expert
westernpantar-278_star-1,278_star,hibbe,hibbe,h i b b e,278_star-0,,,westernpantar,Western Pantar,lamm1241,Western Pantar,lev,Timor-Alor-Pantar,,star,1430,STAR,false,expert
kui-278_star-1,278_star,i bra,i bra,i + b r a,278_star-0,,,kui,Kui,kuii1254,Kui,kvd,Timor-Alor-Pantar,,star,1430,STAR,false,expert
adang-278_star-1,278_star,i:b,i:b,iː b,278_star-0,,,adang,Adang,adan1251,Adang,adn,Timor-Alor-Pantar,,star,1430,STAR,false,expert
sawila-278_star-1,278_star,lawaala,lawaala,l a w a a l a,278_star-5,,,sawila,Sawila,sawi1256,Sawila,swt,Timor-Alor-Pantar,,star,1430,STAR,false,expert
nedebang-278_star-1,278_star,ifahoya,ifahoya,i f a h o j a,278_star-0,,,nedebang,Nedebang,nede1245,Nedebang,nec,Timor-Alor-Pantar,,star,1430,STAR,false,expert
klon-278_star-1,278_star,ɪb,ɪb,ɪ b,278_star-0,,,klon,Klon,kelo1247,Klon,kyo,Timor-Alor-Pantar,,star,1430,STAR,false,expert
teiwa-60_cloud-1,60_cloud,menaaf,menaaf,m e n a a f,60_cloud-0,,,teiwa,Teiwa,teiw1235,Teiwa,twe,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
abui-60_cloud-1,60_cloud,tabo,tabo,t a b o,60_cloud-8,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
blagar-60_cloud-1,60_cloud,bənaw,bənaw,b ə n a w,60_cloud-4,,,blagar,Blagar,blag1240,Blagar,beu,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
kamang-60_cloud-1,60_cloud,wale,wale,w a l e,60_cloud-9,,,kamang,Kamang,kama1365,Kamang,woi,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
wersing-60_cloud-1,60_cloud,sakpul,sakpul,s a k p u l,60_cloud-10,,,wersing,Wersing,wers1238,Wersing,kvw,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
kaera-60_cloud-1,60_cloud,bənab,bənab,b ə n a b,60_cloud-2,,,kaera,Kaera,kaer1234,Kaera,jka,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
westernpantar-60_cloud-1,60_cloud,unnas,unnas,u n n a s,60_cloud-3,,,westernpantar,Western Pantar,lamm1241,Western Pantar,lev,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
kui-60_cloud-1,60_cloud,tebes,tebes,t e b e s,60_cloud-7,,,kui,Kui,kuii1254,Kui,kvd,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
adang-60_cloud-1,60_cloud,la:b,la:b,l aː b,60_cloud-5,,,adang,Adang,adan1251,Adang,adn,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
sawila-60_cloud-1,60_cloud,sakapulo,sakapulo,s a k a p u l o,60_cloud-10,,,sawila,Sawila,sawi1256,Sawila,swt,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
nedebang-60_cloud-1,60_cloud,bunah,bunah,b u n a h,60_cloud-1,,,nedebang,Nedebang,nede1245,Nedebang,nec,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
klon-60_cloud-1,60_cloud,"teʔeh, bɔntu",teʔeh,t e ʔ e h,60_cloud-6,,,klon,Klon,kelo1247,Klon,kyo,Timor-Alor-Pantar,,cloud,1489,CLOUD,false,expert
klon-60_cloud-2,60_cloud,"teʔeh, bɔntu",bɔntu,b ɔ n t u,,,,klon,Klon,kelo1247,Klon,kyo,Timor-Alor-Pantar,,cloud,1489,CLOUD,,
teiwa-202_night-1,202_night,iqa'an,iqa'an,i q a ʔ a n,202_night-0,,,teiwa,Teiwa,teiw1235,Teiwa,twe,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
abui-202_night-1,202_night,tungtama,tungtama,t u ŋ t a m a,202_night-4,,,abui,Abui,abui1241,Abui,abz,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
blagar-202_night-1,202_night,kəmalu,kəmalu,k ə m a l u,202_night-2,,,blagar,Blagar,blag1240,Blagar,beu,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
kamang-202_night-1,202_night,titla,titla,t i t l a,202_night-5,,,kamang,Kamang,kama1365,Kamang,woi,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
wersing-202_night-1,202_night,maléng,maléng,m a l e ŋ,202_night-7,,,wersing,Wersing,wers1238,Wersing,kvw,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
kaera-202_night-1,202_night,iqano,iqano,i q a n o,202_night-0,,,kaera,Kaera,kaer1234,Kaera,jka,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
westernpantar-202_night-1,202_night,ir patta  (lit 'dark'),ir patta,i r + p a t t a,202_night-1,,,westernpantar,Western Pantar,lamm1241,Western Pantar,lev,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
kui-202_night-1,202_night,penen akana,penen akana,p e n e n + a k a n a,202_night-0,,,kui,Kui,kuii1254,Kui,kvd,Timor-Alor-Pantar,,night,1233,NIGHT,false,expert
