ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
meglenoromanian-42_i-1,42_i,yo {i̯o} ~ yew {i̯eu̯} ~ iwə {iu̯ă},j.o,j o,92,false,,meglenoromanian,Megleno_Romanian,megl1237,Megleno-Romanian,ruq,Indo-European,,I,1209,I,false,expert
istroromanian-42_i-1,42_i,yo {ó},j.o,j o,92,false,,istroromanian,Istro_Romanian,istr1245,Istro-Romanian,ruo,Indo-European,,I,1209,I,false,expert
aromanian-42_i-1,42_i,yo {ĭo},j.o,j o,92,false,,aromanian,Aromanian,arom1237,Aromanian,rup,Indo-European,,I,1209,I,false,expert
romanian-42_i-1,42_i,yew {eu},j.e.w,j e w,92,false,,romanian,Romanian,roma1327,Romanian,ron,Indo-European,,I,1209,I,false,expert
dalmatian-42_i-1,42_i,yu {ju},j.u,j u,92,false,,dalmatian,Dalmatian,dalm1243,Dalmatian,dlm,Indo-European,,I,1209,I,false,expert
friulian-42_i-1,42_i,yo {jo},j.o,j o,92,false,,friulian,Friulian,friu1240,Friulian,fur,Indo-European,,I,1209,I,false,expert
gardeneseladin-42_i-1,42_i,ye {ie},j.e,j e,92,false,,gardeneseladin,Gardenese_Ladin,gard1241,Gardenese,,Indo-European,,I,1209,I,false,expert
fassanoladin-42_i-1,42_i,ǯe {gé},dʒ.e,dʒ e,92,false,,fassanoladin,Fassano_Ladin,fass1244,Fassano,,Indo-European,,I,1209,I,false,expert
rumantschgrischun-42_i-1,42_i,yaw {jau},j.a.w,j a w,92,false,,rumantschgrischun,Rumantsch_Grischun,ruma1247,Rumantsch Grischun,,Indo-European,,I,1209,I,false,expert
sursilvanromansh-42_i-1,42_i,yew {jeu},j.e.w,j e w,92,false,,sursilvanromansh,Sursilvan_Romansh,surs1244,Sursilvan,,Indo-European,,I,1209,I,false,expert
surmiranromansh-42_i-1,42_i,ˈiə {ia},ˈiə,ˈiə,92,false,,surmiranromansh,Surmiran_Romansh,surm1243,Surmiran-Albula,,Indo-European,,I,1209,I,false,expert
valladerromansh-42_i-1,42_i,ɛw {eu},ˈɛ.w,ˈɛ w,92,false,,valladerromansh,Vallader_Romansh,lowe1386,Lower Engadine,,Indo-European,,I,1209,I,false,expert
lanzotorinesepiemontese-42_i-1,42_i,mi {mi},m.i,m i,93,false,,lanzotorinesepiemontese,Lanzo_Torinese_Piemontese,piem1238,Piemontese,pms,Indo-European,,I,1209,I,false,expert
