ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
NorthAltai-1_fingernailn-1,1_fingernailn,tïrɣaḳ (Р),tɯrɣaq,t ɯ r ɣ a q,307,,,NorthAltai,North Altay,nort2686,Northern Altai,atv,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
OldUyghur-1_fingernailn-1,1_fingernailn,"tïrŋaḳ, tïŋraḳ",tɯrŋaq,t ɯ r ŋ a q,307,,,OldUyghur,Old Turkic,oldu1238,Old Uighur,oui,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
Azeri-1_fingernailn-1,1_fingernailn,dïrnaġ,dɯrnaɢ,d ɯ r n a ɢ,307,,,Azeri,Azeri,nort2697,North Azerbaijani,azj,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
Bashkir-1_fingernailn-1,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,307,,,Bashkir,Bashkir,bash1264,Bashkir,bak,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
Chuvash-1_fingernailn-1,1_fingernailn,čɘrne,ʨɘrne,tɕ ĭ r n e,307,,,Chuvash,Chuvash,chuv1255,Chuvash,chv,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
CrimeanTatar-1_fingernailn-1,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,307,,,CrimeanTatar,Crimean Tatar,crim1257,Crimean Tatar,crh,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
Dolgan-1_fingernailn-1,1_fingernailn,tïŋïrak,tɯŋɯrak,t ɯ ŋ ɯ r a k,307,,,Dolgan,Dolgan,dolg1241,Dolgan,dlg,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
Gagauz-1_fingernailn-1,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,307,,,Gagauz,Gagauz,gaga1249,Gagauz,gag,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
KaraKalpak-1_fingernailn-1,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,307,,,KaraKalpak,Karakalpak,kara1467,Kara-Kalpak,kaa,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
KarachayBalkar-1_fingernailn-1,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,307,,,KarachayBalkar,Karachay Balkar,kara1465,Karachay-Balkar,krc,Turkic,,(finger)nail (n.),1258,FINGERNAIL,false,expert
