ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
PBoM-1_tongue-1,1_tongue,nehe,nehe,n e h e,1,,,PBoM,Proto-Bora-Muinane,,,,,,tongue,1205,TONGUE,,
Bora-1_tongue-1,1_tongue,nɨ́ɨ́hɨ-kʷa,nɨ́ɨ́hɨ-kʷa,n !ɨ́/ɨ !ɨ́/ɨ h ɨ + kʷ a,1,,,Bora,Bora,bora1263,Bora,boa,Boran,,tongue,1205,TONGUE,,
Muinane-1_tongue-1,1_tongue,néhe-ba,néhe-ba,n !é/e h e + b a,1,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,tongue,1205,TONGUE,,
PBoM-2_mouth-1,2_mouth,i-hɨ,i-hɨ,i + h ɨ,2,,,PBoM,Proto-Bora-Muinane,,,,,,mouth,674,MOUTH,,
Bora-2_mouth-1,2_mouth,íʔ-hʲɯɯ́,íʔ-hʲɯɯ́,!í/i ʔ + hʲ ɯ !ɯ́/ɯ,2,,,Bora,Bora,bora1263,Bora,boa,Boran,,mouth,674,MOUTH,,
Muinane-2_mouth-1,2_mouth,íi-hɨ,íi-hɨ,!í/i i + h ɨ,2,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,mouth,674,MOUTH,,
PBoM-3_lip-1,3_lip,hɨni-ba,hɨni-ba,h ɨ n i + b a,3,,,PBoM,Proto-Bora-Muinane,,,,,,lip,478,LIP,,
Bora-3_lip-1,3_lip,ɯ́ni-pa,ɯ́ni-pa,!ɯ́/ɯ n i + p a,3,,,Bora,Bora,bora1263,Bora,boa,Boran,,lip,478,LIP,,
Muinane-3_lip-1,3_lip,hɨ́niba,hɨ́niba,h !ɨ́/ɨ n i b a,3,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,lip,478,LIP,,
PBoM-4_tooth-1,4_tooth,iʔgai,iʔgai,i ʔ g a i,4,,,PBoM,Proto-Bora-Muinane,,,,,,tooth,1380,TOOTH,,
Bora-4_tooth-1,4_tooth,íʔkʷáhɨɨ́,íʔkʷáhɨɨ́,!í/i ʔ kʷ !á/a h ɨ !ɨ́/ɨ,4,,,Bora,Bora,bora1263,Bora,boa,Boran,,tooth,1380,TOOTH,,
Muinane-4_tooth-1,4_tooth,íígai,íígai,!í/i !í/i g a i,4,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,tooth,1380,TOOTH,,
PBoM-5_nose-1,5_nose,tɨhɨ-ʔu,tɨhɨ-ʔu,t ɨ h ɨ + ʔ u,5,,,PBoM,Proto-Bora-Muinane,,,,,,nose,1221,NOSE,,
Bora-5_nose-1,5_nose,tʰɯ́-hɯ-ʔo,tʰɯ́-hɯ-ʔo,tʰ !ɯ́/ɯ + h ɯ + ʔ o,5,,,Bora,Bora,bora1263,Bora,boa,Boran,,nose,1221,NOSE,,
Muinane-5_nose-1,5_nose,tɨ́hɨ-ʔu,tɨ́hɨ-ʔu,t !ɨ́/ɨ h ɨ + ʔ u,5,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,nose,1221,NOSE,,
PBoM-6_eye-1,6_eye,aʤɨ-ɨ,aʤɨ-ɨ,a dʒ ɨ + ɨ,6,,,PBoM,Proto-Bora-Muinane,,,,,,eye,1248,EYE,,
Bora-6_eye-1,6_eye,ʔáʧɯ-ɯ,ʔáʧɯ-ɯ,ʔ !á/a tʃ ɯ + ɯ,6,,,Bora,Bora,bora1263,Bora,boa,Boran,,eye,1248,EYE,,
Muinane-6_eye-1,6_eye,ááʤɨ-ɨ,ááʤɨ-ɨ,!á/a !á/a dʒ ɨ + ɨ,6,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,eye,1248,EYE,,
PBoM-7_ear-1,7_ear,nɨ()-meeʔu,nɨ-meeʔu,n ɨ + m e e ʔ u,7,,,PBoM,Proto-Bora-Muinane,,,,,,ear,1247,EAR,,
Bora-7_ear-1,7_ear,nɯ́ɯ́-mɨʔo,nɯ́ɯ́-mɨʔo,n !ɯ́/ɯ !ɯ́/ɯ + m ɨ ʔ o,7,,,Bora,Bora,bora1263,Bora,boa,Boran,,ear,1247,EAR,,
Muinane-7_ear-1,7_ear,nɨ́-hɨ-meeʔu,nɨ́-hɨ-meeʔu,n !ɨ́/ɨ + h ɨ + m e e ʔ u,7,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,ear,1247,EAR,,
PBoM-8_head-1,8_head,niga-ɨ,niga-ɨ,n i g a + ɨ,8,,,PBoM,Proto-Bora-Muinane,,,,,,head,1256,HEAD,,
Bora-8_head-1,8_head,nííkʷa-ɯ,nííkʷa-ɯ,n !í/i !í/i kʷ a + ɯ,8,,,Bora,Bora,bora1263,Bora,boa,Boran,,head,1256,HEAD,,
Muinane-8_head-1,8_head,níga-ɨ,níga-ɨ,n !í/i g a + ɨ,8,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,head,1256,HEAD,,
PBoM-9_forehead-1,9_forehead,ɨme-ku,ɨme-ku,ɨ m e + k u,9,,,PBoM,Proto-Bora-Muinane,,,,,,forehead,123,FOREHEAD,,
Bora-9_forehead-1,9_forehead,ʔɯ́mɨ-kʰo,ʔɯ́mɨ-kʰo,ʔ !ɯ́/ɯ m ɨ + kʰ o,9,,,Bora,Bora,bora1263,Bora,boa,Boran,,forehead,123,FOREHEAD,,
Muinane-9_forehead-1,9_forehead,ɨ́me-ku,ɨ́me-ku,!ɨ́/ɨ m e + k u,9,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,forehead,123,FOREHEAD,,
PBoM-10_hair-1,10_hair,-hee-,-hee-,+ h e e +,10,,,PBoM,Proto-Bora-Muinane,,,,,,hair,1040,HAIR,,
Bora-10_hair-1,10_hair,ɨʔ-hɨne,ɨʔ-hɨne,ɨ ʔ + h ɨ n e,10,,,Bora,Bora,bora1263,Bora,boa,Boran,,hair,1040,HAIR,,
Muinane-10_hair-1,10_hair,nígaɨ-hee-ne,nígaɨ-hee-ne,n !í/i g a ɨ + h e e + n e,10,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,hair,1040,HAIR,,
PBoM-11_beard-1,11_beard,hɨkk(),hɨkk,h ɨ k k,11,,,PBoM,Proto-Bora-Muinane,,,,,,beard,678,BEARD,,
Bora-11_beard-1,11_beard,ɯ́hkʰaʔe,ɯ́hkʰaʔe,!ɯ́/ɯ h kʰ a ʔ e,11,,,Bora,Bora,bora1263,Bora,boa,Boran,,beard,678,BEARD,,
Muinane-11_beard-1,11_beard,hɨ́kkoʔai,hɨ́kkoʔai,h !ɨ́/ɨ k k o ʔ a i,11,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,beard,678,BEARD,,
PBoM-12_chest-1,12_chest,ppeeɨ-he,ppeeɨ-he,p p e e ɨ + h e,12,,,PBoM,Proto-Bora-Muinane,,,,,,chest,1592,CHEST,,
Bora-12_chest-1,12_chest,hpʰɨ́ɯ-hɨ,hpʰɨ́ɯ-hɨ,h pʰ !ɨ́/ɨ ɯ + h ɨ,12,,,Bora,Bora,bora1263,Bora,boa,Boran,,chest,1592,CHEST,,
Muinane-12_chest-1,12_chest,ɸéejɨ-he,ɸéejɨ-he,ɸ !é/e e j ɨ + h e,12,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,chest,1592,CHEST,,
PBoM-13_womansbreast-1,13_womansbreast,mɨppaino,mɨppaino,m ɨ p p a i n o,13,,,PBoM,Proto-Bora-Muinane,,,,,,woman’s breast,1402,BREAST,,
Bora-13_womansbreast-1,13_womansbreast,mɯhpʰáɲe,mɯhpʰáɲe,m ɯ h pʰ !á/a ɲ e,13,,,Bora,Bora,bora1263,Bora,boa,Boran,,woman’s breast,1402,BREAST,,
Muinane-13_womansbreast-1,13_womansbreast,mɨ́ɸaɲo,mɨ́ɸaɲo,m !ɨ́/ɨ ɸ a ɲ o,13,,,Muinane,Muinane,muin1242,Muinane,bmr,Boran,,woman’s breast,1402,BREAST,,
