ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
cua-63_ime-1,63_ime,go,ɡ.o,ɡ o,19,false,,cua,Cua,cuaa1241,Cua,cua,Austroasiatic,,"I, me",1209,I,false,expert
bahnarpleiku-63_ime-1,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,3,false,,bahnarpleiku,BahnarPleiku,bahn1262,Bahnar,bdq,Austroasiatic,,"I, me",1209,I,false,expert
bunong-63_ime-1,63_ime,kə̤p,k.ə̤.p,k ə̤ p,20,false,,bunong,Bunong,cent1992,Central Mnong,cmo,Austroasiatic,,"I, me",1209,I,false,expert
cheng-63_ime-1,63_ime,ʔaɨ,ʔ.a.ɨ,ʔ a ɨ,18,false,,cheng,Cheng,jeng1241,Jeng,jeg,Austroasiatic,,"I, me",1209,I,false,expert
sre-63_ime-1,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,3,false,,sre,Sre,koho1244,Koho,kpm,Austroasiatic,,"I, me",1209,I,false,expert
chrau-63_ime-1,63_ime,ʔaɲ / ʔiɲ,ʔ.a.ɲ,ʔ a ɲ,3,false,,chrau,Chrau,chra1242,Chrau,crw,Austroasiatic,,"I, me",1209,I,false,expert
jeh-63_ime-1,63_ime,ʔaw,ʔ.a.w,ʔ a w,18,false,,jeh,Jeh,jehh1245,Jeh,jeh,Austroasiatic,,"I, me",1209,I,false,expert
tampuan-63_ime-1,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,3,false,,tampuan,Tampuan,tamp1251,Tampuan,tpu,Austroasiatic,,"I, me",1209,I,false,expert
alak-63_ime-1,63_ime,ʔal,ʔ.a.l,ʔ a l,17,false,,alak,Alak,alak1253,Alak,alk,Austroasiatic,,"I, me",1209,I,false,expert
bahnargolar-63_ime-1,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,3,false,,bahnargolar,BahnarGolar,bahn1262,Bahnar,bdq,Austroasiatic,,"I, me",1209,I,false,expert
bahnarkontum-63_ime-1,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,3,false,,bahnarkontum,BahnarKontum,bahn1262,Bahnar,bdq,Austroasiatic,,"I, me",1209,I,false,expert
halang-63_ime-1,63_ime,ʔau,ʔ.a.u,ʔ a u,18,false,,halang,Halang,hala1252,Halang,hal,Austroasiatic,,"I, me",1209,I,false,expert
mnongrlm-63_ime-1,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,3,false,,mnongrlm,MnongRlm,east2333,Eastern Mnong,mng,Austroasiatic,,"I, me",1209,I,false,expert
rengao-63_ime-1,63_ime,ʔaw,ʔ.a.w,ʔ a w,18,false,,rengao,Rengao,reng1252,Rengao,ren,Austroasiatic,,"I, me",1209,I,false,expert
brao-63_ime-1,63_ime,ʔaj,ʔ.a.j,ʔ a j,18,false,,brao,Brao,lave1249,Brao,brb,Austroasiatic,,"I, me",1209,I,false,expert
jrulaven-63_ime-1,63_ime,ʔaːj,ʔ.aː.j,ʔ aː j,18,false,,jrulaven,JruLaven,lave1248,Laven,lbo,Austroasiatic,,"I, me",1209,I,false,expert
kasseng-63_ime-1,63_ime,ʔaɯ,ʔ.a.ɯ,ʔ a ɯ,18,false,,kasseng,Kasseng,tali1257,Talieng,tdf,Austroasiatic,,"I, me",1209,I,false,expert
