ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ProtoVietic-1_1si-1,1_1si,*soː,*soː,s oː,1,,,ProtoVietic,Proto-Vietic,viet1250,Vietic,,Austroasiatic,,1s/I,1209,I,,
Vietnamese-1_1si-1,1_1si,tao / (tôi),tao,t aːu̯ ³³,2,,,Vietnamese,VN (standard),viet1252,Vietnamese,vie,Austroasiatic,,1s/I,1209,I,,
MuongBi-1_1si-1,1_1si,ho,ho,h o,2,,,MuongBi,Muong (Barker),muon1246,Muong,mtq,Austroasiatic,,1s/I,1209,I,,
NguonCL-1_1si-1,1_1si,t'ɔ1,t'ɔ¹,t ɔ ¹,2,,,NguonCL,Nguồn Cổ Liêm,nguo1239,Nguôn,nuo,Austroasiatic,,1s/I,1209,I,,
NguonYT-1_1si-1,1_1si,ʔuj1,ʔuj¹,ʔ u j ¹,3,,,NguonYT,Nguồn Yên Thọ,nguo1239,Nguôn,nuo,Austroasiatic,,1s/I,1209,I,,
CuoiThaiHoa-1_1si-1,1_1si,hɤ̆w32,hɤ̆w³²,h ɤ̆ w ³²,2,,,CuoiThaiHoa,Cuoi Thai Hoa,cuoi1242,Cuoi,,Austroasiatic,,1s/I,1209,I,,
CuoiTanHop-1_1si-1,1_1si,hɤ̆w22,hɤ̆w²²,h ɤ̆ w ²²,2,,,CuoiTanHop,Cuoi Tan Hop,cuoi1242,Cuoi,,Austroasiatic,,1s/I,1209,I,,
Toum-1_1si-1,1_1si,saw,saw,s a w,2,,,Toum,Toum,toum1239,Toum,,Austroasiatic,,1s/I,1209,I,,
Liha-1_1si-1,1_1si,saw,saw,s a w,2,,,Liha,Liha,lyha1238,Ly Ha,,Austroasiatic,,1s/I,1209,I,,
Sach-1_1si-1,1_1si,"[[ho, mèŋ]]",ho,h o,2,,,Sach,Sach,sach1240,Sach,,Austroasiatic,,1s/I,1209,I,,
May-1_1si-1,1_1si,ʔaho¹,ʔaho¹,ʔ a h o ¹,2,,,May,May,mayy1239,May,,Austroasiatic,,1s/I,1209,I,,
Ruc-1_1si-1,1_1si,ho,ho,h o,2,,,Ruc,Ruc,rucc1239,Ruc,,Austroasiatic,,1s/I,1209,I,,
Arem-1_1si-1,1_1si,kɯ̆̀ʔ (<Katuic),kɯ̆̀ʔ,k ɯ̀̆/ɯ ʔ,4,,,Arem,Arem,arem1240,Arem,aem,Austroasiatic,,1s/I,1209,I,,
ThavungS-1_1si-1,1_1si,kân,kân,k â/a n,5,,,ThavungS,Thavung,aheu1239,Thavung,thm,Austroasiatic,,1s/I,1209,I,,
ThavungPS-1_1si-1,1_1si,kân,kân,k â/a n,5,,,ThavungPS,Thavung Phon Soung,aheu1239,Thavung,thm,Austroasiatic,,1s/I,1209,I,,
ThavungF-1_1si-1,1_1si,kan3,kan³,k a n ³,5,,,ThavungF,Thavung,aheu1239,Thavung,thm,Austroasiatic,,1s/I,1209,I,,
Ahoe-1_1si-1,1_1si,kan,kan,k a n,5,,,Ahoe,Ahoe,aheu1239,Thavung,thm,Austroasiatic,,1s/I,1209,I,,
MaliengQB-1_1si-1,1_1si,aho,aho,a h o,2,,,MaliengQB,Malieng (QB),male1282,Maleng,pkt,Austroasiatic,,1s/I,1209,I,,
MaliengHT-1_1si-1,1_1si,aho˦,aho˦,a h o ⁴,2,,,MaliengHT,Malieng (HT),male1282,Maleng,pkt,Austroasiatic,,1s/I,1209,I,,
Pakatan-1_1si-1,1_1si,ʔeŋ (?Lao reflexive),ʔeŋ,ʔ e ŋ,6,,,Pakatan,Malang Pakatan,mali1278,Malieng,,Austroasiatic,,1s/I,1209,I,,
Malang-1_1si-1,1_1si,pɔ:n˧,pɔ:n˧,p ɔː n ³,7,,,Malang,Malang,mali1278,Malieng,,Austroasiatic,,1s/I,1209,I,,
MalengBro-1_1si-1,1_1si,cak,cak,c a k,8,,,MalengBro,Maleng Bro,bola1249,Bo-Maleng,bgl,Austroasiatic,,1s/I,1209,I,,
Kri-1_1si-1,1_1si,kɤ˧˦ˀ (<Katuic),kɤ˧˦ˀ,k ɤ ³⁴ˀ/³⁴,4,,,Kri,Kri (HT),khap1242,Kha Phong,,Austroasiatic,,1s/I,1209,I,,
KriPhoong-1_1si-1,1_1si,kɤ33? (<Katuic),kɤ³³?,k ɤ ³³ ʔ,4,,,KriPhoong,Kri Phoong,khap1242,Kha Phong,,Austroasiatic,,1s/I,1209,I,,
Khmu-1_1si-1,1_1si,ʔoʔ,ʔoʔ,ʔ o ʔ,9,,,Khmu,Khmu Cuang,khmu1256,Khmu,kjg,Austroasiatic,,1s/I,1209,I,,
Jahai-1_1si-1,1_1si,jɛʔ,jɛʔ,j ɛ ʔ,10,,,Jahai,Jahai,jeha1242,Jehai,jhi,Austroasiatic,,1s/I,1209,I,,
ProtoVietic-2_2syou-1,2_2syou,*miː,*miː,m iː,11,,,ProtoVietic,Proto-Vietic,viet1250,Vietic,,Austroasiatic,,2s/you,1215,THOU,,
Vietnamese-2_2syou-1,2_2syou,mày,mày,m ai̯ ²¹,12,,,Vietnamese,VN (standard),viet1252,Vietnamese,vie,Austroasiatic,,2s/you,1215,THOU,,
MuongBi-2_2syou-1,2_2syou,da,da,d a,13,,,MuongBi,Muong (Barker),muon1246,Muong,mtq,Austroasiatic,,2s/you,1215,THOU,,
NguonCL-2_2syou-1,2_2syou,jə̆w1,jə̆w¹,j ə̆ w ¹,14,,,NguonCL,Nguồn Cổ Liêm,nguo1239,Nguôn,nuo,Austroasiatic,,2s/you,1215,THOU,,
NguonYT-2_2syou-1,2_2syou,zaw1,zaw¹,z a w ¹,14,,,NguonYT,Nguồn Yên Thọ,nguo1239,Nguôn,nuo,Austroasiatic,,2s/you,1215,THOU,,
CuoiThaiHoa-2_2syou-1,2_2syou,mi33,mi³³,m i ³³,12,,,CuoiThaiHoa,Cuoi Thai Hoa,cuoi1242,Cuoi,,Austroasiatic,,2s/you,1215,THOU,,
ThoLangLo-2_2syou-1,2_2syou,məj² ( v! ),məj²,m ə j ²,12,,,ThoLangLo,Tho [Lang Lo],thoo1240,Tho,tou,Austroasiatic,,2s/you,1215,THOU,,
CuoiTanHop-2_2syou-1,2_2syou,mi54,mi⁵⁴,m i ⁵⁴,12,,,CuoiTanHop,Cuoi Tan Hop,cuoi1242,Cuoi,,Austroasiatic,,2s/you,1215,THOU,,
ThoCuoiCham-2_2syou-1,2_2syou,miː²,miː²,m iː ²,12,,,ThoCuoiCham,Tho [Cuoi Cham],thoo1240,Tho,tou,Austroasiatic,,2s/you,1215,THOU,,
Phong-2_2syou-1,2_2syou,miː,miː,m iː,12,,,Phong,Phong,phon1243,Phong,,Austroasiatic,,2s/you,1215,THOU,,
Toum-2_2syou-1,2_2syou,mei,mei,m ei,12,,,Toum,Toum,toum1239,Toum,,Austroasiatic,,2s/you,1215,THOU,,
Liha-2_2syou-1,2_2syou,məi,məi,m əi,12,,,Liha,Liha,lyha1238,Ly Ha,,Austroasiatic,,2s/you,1215,THOU,,
Sach-2_2syou-1,2_2syou,[[mi]],mi,m i,12,,,Sach,Sach,sach1240,Sach,,Austroasiatic,,2s/you,1215,THOU,,
May-2_2syou-1,2_2syou,ʔami¹,ʔami¹,ʔ a m i ¹,12,,,May,May,mayy1239,May,,Austroasiatic,,2s/you,1215,THOU,,
Ruc-2_2syou-1,2_2syou,mi,mi,m i,12,,,Ruc,Ruc,rucc1239,Ruc,,Austroasiatic,,2s/you,1215,THOU,,
Arem-2_2syou-1,2_2syou,mɯ̀i̯,mɯ̀i̯,m ɯ̀i̯/ɯi̯,12,,,Arem,Arem,arem1240,Arem,aem,Austroasiatic,,2s/you,1215,THOU,,
ThavungS-2_2syou-1,2_2syou,thòw (mîː polite),thòw,tʰ òw/ou,15,,,ThavungS,Thavung,aheu1239,Thavung,thm,Austroasiatic,,2s/you,1215,THOU,,
ThavungPS-2_2syou-1,2_2syou,mi1,mi¹,m i ¹,12,,,ThavungPS,Thavung Phon Soung,aheu1239,Thavung,thm,Austroasiatic,,2s/you,1215,THOU,,
ThavungF-2_2syou-1,2_2syou,"thəw1, ʔəʔ1",thəw¹,tʰ ə w ¹,15,,,ThavungF,Thavung,aheu1239,Thavung,thm,Austroasiatic,,2s/you,1215,THOU,,
Ahoe-2_2syou-1,2_2syou,mʊː,mʊː,m ʊː,12,,,Ahoe,Ahoe,aheu1239,Thavung,thm,Austroasiatic,,2s/you,1215,THOU,,
MaliengQB-2_2syou-1,2_2syou,ami,ami,a m i,12,,,MaliengQB,Malieng (QB),male1282,Maleng,pkt,Austroasiatic,,2s/you,1215,THOU,,
MaliengHT-2_2syou-1,2_2syou,"amɤi̯˧˨, mi˧˨",amɤi̯˧˨,a m ɤi̯ ³²,12,,,MaliengHT,Malieng (HT),male1282,Maleng,pkt,Austroasiatic,,2s/you,1215,THOU,,
Pakatan-2_2syou-1,2_2syou,căk,căk,c ă k,16,,,Pakatan,Malang Pakatan,mali1278,Malieng,,Austroasiatic,,2s/you,1215,THOU,,
Malang-2_2syou-1,2_2syou,mi:-,mi:,m iː,12,,,Malang,Malang,mali1278,Malieng,,Austroasiatic,,2s/you,1215,THOU,,
Kri-2_2syou-1,2_2syou,"căk˧, mi˦˥",căk˧,c ă k ³,16,,,Kri,Kri (HT),khap1242,Kha Phong,,Austroasiatic,,2s/you,1215,THOU,,
KriPhoong-2_2syou-1,2_2syou,căk23,căk²³,c ă k ²³,16,,,KriPhoong,Kri Phoong,khap1242,Kha Phong,,Austroasiatic,,2s/you,1215,THOU,,
Khmu-2_2syou-1,2_2syou,me: 'you (male)',me:'you',m eː 'you/ʔ j ou '/ʔ,12,,,Khmu,Khmu Cuang,khmu1256,Khmu,kjg,Austroasiatic,,2s/you,1215,THOU,,
Jahai-2_2syou-1,2_2syou,miʔ,miʔ,m i ʔ,12,,,Jahai,Jahai,jeha1242,Jehai,jhi,Austroasiatic,,2s/you,1215,THOU,,
Vietnamese-3_3shesheit-1,3_3shesheit,nó / hắn,nó,n ɔː ⁴⁵,17,,,Vietnamese,VN (standard),viet1252,Vietnamese,vie,Austroasiatic,,3s/he/she/it,262,HE OR SHE OR IT,,
