ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Taoping-253_year-1,253_year,pə³³,pə³³,p ə ³³,118,,,Taoping,Taoping,taop1238,Taoping Qiang,,Sino-Tibetan,Qiang,year,1226,YEAR,false,expert
Longxi-253_year-1,253_year,pù,pù,p ù/u,118,,,Longxi,Longxi,long1374,Longxi Qiang,,Sino-Tibetan,Qiang,year,1226,YEAR,false,expert
Mianchi-253_year-1,253_year,pù,pù,p ù/u,118,,,Mianchi,Mianchi,mian1253,Mianchi Qiang,,Sino-Tibetan,Qiang,year,1226,YEAR,false,expert
Yonghe-135_oneyear-1,135_oneyear,ə́-pù,ə́-pù,ə́/ə + p ù/u,118,,,Yonghe,Yonghe,yong1287,Yonghe Qiang,,Sino-Tibetan,Qiang,one year,1226,YEAR,false,expert
Wadu-253_year-1,253_year,pʉ̀,pʉ̀,p ʉ̀/ʉ,118,,,Wadu,Wadu,nort2723,Northern Pumi,pmi,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Dayang-253_year-1,253_year,pɨ̀,pɨ̀,p ɨ̆/ɨ,118,,,Dayang,Dayang,daya1246,Dayang Pumi,,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Taoba-253_year-1,253_year,pu⁵³,pu⁵³,p u ⁵³,118,,,Taoba,Taoba,taob1239,Táobā,,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Qinghua-253_year-1,253_year,pə¹³,pə¹³,p ə ¹³,118,,,Qinghua,Qinghua,qing1238,Qinghua Pumi,,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Lanping-253_year-1,253_year,pə¹³,pə¹³,p ə ¹³,118,,,Lanping,Lanping,sout2729,Southern Pumi,pmj,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Jiulong-253_year-1,253_year,pi⁵³,pi⁵³,p i ⁵³,118,,,Jiulong,Jiulong,sout2729,Southern Pumi,pmj,Sino-Tibetan,Pumi,year,1226,YEAR,false,expert
Taoping-247_who-1,247_who,sɨ⁵⁵,sɨ⁵⁵,s ɨ ⁵⁵,108,,,Taoping,Taoping,taop1238,Taoping Qiang,,Sino-Tibetan,Qiang,who,1235,WHO,false,expert
Longxi-247_who-1,247_who,sɨ́,sɨ́,s ɨ́/ɨ,108,,,Longxi,Longxi,long1374,Longxi Qiang,,Sino-Tibetan,Qiang,who,1235,WHO,false,expert
Mianchi-247_who-1,247_who,ʂí lè,ʂí_lè,ʂ í/i + l è/e,108,,,Mianchi,Mianchi,mian1253,Mianchi Qiang,,Sino-Tibetan,Qiang,who,1235,WHO,false,expert
Yonghe-247_who-1,247_who,sɨ́,sɨ́,s ɨ́/ɨ,108,,,Yonghe,Yonghe,yong1287,Yonghe Qiang,,Sino-Tibetan,Qiang,who,1235,WHO,false,expert
Wadu-247_who-1,247_who,hĩ̂,hĩ̂,h ĩ̂/ĩ,108,,,Wadu,Wadu,nort2723,Northern Pumi,pmi,Sino-Tibetan,Pumi,who,1235,WHO,false,expert
Niuwozi-247_who-1,247_who,xɜᴴ,xɜᴴ,x ɜ ᴴ/⁵,108,,,Niuwozi,Niuwozi,sout2729,Southern Pumi,pmj,Sino-Tibetan,Pumi,who,1235,WHO,false,expert
Taoba-247_who-1,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,108,,,Taoba,Taoba,taob1239,Táobā,,Sino-Tibetan,Pumi,who,1235,WHO,false,expert
Qinghua-247_who-1,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,108,,,Qinghua,Qinghua,qing1238,Qinghua Pumi,,Sino-Tibetan,Pumi,who,1235,WHO,false,expert
Lanping-247_who-1,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,108,,,Lanping,Lanping,sout2729,Southern Pumi,pmj,Sino-Tibetan,Pumi,who,1235,WHO,false,expert
Taoping-246_white-1,246_white,pʐi⁵⁵,pʐi⁵⁵,p ʐ i ⁵⁵,183,,,Taoping,Taoping,taop1238,Taoping Qiang,,Sino-Tibetan,Qiang,white,1335,WHITE,false,expert
