ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Bwe_Karen-1_all-1,1_all,ɕá-,ɕá-,tɕ a,1-1,,,Bwe_Karen,Bwe Karen,bwek1238,Bwe Karen,bwe,Sino-Tibetan,,all,98,ALL,,
Geba_Karen-1_all-1,1_all,ló=sá-sɛ̀ʔ,ló=sá-sɛ̀ʔ,l o s a s ɛ ʔ,1-1,,,Geba_Karen,Geba Karen,geba1237,Geba Karen,kvq,Sino-Tibetan,,all,98,ALL,,
Eastern_Kayah_Li-1_all-1,1_all,pwā,pwā,p w a,1-2,,,Eastern_Kayah_Li,Eastern Kayah Li,east2342,Eastern Kayah,eky,Sino-Tibetan,,all,98,ALL,,
Kayah_Monu-1_all-1,1_all,lɤ́-bɔ̀,lɤ́-bɔ̀,l ɤ́ b ɔ,1-3,,,Kayah_Monu,Kayah Monu,manu1255,Manumanaw Karen,kxf,Sino-Tibetan,,all,98,ALL,,
Brek_Kayaw-1_all-1,1_all,lɤ̄ʰ,lɤ̄ʰ,l ɤ̤,1-3,,,Brek_Kayaw,Brek Kayaw,brek1238,Brek Karen,kvl,Sino-Tibetan,,all,98,ALL,,
Yintale-1_all-1,1_all,lū-lù ~ lù-plī,lū-lù,l u l u,1-3,,,Yintale,Yintale,yint1235,Yintale Karen,kvy,Sino-Tibetan,,all,98,ALL,,
Yintale-1_all-2,1_all,lū-lù ~ lù-plī,lù-plī,l u p l i,1-3,,,Yintale,Yintale,yint1235,Yintale Karen,kvy,Sino-Tibetan,,all,98,ALL,,
Pekon_Kayan-1_all-1,1_all,lóʰ,lóʰ,l o̤,1-3,,,Pekon_Kayan,Pekon Kayan,kaya1315,Kayan Lahwi,pdu,Sino-Tibetan,,all,98,ALL,,
Lahta_Kayan-1_all-1,1_all,lū,lū,l u,1-3,,,Lahta_Kayan,Lahta Kayan,zaye1235,Lahta-Zayein Karen,kxk,Sino-Tibetan,,all,98,ALL,,
Yinbaw-1_all-1,1_all,pwáiʰ-trʋ̀,pwáiʰ-trʋ̀,p w a i̤ t r v,1-2,,,Yinbaw,Yinbaw,yinb1236,Yinbaw Karen,kvu,Sino-Tibetan,,all,98,ALL,,
Bwe_Karen-2_ashes-1,2_ashes,pʰɛ̄,pʰɛ̄,pʰ ɛ,2-1,,,Bwe_Karen,Bwe Karen,bwek1238,Bwe Karen,bwe,Sino-Tibetan,,ashes,646,ASH,,
Geba_Karen-2_ashes-1,2_ashes,pʰɛ́ʔ,pʰɛ́ʔ,pʰ ɛ́ ʔ,2-1,,,Geba_Karen,Geba Karen,geba1237,Geba Karen,kvq,Sino-Tibetan,,ashes,646,ASH,,
Eastern_Kayah_Li-2_ashes-1,2_ashes,mì=pi̯à,mì=pi̯à,m i + p j a,2-1,,,Eastern_Kayah_Li,Eastern Kayah Li,east2342,Eastern Kayah,eky,Sino-Tibetan,,ashes,646,ASH,,
Western_Kayah_Li-2_ashes-1,2_ashes,kɔ̋=pʰɛ̏,kɔ̋=pʰɛ̏,k ɔ + pʰ ɛ,2-1,,,Western_Kayah_Li,Western Kayah Li,west2409,Western Kayah,kyu,Sino-Tibetan,,ashes,646,ASH,,
Kayah_Monu-2_ashes-1,2_ashes,pʰá,pʰá,pʰ a,2-1,,,Kayah_Monu,Kayah Monu,manu1255,Manumanaw Karen,kxf,Sino-Tibetan,,ashes,646,ASH,,
Brek_Kayaw-2_ashes-1,2_ashes,pʰà,pʰà,pʰ a,2-1,,,Brek_Kayaw,Brek Kayaw,brek1238,Brek Karen,kvl,Sino-Tibetan,,ashes,646,ASH,,
Yintale-2_ashes-1,2_ashes,pʰā,pʰā,pʰ a,2-1,,,Yintale,Yintale,yint1235,Yintale Karen,kvy,Sino-Tibetan,,ashes,646,ASH,,
Pekon_Kayan-2_ashes-1,2_ashes,méʰ=pʰâ ~ méʰ=pʰó,méʰ=pʰâ,m e̤ + pʰ a,2-1,,,Pekon_Kayan,Pekon Kayan,kaya1315,Kayan Lahwi,pdu,Sino-Tibetan,,ashes,646,ASH,,
Pekon_Kayan-2_ashes-2,2_ashes,méʰ=pʰâ ~ méʰ=pʰó,méʰ=pʰó,m e̤ + pʰ o,2-1,,,Pekon_Kayan,Pekon Kayan,kaya1315,Kayan Lahwi,pdu,Sino-Tibetan,,ashes,646,ASH,,
