ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
dutch-1_all-1,1_all,ɑlə,ɑ.l.ə,ɑ l ə,5,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,all,98,ALL,false,expert
swedish-1_all-1,1_all,alː,a.lː,a lː,5,false,,swedish,Swedish,swed1254,Swedish,swe,Indo-European,,all,98,ALL,false,expert
english-1_all-1,1_all,ɔːl,ɔː.l,ɔː l,5,false,,english,English,stan1293,English,eng,Indo-European,,all,98,ALL,false,expert
german-1_all-1,1_all,al,a.l,a l,5,false,,german,German,stan1295,German,deu,Indo-European,,all,98,ALL,false,expert
spanish-1_all-1,1_all,entero,e.n.t.e.r.o,e n t e r o,2,false,,spanish,Spanish,stan1288,Spanish,spa,Indo-European,,all,98,ALL,false,expert
danish-1_all-1,1_all,æˀl,æˀ.l,æˀ/æ l,5,false,,danish,Danish,dani1285,Danish,dan,Indo-European,,all,98,ALL,false,expert
bulgarian-1_all-1,1_all,vsiʧki,v.s.i.ʧ.k.i,v s i tʃ k i,3,false,,bulgarian,Bulgarian,bulg1262,Bulgarian,bul,Indo-European,,all,98,ALL,false,expert
greek-1_all-1,1_all,kaθe,k.a.θ.e,k a θ e,7,false,,greek,Greek,mode1248,Modern Greek,ell,Indo-European,,all,98,ALL,false,expert
romanian-1_all-1,1_all,tot,t.o.t,t o t,6,false,,romanian,Romanian,roma1327,Romanian,ron,Indo-European,,all,98,ALL,false,expert
russian-1_all-1,1_all,fsʲe,f.sʲ.e,f sʲ e,3,false,,russian,Russian,russ1263,Russian,rus,Indo-European,,all,98,ALL,false,expert
polish-1_all-1,1_all,fʃɨsʦɨ,f.ʃ.ɨ.s.ʦ.ɨ,f ʃ ɨ s ts ɨ,3,false,,polish,Polish,poli1260,Polish,pol,Indo-European,,all,98,ALL,false,expert
norwegian-1_all-1,1_all,ɑlə,ɑ.l.ə,ɑ l ə,5,false,,norwegian,Norwegian,norw1258,Norwegian,nor,Indo-European,,all,98,ALL,false,expert
french-1_all-1,1_all,tu,t.u,t u,6,false,,french,French,stan1290,French,fra,Indo-European,,all,98,ALL,false,expert
czech-1_all-1,1_all,fʃɪxnʲɪ,f.ʃ.ɪ.x.nʲ.ɪ,f ʃ ɪ x nʲ ɪ,3,false,,czech,Czech,czec1258,Czech,ces,Indo-European,,all,98,ALL,false,expert
icelandic-1_all-1,1_all,at͡lir,a.t͡l.i.r,a tˡ i r,5,false,,icelandic,Icelandic,icel1247,Icelandic,isl,Indo-European,,all,98,ALL,false,expert
italian-1_all-1,1_all,intɛro,i.n.t.ɛ.r.o,i n t ɛ r o,2,false,,italian,Italian,ital1282,Italian,ita,Indo-European,,all,98,ALL,false,expert
hindi-1_all-1,1_all,səb,s.ə.b,s ə b,4,false,,hindi,Hindi,hind1269,Hindi,hin,Indo-European,,all,98,ALL,false,expert
portuguese-1_all-1,1_all,todu,t.o.d.u,t o d u,6,false,,portuguese,Portuguese,port1283,Portuguese,por,Indo-European,,all,98,ALL,false,expert
spanish-1_all-2,1_all,toðo,t.o.ð.o,t o ð o,6,false,,spanish,Spanish,stan1288,Spanish,spa,Indo-European,,all,98,ALL,false,expert
romanian-1_all-2,1_all,ɨntreg,ɨ.n.t.r.e.g,ɨ n t r e g,2,false,,romanian,Romanian,roma1327,Romanian,ron,Indo-European,,all,98,ALL,false,expert
french-1_all-2,1_all,ɑ̃tje,ɑ̃.t.j.e,ɑ̃ t j e,2,false,,french,French,stan1290,French,fra,Indo-European,,all,98,ALL,false,expert
italian-1_all-2,1_all,tutto,t.u.tː.o,t u tː o,6,false,,italian,Italian,ital1282,Italian,ita,Indo-European,,all,98,ALL,false,expert
hindi-1_all-2,1_all,saːraː,s.aː.r.aː,s aː r aː,1,false,,hindi,Hindi,hind1269,Hindi,hin,Indo-European,,all,98,ALL,false,expert
dutch-2_ashes-1,2_ashes,ɑs,ɑ.s,ɑ s,10,false,,dutch,Dutch,dutc1256,Dutch,nld,Indo-European,,ashes,646,ASH,false,expert
