ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
tashatujia-42_i-1,42_i,ŋa24,ŋ.a.²⁴,ŋ a ²⁴,59,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,I,1209,I,false,expert
duogutujia-42_i-1,42_i,ŋa24,ŋ.a.²⁴,ŋ a ²⁴,59,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,I,1209,I,false,expert
dianfangtujia-42_i-1,42_i,ŋa35,ŋ.a.³⁵,ŋ a ³⁵,59,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,I,1209,I,false,expert
boluotujia-42_i-1,42_i,ŋo33,ŋ.o.³³,ŋ o ³³,59,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,I,1209,I,false,expert
tanxitujia-42_i-1,42_i,ŋo33,ŋ.o.³³,ŋ o ³³,59,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,I,1209,I,false,expert
tashatujia-1_all-1,1_all,xu24-ni55,x.u.²⁴.n.i.⁵⁵,x u ²⁴ + n i ⁵⁵,1,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,all,98,ALL,false,expert
duogutujia-1_all-1,1_all,xu24-ni44,x.u.²⁴.n.i.⁴⁴,x u ²⁴ + n i ⁴⁴,1,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,all,98,ALL,false,expert
dianfangtujia-1_all-1,1_all,xu35-ni55,x.u.³⁵.n.i.⁵⁵,x u ³⁵ + n i ⁵⁵,1,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,all,98,ALL,false,expert
boluotujia-1_all-1,1_all,bu13=li53,b.u.¹³.l.i.⁵³,b u ¹³ + l i ⁵³,2,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,all,98,ALL,false,expert
tanxitujia-1_all-1,1_all,bu13,b.u.¹³,b u ¹³,2,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,all,98,ALL,false,expert
tashatujia-2_ashes-1,2_ashes,pu21=ɕʰi24,p.u.²¹.tɕʰ.i.²⁴,p u ²¹ + tɕʰ i ²⁴,3,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,ashes,646,ASH,false,expert
duogutujia-2_ashes-1,2_ashes,pu21=cʰi53,p.u.²¹.tsʰ.i.⁵³,p u ²¹ + tsʰ i ⁵³,3,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,ashes,646,ASH,false,expert
dianfangtujia-2_ashes-1,2_ashes,pu21=cʰi35,p.u.²¹.tsʰ.i.³⁵,p u ²¹ + tsʰ i ³⁵,3,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,ashes,646,ASH,false,expert
boluotujia-2_ashes-1,2_ashes,mu21=cʰi53,m.u.²¹.tsʰ.i.⁵³,m u ²¹ + tsʰ i ⁵³,3,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,ashes,646,ASH,false,expert
tanxitujia-2_ashes-1,2_ashes,mu13=cʰi55,m.u.¹³.tsʰ.i.⁵⁵,m u ¹³ + tsʰ i ⁵⁵,3,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,ashes,646,ASH,false,expert
tashatujia-3_bark-1,3_bark,kʰa21=tʰa24-pʰa21,kʰ.a.²¹.tʰ.a.²⁴.pʰ.a.²¹,kʰ a ²¹ + tʰ a ²⁴ + pʰ a ²¹,4,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,bark,1204,BARK,false,expert
tashatujia-4_belly-1,4_belly,mɤ21-cʰi21-kʰɤ55,m.ɤ.²¹.tsʰ.i.²¹.kʰ.ɤ.⁵⁵,m ɤ ²¹ + tsʰ i ²¹ + kʰ ɤ ⁵⁵,5,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,belly,1251,BELLY,false,expert
duogutujia-4_belly-1,4_belly,mɨe21,m.ɨ.e.²¹,m ɨ e ²¹,5,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,belly,1251,BELLY,false,expert
dianfangtujia-4_belly-1,4_belly,mɨe21,m.ɨ.e.²¹,m ɨ e ²¹,5,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,belly,1251,BELLY,false,expert
boluotujia-4_belly-1,4_belly,mɨe21-ɕi53,m.ɨ.e.²¹.tɕ.i.⁵³,m ɨ e ²¹ + tɕ i ⁵³,5,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,belly,1251,BELLY,false,expert
tanxitujia-4_belly-1,4_belly,mɨe13-ɕi55,m.ɨ.e.¹³.tɕ.i.⁵⁵,m ɨ e ¹³ + tɕ i ⁵⁵,5,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,belly,1251,BELLY,false,expert
tashatujia-5_big-1,5_big,cʰi21,tsʰ.i.²¹,tsʰ i ²¹,6,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,big,1202,BIG,false,expert
duogutujia-5_big-1,5_big,cʰi53,tsʰ.i.⁵³,tsʰ i ⁵³,6,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,big,1202,BIG,false,expert
dianfangtujia-5_big-1,5_big,cʰi55,tsʰ.i.⁵⁵,tsʰ i ⁵⁵,6,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,big,1202,BIG,false,expert
boluotujia-5_big-1,5_big,ɕʰi33,tɕʰ.i.³³,tɕʰ i ³³,6,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,big,1202,BIG,false,expert
tanxitujia-5_big-1,5_big,ɕʰi33,tɕʰ.i.³³,tɕʰ i ³³,6,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,big,1202,BIG,false,expert
tashatujia-6_bird-1,6_bird,ni̯ɛ24-pi55 ~ ni24-pi55,n.j.ɛ.²⁴.p.i.⁵⁵,n j ɛ ²⁴ + p i ⁵⁵,7,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,bird,937,BIRD,false,expert
duogutujia-6_bird-1,6_bird,nie21-pi53,n.i.e.²¹.p.i.⁵³,n i e ²¹ + p i ⁵³,7,false,,duogutujia,Duogu_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,bird,937,BIRD,false,expert
dianfangtujia-6_bird-1,6_bird,ne35-pi35,n.e.³⁵.p.i.³⁵,n e ³⁵ + p i ³⁵,7,false,,dianfangtujia,Dianfang_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,bird,937,BIRD,false,expert
boluotujia-6_bird-1,6_bird,kɨ21-co21-nũ21,k.ɨ.²¹.ts.o.²¹.n.ũ.∼.²¹,k ɨ ²¹ + ts o ²¹ + n ũ ²¹,8,false,,boluotujia,Boluo_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,bird,937,BIRD,false,expert
tanxitujia-6_bird-1,6_bird,kɨ21-co21,k.ɨ.²¹.ts.o.²¹,k ɨ ²¹ + ts o ²¹,8,false,,tanxitujia,Tanxi_Tujia,sout2739,Southern Tujia,tjs,Sino-Tibetan,,bird,937,BIRD,false,expert
tashatujia-7_bite-1,7_bite,ka24,k.a.²⁴,k a ²⁴,9,false,,tashatujia,Tasha_Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,,bite,1403,BITE,false,expert
