ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ingrian-82_i-1,82_i,miæ,m.i.æ,m i æ,2293,false,,ingrian,Ingrian,ingr1248,Ingrian,izh,Uralic,,I,1209,I,false,expert
komipermyak-82_i-1,82_i,me,m.e,m e,2293,false,,komipermyak,Komi-Permyak,komi1269,Komi-Permyak,koi,Uralic,,I,1209,I,false,expert
komizyrian-82_i-1,82_i,me,m.e,m e,2293,false,,komizyrian,Komi-Zyrian,komi1268,Komi-Zyrian,kpv,Uralic,,I,1209,I,false,expert
nganasan-82_i-1,82_i,mənə,m.ə.n.ə,m ə n ə,2293,false,,nganasan,Nganasan,ngan1291,Nganasan,nio,Uralic,,I,1209,I,false,expert
selkup-82_i-1,82_i,mɑn,m.ɑ.n,m ɑ n,2293,false,,selkup,Selkup,selk1253,Selkup,sel,Uralic,,I,1209,I,false,expert
udmurt-82_i-1,82_i,mon,m.o.n,m o n,2293,false,,udmurt,Udmurt,udmu1245,Udmurt,udm,Uralic,,I,1209,I,false,expert
erzya-82_i-1,82_i,mon,m.o.n,m o n,2293,false,,erzya,Erzya,erzy1239,Erzya,myv,Uralic,,I,1209,I,false,expert
erzya-1_all-1,1_all,veɕe,v.e.ɕ.e,v e ɕ e,2296,false,,erzya,Erzya,erzy1239,Erzya,myv,Uralic,,all,98,ALL,false,expert
ingrian-1_all-1,1_all,kɑi,k.ɑ.i,k ɑ i,2294,false,,ingrian,Ingrian,ingr1248,Ingrian,izh,Uralic,,all,98,ALL,false,expert
komipermyak-1_all-1,1_all,bɯdɤs,b.ɯ.d.ɤ.s,b ɯ d ɤ s,2297,false,,komipermyak,Komi-Permyak,komi1269,Komi-Permyak,koi,Uralic,,all,98,ALL,false,expert
