ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Mono-1_nonot-1,1_nonot,qatuʔu,qatuʔu,q a t u ʔ u,1_nonot-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,"no, not",2279,NO OR NOT,,
Mono-2_many-1,2_many,ewa,ewa,e w a,2_many-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,many,1198,MANY,,
Mono-3_one-1,3_one,sɨmɨ,sɨmɨ,s ɨ m ɨ,3_one-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,one,1493,ONE,,
Mono-4_two-1,4_two,waha,waha,w a h a,4_two-3,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,two,1498,TWO,,
Mono-5_big-1,5_big,papa,papa,p a p a,5_big-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,big,1202,BIG,,
Mono-6_old-1,6_old,mua-,mua-,m u a,6_old-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,old,1229,OLD,,
Mono-7_small-1,7_small,ino-cicciʔ,ino-cicciʔ,i n o + ts i tsː i ʔ,7_small-2,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,small,1246,SMALL,,
Mono-8_short-1,8_short,toppo-ciccini,toppo-ciccini,t o pː o + ts i tsː i n i,8_short-4,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,short,1645,SHORT,,
Mono-9_long-1,9_long,ɨti,ɨti,ɨ t i,9_long-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,long,1203,LONG,,
Mono-10_new-1,10_new,pɨtɨt-tɨ-ppɨ,pɨtɨt-tɨ-ppɨ,p ɨ t ɨ t + t ɨ + pː ɨ,10_new-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,new,1231,NEW,,
Mono-11_good-1,11_good,cawu,cawu,ts a w u,11_good-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,good,1035,GOOD,,
Mono-12_round-1,12_round,attɨp-pono,attɨp-pono,a tː ɨ p + p o n o,12_round-3,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,round,1395,ROUND,,
Mono-13_heavy-1,13_heavy,nɨʔnɨkkwɨ,nɨʔnɨkkwɨ,n ɨ ˀn ɨ kː w ɨ,13_heavy-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,heavy,1210,HEAVY,,
Mono-14_dry-1,14_dry,pasa-hkɨʔ,pasa-hkɨʔ,p a s a + ʰk ɨ ʔ,14_dry-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,dry,1398,DRY,,
Mono-15_sharpblade-1,15_sharpblade,kɨwaa,kɨwaa,k ɨ w aː,15_sharpblade-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,sharp (blade),1396,SHARP,,
Mono-16_dirty-1,16_dirty,totsábi,totsábi,t o ts á/a b i,16_dirty-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,dirty,1230,DIRTY,,
Mono-17_full-1,17_full,tuyuha,tuyuha,t u y/j u h a,17_full-7,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,full,1429,FULL,,
Mono-18_cold-1,18_cold,ɨcɨʔɨ,ɨcɨʔɨ,ɨ ts ɨ ʔ ɨ,18_cold-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,cold,1287,COLD,,
Mono-19_hot-1,19_hot,ɨtɨʔɨ,ɨtɨʔɨ,ɨ t ɨ ʔ ɨ,19_hot-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,hot,1286,HOT,,
Mono-20_woman-1,20_woman,hɨɨppiʔ,hɨɨppiʔ,h ɨː pː i ʔ,20_woman-8,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,woman,962,WOMAN,,
Mono-21_man-1,21_man,nana,nana,n a n a,,true,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,man,1554,MAN,,
Mono-22_person-1,22_person,nɨɨmmɨ,nɨɨmmɨ,n ɨː mː ɨ,22_person-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,person,683,PERSON,,
Mono-23_fish-1,23_fish,pakkwi,pakkwi,p a kː w i,23_fish-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,fish,227,FISH,,
Mono-24_bird-1,24_bird,ciippaʔ,ciippaʔ,ts iː pː a ʔ,24_bird-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,bird,937,BIRD,,
Mono-25_dog-1,25_dog,pukku,pukku,p u kː u,25_dog-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,dog,2009,DOG,,
Mono-26_louse-1,26_louse,puiciappi,puiciappi,p ui ts i a pː i,26_louse-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,louse,1392,LOUSE,,
Mono-27_snake-1,27_snake,toqoqqwa,toqoqqwa,t o q o qː w a,27_snake-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,snake,730,SNAKE,,
Mono-28_tree-1,28_tree,wɨnɨp-pɨ,wɨnɨp-pɨ,w ɨ n ɨ p + p ɨ,28_tree-8,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,tree,906,TREE,,
Mono-29_bark-1,29_bark,woʔaggapɨ,woʔaggapɨ,w o ʔ a gː a p ɨ,29_bark-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,bark,1204,BARK,,
Mono-30_leaf-1,30_leaf,gasa,gasa,g a s a,30_leaf-5,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,leaf,628,LEAF,,
Mono-31_root-1,31_root,tɨtɨna,tɨtɨna,t ɨ t ɨ n a,31_root-1,false,,Mono,Mono,mono1275,Mono (USA),mnr,Uto-Aztecan,,root,670,ROOT,,
