ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
VaeakauTaumako-210_onethousand-1,210_onethousand,tupuangahulu,tupuangahulu,t u p u a + ŋ a h u l u,5,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,One Thousand,1843,THOUSAND,,
VaeakauTaumako-209_onehundred-1,209_onehundred,vahiki,vahiki,v a h i k i,518,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,One Hundred,1634,HUNDRED,,
VaeakauTaumako-208_fifty-1,208_fifty,gatoaelima,gatoaelima,g a + t o a + e + l i m a,664,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Fifty,1717,FIFTY,,
VaeakauTaumako-207_twenty-1,207_twenty,gatoaelua,gatoaelua,g a t o a e + l u a,947,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Twenty,1710,TWENTY,,
VaeakauTaumako-206_ten-1,206_ten,dumaa,dumaa,d u m aː,946,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Ten,1515,TEN,,
VaeakauTaumako-206_ten-2,206_ten,katoa,katoa,k a t o a,114,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Ten,1515,TEN,,
VaeakauTaumako-205_nine-1,205_nine,iva,iva,i v a,945,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Nine,1483,NINE,,
VaeakauTaumako-204_eight-1,204_eight,valu,valu,v a l u,663,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Eight,1705,EIGHT,,
VaeakauTaumako-203_seven-1,203_seven,hitu,hitu,h i t u,6,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Seven,1704,SEVEN,,
VaeakauTaumako-202_six-1,202_six,ono,ono,o n o,7,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Six,1703,SIX,,
VaeakauTaumako-201_five-1,201_five,lima,lima,l i m a,2,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Five,493,FIVE,,
VaeakauTaumako-200_four-1,200_four,haa,haa,h aː,3,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Four,1500,FOUR,,
VaeakauTaumako-199_three-1,199_three,tolu,tolu,t o l u,8,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Three,492,THREE,,
VaeakauTaumako-198_two-1,198_two,lua,lua,l u a,9,false,,VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Austronesian,,Two,1498,TWO,,
