ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ProtoLalo-1_sky-1,1_sky,mo²di²ma³,mo²di²ma³,m o ² + d i ² + m a ³,0,,,ProtoLalo,Proto-Lalo,,,,Sino-Tibetan,Lalo,sky,1732,SKY,,
Qingyun-1_sky-1,1_sky,n̩²¹di²¹ma³³,n̩²¹di²¹ma³³,n̩ ²¹ + d i ²¹ + m a ³³,0,,,Qingyun,Qingyun,xish1235,Xishanba Lalo,ywt,Sino-Tibetan,Lalo,sky,1732,SKY,,
Shuizhuping-1_sky-1,1_sky,n̩²¹dɛ²¹,n̩²¹dɛ²¹,n̩ ²¹ + d ɛ ²¹,0,,,Shuizhuping,Shuizhuping,west1506,Western Lalu,ywl,Sino-Tibetan,Lalo,sky,1732,SKY,,
Diaocao-1_sky-1,1_sky,mə²¹,mə²¹,m ə ²¹,0,,,Diaocao,Diaocao,dong1286,Dongshanba Lalo,yik,Sino-Tibetan,Lalo,sky,1732,SKY,,
Mangdi-1_sky-1,1_sky,i⁵⁵sɛ⁵⁵mo³³,i⁵⁵sɛ⁵⁵mo³³,i ⁵⁵ + s ɛ ⁵⁵ + m o ³³,0,,,Mangdi,Mangdi,sout3210,Southern Lalo,,Sino-Tibetan,Lalo,sky,1732,SKY,,
Yijiacun-1_sky-1,1_sky,a³³mi²⁴mo³³,a³³mi²⁴mo³³,a ³³ + m i ²⁴ + m o ³³,0,,,Yijiacun,Yijiacun,ekaa1234,Eka,,Sino-Tibetan,Lalo,sky,1732,SKY,,
Yangliu-1_sky-1,1_sky,ŋ̩²¹kɤ̪²¹,ŋ̩²¹kɤ̪²¹,ŋ̩ ²¹ + k ɤ̪/ɤ ²¹,0,,,Yangliu,Yangliu,yang1304,Yangliu,,Sino-Tibetan,Lalo,sky,1732,SKY,,
ProtoLalo-1_sky-2,1_sky,mo²daŋ¹,mo²daŋ¹,m o ² + d a ŋ ¹,1,,,ProtoLalo,Proto-Lalo,,,,Sino-Tibetan,Lalo,sky,1732,SKY,,
Xuzhang-1_sky-1,1_sky,n̩²¹da²¹mo³³,n̩²¹da²¹mo³³,n̩ ²¹ + d a ²¹ + m o ³³,1,,,Xuzhang,Xuzhang,xuzh1234,Xuzhang Lalo,,Sino-Tibetan,Lalo,sky,1732,SKY,,
ProtoLalo-2_sun-1,2_sun,a¹mo²ɣi¹,a¹mo²ɣi¹,a ¹ + m o ² + ɣ i ¹,2,,,ProtoLalo,Proto-Lalo,,,,Sino-Tibetan,Lalo,sun,1343,SUN,,
Qingyun-2_sun-1,2_sun,a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³,a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³,a ⁵⁵ + ŋ ²¹ + ɣ ɨ ⁵⁵ + m a ³³,2,,,Qingyun,Qingyun,xish1235,Xishanba Lalo,ywt,Sino-Tibetan,Lalo,sun,1343,SUN,,
Diaocao-2_sun-1,2_sun,a⁵⁵mə²¹ji²⁴mɔ³³,a⁵⁵mə²¹ji²⁴mɔ³³,a ⁵⁵ + m ə ²¹ + j i ²⁴ + m ɔ ³³,2,,,Diaocao,Diaocao,dong1286,Dongshanba Lalo,yik,Sino-Tibetan,Lalo,sun,1343,SUN,,
Xuzhang-2_sun-1,2_sun,a³⁵mv̩²¹hĩ⁴⁴mo³³,a³⁵mv̩²¹hĩ⁴⁴mo³³,a ³⁵ + m v̩ ²¹ + h ĩ ⁴⁴ + m o ³³,2,,,Xuzhang,Xuzhang,xuzh1234,Xuzhang Lalo,,Sino-Tibetan,Lalo,sun,1343,SUN,,
Mangdi-2_sun-1,2_sun,a⁵⁵mi⁵⁵,a⁵⁵mi⁵⁵,a ⁵⁵ + m i ⁵⁵,2,,,Mangdi,Mangdi,sout3210,Southern Lalo,,Sino-Tibetan,Lalo,sun,1343,SUN,,
Yijiacun-2_sun-1,2_sun,a³³mi²⁴,a³³mi²⁴,a ³³ + m i ²⁴,2,,,Yijiacun,Yijiacun,ekaa1234,Eka,,Sino-Tibetan,Lalo,sun,1343,SUN,,
Yangliu-2_sun-1,2_sun,a⁵⁵m̩²¹tsʰa³³,a⁵⁵m̩²¹tsʰa³³,a ⁵⁵ + m̩ ²¹ + tsʰ a ³³,2,,,Yangliu,Yangliu,yang1304,Yangliu,,Sino-Tibetan,Lalo,sun,1343,SUN,,
ProtoLalo-3_sunshine-1,3_sunshine,a¹mo²tsʰa¹,a¹mo²tsʰa¹,a ¹ + m o ² + tsʰ a ¹,3,,,ProtoLalo,Proto-Lalo,,,,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Qingyun-3_sunshine-1,3_sunshine,a⁵⁵n̩²¹tsʰa⁵⁵,a⁵⁵n̩²¹tsʰa⁵⁵,a ⁵⁵ + n̩ ²¹ + tsʰ a ⁵⁵,3,,,Qingyun,Qingyun,xish1235,Xishanba Lalo,ywt,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Shuizhuping-3_sunshine-1,3_sunshine,n̩²¹tsʰa²⁴,n̩²¹tsʰa²⁴,n̩ ²¹ + tsʰ a ²⁴,3,,,Shuizhuping,Shuizhuping,west1506,Western Lalu,ywl,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Diaocao-3_sunshine-1,3_sunshine,a⁵⁵mə²¹tsʰɔ⁵⁵,a⁵⁵mə²¹tsʰɔ⁵⁵,a ⁵⁵ + m ə ²¹ + tsʰ ɔ ⁵⁵,3,,,Diaocao,Diaocao,dong1286,Dongshanba Lalo,yik,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Xuzhang-3_sunshine-1,3_sunshine,a³⁵mv̩²¹tsʰo³³,a³⁵mv̩²¹tsʰo³³,a ³⁵ + m v̩ ²¹ + tsʰ o ³³,3,,,Xuzhang,Xuzhang,xuzh1234,Xuzhang Lalo,,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Mangdi-3_sunshine-1,3_sunshine,a⁵⁵mi⁵⁵kʰi⁵⁵pʰɛ³³,a⁵⁵mi⁵⁵kʰi⁵⁵pʰɛ³³,a ⁵⁵ + m i ⁵⁵ + kʰ i ⁵⁵ + pʰ ɛ ³³,3,,,Mangdi,Mangdi,sout3210,Southern Lalo,,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Yijiacun-3_sunshine-1,3_sunshine,a²⁴tsʰo²⁴sɛ⁵⁵jo²¹,a²⁴tsʰo²⁴sɛ⁵⁵jo²¹,a ²⁴ + tsʰ o ²⁴ + s ɛ ⁵⁵ + j o ²¹,3,,,Yijiacun,Yijiacun,ekaa1234,Eka,,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
Yangliu-3_sunshine-1,3_sunshine,a⁵⁵m̩²¹tsʰa³³sai⁵⁵,a⁵⁵m̩²¹tsʰa³³sai⁵⁵,a ⁵⁵ + m̩ ²¹ + tsʰ a ³³ + s ai ⁵⁵,3,,,Yangliu,Yangliu,yang1304,Yangliu,,Sino-Tibetan,Lalo,sunshine,3276,SUNSHINE,,
ProtoLalo-4_moon-1,4_moon,xa³ba³,xa³ba³,x a ³ + b a ³,4,,,ProtoLalo,Proto-Lalo,,,,Sino-Tibetan,Lalo,moon,1313,MOON,,
Qingyun-4_moon-1,4_moon,xa³³ba³³kʰɨ⁵⁵,xa³³ba³³kʰɨ⁵⁵,x a ³³ + b a ³³ + kʰ ɨ ⁵⁵,4,,,Qingyun,Qingyun,xish1235,Xishanba Lalo,ywt,Sino-Tibetan,Lalo,moon,1313,MOON,,
Shuizhuping-4_moon-1,4_moon,xa³³ba³³kʰə³³,xa³³ba³³kʰə³³,x a ³³ + b a ³³ + kʰ ə ³³,4,,,Shuizhuping,Shuizhuping,west1506,Western Lalu,ywl,Sino-Tibetan,Lalo,moon,1313,MOON,,
Diaocao-4_moon-1,4_moon,xa³³bɔ³³bɔ³³,xa³³bɔ³³bɔ³³,x a ³³ + b ɔ ³³ + b ɔ ³³,4,,,Diaocao,Diaocao,dong1286,Dongshanba Lalo,yik,Sino-Tibetan,Lalo,moon,1313,MOON,,
Xuzhang-4_moon-1,4_moon,a²¹bu²⁴ba³³mo³³,a²¹bu²⁴ba³³mo³³,a ²¹ + b u ²⁴ + b a ³³ + m o ³³,4,,,Xuzhang,Xuzhang,xuzh1234,Xuzhang Lalo,,Sino-Tibetan,Lalo,moon,1313,MOON,,
Mangdi-4_moon-1,4_moon,xo³³bo³³mo³³,xo³³bo³³mo³³,x o ³³ + b o ³³ + m o ³³,4,,,Mangdi,Mangdi,sout3210,Southern Lalo,,Sino-Tibetan,Lalo,moon,1313,MOON,,
Yijiacun-4_moon-1,4_moon,xa⁵⁵bo³³,xa⁵⁵bo³³,x a ⁵⁵ + b o ³³,4,,,Yijiacun,Yijiacun,ekaa1234,Eka,,Sino-Tibetan,Lalo,moon,1313,MOON,,
