ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
northmansi-1_all-1,1_all,pusən,p.u.s.ə.n,p u s ə n,1,false,,northmansi,North Mansi,mans1258,Northern Mansi,mns,Uralic,,all,98,ALL,false,expert
middlelozvamansi-1_all-1,1_all,puʃn,p.u.ʃ.n,p u ʃ n,1,false,,middlelozvamansi,Middle Lozva Mansi,mans1258,Northern Mansi,mns,Uralic,,all,98,ALL,false,expert
lowerlozvamansi-1_all-1,1_all,ʃaq,ʃ.a.q,ʃ a q,2,false,,lowerlozvamansi,Lower Lozva Mansi,lowe1459,Lower Lozva,,Uralic,,all,98,ALL,false,expert
pelymkamansi-1_all-1,1_all,ʃoq,ʃ.o.q,ʃ o q,2,false,,pelymkamansi,Pelymka Mansi,mans1258,Northern Mansi,mns,Uralic,,all,98,ALL,false,expert
kondamansi-1_all-1,1_all,soq,s.o.q,s o q,2,false,,kondamansi,Konda Mansi,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
tavdamansi-1_all-1,1_all,ʃɔχ,ʃ.ɔ.χ,ʃ ɔ χ,2,false,,tavdamansi,Tavda Mansi,mans1258,Northern Mansi,mns,Uralic,,all,98,ALL,false,expert
vakhkhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,vakhkhanty,Vakh Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
verkhnekalymskkhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,verkhnekalymskkhanty,Verkhne-Kalymsk Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
vartovskojekhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,vartovskojekhanty,Vartovskoje Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
likrisovskojekhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,likrisovskojekhanty,Likrisovskoje Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
malyjjugankhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,malyjjugankhanty,Malyj Jugan Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
tremjugankhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,tremjugankhanty,Tremjugan Khanty,mans1258,Northern Mansi,mns,Uralic,,all,98,ALL,false,expert
jugankhanty-1_all-1,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,3,false,,jugankhanty,Jugan Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
upperdemjankakhanty-1_all-1,1_all,χarnaː,χ.a.r.n.aː,χ a r n aː,4,false,,upperdemjankakhanty,Upper Demjanka Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
kondakhanty-1_all-1,1_all,pertæː,p.e.r.t.æː,p e r t æː,5,false,,kondakhanty,Konda Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
nizjamkhanty-1_all-1,1_all,isaχaːt,i.s.a.χ.aː.t,i s a χ aː t,6,false,,nizjamkhanty,Nizjam Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
sherkalykhanty-1_all-1,1_all,isaːt,i.s.aː.t,i s aː t,6,false,,sherkalykhanty,Sherkaly Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
kazymkhanty-1_all-1,1_all,isaː,i.s.aː,i s aː,6,false,,kazymkhanty,Kazym Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
synjakhanty-1_all-1,1_all,isaː,i.s.aː,i s aː,6,false,,synjakhanty,Synja Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,all,98,ALL,false,expert
northmansi-2_ashes-1,2_ashes,χuʎəm,χ.u.ʎ.ə.m,χ u ʎ ə m,8,false,,northmansi,North Mansi,mans1258,Northern Mansi,mns,Uralic,,ashes,646,ASH,false,expert
middlelozvamansi-2_ashes-1,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,8,false,,middlelozvamansi,Middle Lozva Mansi,mans1258,Northern Mansi,mns,Uralic,,ashes,646,ASH,false,expert
lowerlozvamansi-2_ashes-1,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,8,false,,lowerlozvamansi,Lower Lozva Mansi,lowe1459,Lower Lozva,,Uralic,,ashes,646,ASH,false,expert
kondamansi-2_ashes-1,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,8,false,,kondamansi,Konda Mansi,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,ashes,646,ASH,false,expert
tavdamansi-2_ashes-1,2_ashes,qoːʎəm,q.oː.ʎ.ə.m,q oː ʎ ə m,8,false,,tavdamansi,Tavda Mansi,mans1258,Northern Mansi,mns,Uralic,,ashes,646,ASH,false,expert
vakhkhanty-2_ashes-1,2_ashes,pæːr,p.æː.r,p æː r,9,false,,vakhkhanty,Vakh Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,ashes,646,ASH,false,expert
vasjugankhanty-2_ashes-1,2_ashes,pæːr,p.æː.r,p æː r,9,false,,vasjugankhanty,Vasjugan Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,,ashes,646,ASH,false,expert
