ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
ProtoBizic-30_chinese-1,30_chinese,*pʰɑ¹ᴴ,*pʰɑ¹ᴴ,pʰ ɑ ¹ᴴ/⁵,1015,,,ProtoBizic,Proto-Bizic,,,,,,Chinese,3373,HAN CHINESE,,
LongshanHusiL-30_chinese-1,30_chinese,pʰa⁵⁵,pʰa⁵⁵,pʰ a ⁵⁵,1015,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,Chinese,3373,HAN CHINESE,,
XiaTujia-30_chinese-1,30_chinese,pʰa⁵⁵ kʰa³³,pʰa⁵⁵ kʰa³³,pʰ a ⁵⁵ + kʰ a ³³,1015,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,Chinese,3373,HAN CHINESE,,
Cebu-30_chinese-1,30_chinese,pʰa⁵⁵ lie²¹ ʕei⁵⁵ wu²¹ '汉族 (Han people)',pʰa⁵⁵ lie²¹ ʕei⁵⁵ wu²¹,pʰ a ⁵⁵ + l i/j e ²¹ + ʕ ei ⁵⁵ + w u ²¹,1015,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,Chinese,3373,HAN CHINESE,,
ProtoBizic-94_hmongic-1,94_hmongic,*b[e/ɤ]@?,*b@?,b ə,56,,,ProtoBizic,Proto-Bizic,,,,,,Hmongic,,,,
LongshanHusiL-94_hmongic-1,94_hmongic,pe³⁵ kʰa²¹,pe³⁵ kʰa²¹,p e ³⁵ + kʰ a ²¹,56,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,Hmongic,,,,
XiaTujia-94_hmongic-1,94_hmongic,pɯə³⁵ kʰa⁵⁴,pɯə³⁵ kʰa⁵⁴,p ɯ/ɰ ə ³⁵ + kʰ a ⁵⁴,56,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,Hmongic,,,,
Cebu-94_hmongic-1,94_hmongic,bie³³,bie³³,b i/j e ³³,56,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,Hmongic,,,,
CajiAdi-94_hmongic-1,94_hmongic,bie³¹ ʕɯ³¹ ȵia²¹,bie³¹ ʕɯ³¹ ȵia²¹,b i/j e ³¹ + ʕ ɯ ³¹ + ȵ i/j a ²¹,56,,,CajiAdi,Caji-adi,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,Hmongic,,,,
ProtoBizic-98_i-1,98_i,*ŋɑ¹ᴹ,*ŋɑ¹ᴹ,ŋ ɑ ¹ᴹ/³,19,,,ProtoBizic,Proto-Bizic,,,,,,I,1209,I,,
LongshanHusiT-98_i-1,98_i,ŋa²⁴,ŋa²⁴,ŋ a ²⁴,19,,,LongshanHusiT,Longshan Husi T,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,I,1209,I,,
LongshanHusiL-98_i-1,98_i,ŋa³⁵ (nom.),ŋa³⁵,ŋ a ³⁵,19,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,I,1209,I,,
LongshanHusiL-98_i-2,98_i,ŋa⁵³ (acc.),ŋa⁵³,ŋ a ⁵³,19,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,I,1209,I,,
XiaTujia-98_i-1,98_i,ŋa³³,ŋa³³,ŋ a ³³,19,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,I,1209,I,,
GuzhangHusi-98_i-1,98_i,ŋa³⁵,ŋa³⁵,ŋ a ³⁵,19,,,GuzhangHusi,Guzhang Husi,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,I,1209,I,,
Cebu-98_i-1,98_i,ŋo³³,ŋo³³,ŋ o ³³,19,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,I,1209,I,,
ProtoBizic-330_tujia-1,330_tujia,*Øm̩⁴ / *ǳi⁴,*Øm̩⁴ *ǳi⁴,Ø/ə m̩ ⁴ + d i ⁴,2113 2114,,,ProtoBizic,Proto-Bizic,,,,,,Tujia,,,,
LongshanHusiT-330_tujia-1,330_tujia,pi²⁴ ʦɿ⁵⁵ kʰa²¹,pi²⁴ ʦɿ⁵⁵ kʰa²¹,p i ²⁴ + ts ɿ ⁵⁵ + kʰ a ²¹,2113 2114,,,LongshanHusiT,Longshan Husi T,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,Tujia,,,,
LongshanHusiL-330_tujia-1,330_tujia,pi³⁵ ʦi⁵³ kʰa²¹,pi³⁵ ʦi⁵³ kʰa²¹,p i ³⁵ + ts i ⁵³ + kʰ a ²¹,2113 2114,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,Tujia,,,,
XiaTujia-330_tujia-1,330_tujia,mi³⁵ ʨi⁵⁵ kʰa³³-⁵⁵,mi³⁵ ʨi⁵⁵ kʰa³³-⁵⁵,m i ³⁵ + tɕ i ⁵⁵ + kʰ a ³³ ⁵⁵,2113 2114,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,Tujia,,,,
GuzhangHusi-330_tujia-1,330_tujia,pi³⁵ ʨi⁵⁵ kʰa²¹,pi³⁵ ʨi⁵⁵ kʰa²¹,p i ³⁵ + tɕ i ⁵⁵ + kʰ a ²¹,2113 2114,,,GuzhangHusi,Guzhang Husi,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,Tujia,,,,
Cebu-330_tujia-1,330_tujia,m̩²¹ ǳɿ²¹,m̩²¹ ǳɿ²¹,m̩ ²¹ + d ɿ ²¹,2113 2114,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,Tujia,,,,
CajiAdi-330_tujia-1,330_tujia,m̩²¹ ǳɿ²¹,m̩²¹ ǳɿ²¹,m̩ ²¹ + d ɿ ²¹,2113 2114,,,CajiAdi,Caji-adi,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,Tujia,,,,
ProtoBizic-1_all-1,1_all,*ni¹ᴴ,*ni¹ᴴ,n i ¹ᴴ/⁵,1069,,,ProtoBizic,Proto-Bizic,,,,,,all,98,ALL,,
LongshanHusiL-1_all-1,1_all,xu³⁵ ȵi⁵³,xu³⁵ ȵi⁵³,x u ³⁵ + ȵ i ⁵³,1069,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,all,98,ALL,,
XiaTujia-1_all-1,1_all,kʰɯ³⁵-³³ li⁵⁵,kʰɯ³⁵-³³ li⁵⁵,kʰ ɯ ³⁵ ³³ + l i ⁵⁵,1069,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,all,98,ALL,,
Cebu-1_all-1,1_all,bu¹³ li⁵⁵ '都',bu¹³ li⁵⁵,b u ¹³ + l i ⁵⁵,1069,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,all,98,ALL,,
CajiAdi-1_all-1,1_all,bu¹³ li⁵³,bu¹³ li⁵³,b u ¹³ + l i ⁵³,1069,,,CajiAdi,Caji-adi,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,all,98,ALL,,
ProtoBizic-2_almost-1,2_almost,*gɯ@?,*gɯ@?,g ɯ ə,1120,,,ProtoBizic,Proto-Bizic,,,,,,almost,,,,
LongshanHusiT-2_almost-1,2_almost,-ku²⁴ (现在),-ku²⁴,k u ²⁴,1120,,,LongshanHusiT,Longshan Husi T,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,almost,,,,
Cebu-2_almost-1,2_almost,ǳɯ²¹ gɯ¹³,ǳɯ²¹ gɯ¹³,d ɯ ²¹ + g ɯ ¹³,1120,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,almost,,,,
ProtoBizic-3_ant-1,3_ant,*s[V]@? / *ȵi²,*s@? *ȵi²,s ə + ȵ i ²,2005 2006,,,ProtoBizic,Proto-Bizic,,,,,,ant,587,ANT,,
LongshanHusiT-3_ant-1,3_ant,sɿ⁵⁵ ȵi²¹ ka²¹,sɿ⁵⁵ ȵi²¹ ka²¹,s ɿ ⁵⁵ + ȵ i ²¹ + k a ²¹,2005 2006,,,LongshanHusiT,Longshan Husi T,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,ant,587,ANT,,
XiaTujia-3_ant-1,3_ant,ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁴,ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁴,ɕ i ⁵⁴ + n i ³³ + k a ⁵⁴ + p a ⁵⁴,2005,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,ant,587,ANT,,
Cebu-3_ant-1,3_ant,sa²¹ ȵi³⁵,sa²¹ ȵi³⁵,s a ²¹ + ȵ i ³⁵,2005 2006,,,Cebu,Cebu,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,ant,587,ANT,,
CajiAdi-3_ant-1,3_ant,sa²¹ ȵi³⁵,sa²¹ ȵi³⁵,s a ²¹ + ȵ i ³⁵,2005 2006,,,CajiAdi,Caji-adi,sout2739,Southern Tujia,tjs,Sino-Tibetan,Southern,ant,587,ANT,,
LongshanHusiL-3_ant-1,3_ant,si⁵³ ȵi²¹ ka²¹,si⁵³ ȵi²¹ ka²¹,s i ⁵³ + ȵ i ²¹ + k a ²¹,2006,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,ant,587,ANT,,
XiaTujia-3_ant-2,3_ant,ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁵,ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁵,ɕ i ⁵⁴ + n i ³³ + k a ⁵⁴ + p a ⁵⁵,2006,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,ant,587,ANT,,
ProtoBizic-4_ashes-1,4_ashes,*ʦʰɿ⁴,*ʦʰɿ⁴,tsʰ ɿ ⁴,1096,,,ProtoBizic,Proto-Bizic,,,,,,ashes,646,ASH,,
LongshanHusiL-4_ashes-1,4_ashes,pu²¹ ʦʰi⁵³,pu²¹ ʦʰi⁵³,p u ²¹ + tsʰ i ⁵³,1096,,,LongshanHusiL,Longshan Husi L,nort2739,Northern Shanic,tji,Tai-Kadai,Northern,ashes,646,ASH,,
XiaTujia-4_ashes-1,4_ashes,pu³³ ʦʰɿ³⁵,pu³³ ʦʰɿ³⁵,p u ³³ + tsʰ ɿ ³⁵,1096,,,XiaTujia,Xia Tujia,nort2732,Northern Tujia,tji,Sino-Tibetan,Northern,ashes,646,ASH,,
