Language	Concept	Cognateset
Danish	ANT	ANT.272
Dutch	ANT	ANT.272
Elfdalian	ANT	ANT.272
English	ANT	ANT.1617
Frisian	ANT	ANT.1617
German	ANT	ANT.1617
Hindi	ANT	ANT.2354
Russian	ANT	ANT.272
Spanish	ANT	ANT.272
Swedish	ANT	ANT.272
Danish	ASH	ASH.285
Dutch	ASH	ASH.285
Elfdalian	ASH	ASH.285
English	ASH	ASH.285
Frisian	ASH	ASH.285
German	ASH	ASH.285
Hindi	ASH	ASH.2355
Russian	ASH	ASH.3869
Spanish	ASH	ASH.1
Swedish	ASH	ASH.4161
Danish	BACK	BACK.1413
Dutch	BACK	BACK.1413
Elfdalian	BACK	BACK.1413
English	BACK	BACK.1618
Frisian	BACK	BACK.1413
German	BACK	BACK.1413
Hindi	BACK	BACK.598
Russian	BACK	BACK.904
Spanish	BACK	BACK.3541
Swedish	BACK	BACK.1413
Danish	BAD	BAD.1414
Dutch	BAD	BAD.1533
Elfdalian	BAD	BAD.1414
English	BAD	BAD.1619
Frisian	BAD	BAD.1734
German	BAD	BAD.1533
Hindi	BAD	BAD.989
Russian	BAD	BAD.3870
Spanish	BAD	BAD.274
Swedish	BAD	BAD.1612
Danish	BARK	BARK.1415
Dutch	BARK	BARK.1534
Elfdalian	BARK	BARK.1415
English	BARK	BARK.1620
Frisian	BARK	BARK.1698
German	BARK	BARK.2041
Hindi	BARK	BARK.2356
Russian	BARK	BARK.492
Spanish	BARK	BARK.275
Swedish	BARK	BARK.4162
Danish	BELLY	BELLY.1416
Dutch	BELLY	BELLY.1142
Elfdalian	BELLY	BELLY.1416
English	BELLY	BELLY.1142
Frisian	BELLY	BELLY.1142
German	BELLY	BELLY.1142
Hindi	BELLY	BELLY.990
Russian	BELLY	BELLY.343
Spanish	BELLY	BELLY.276
Swedish	BELLY	BELLY.1142
Danish	BIG	BIG.69
Dutch	BIG	BIG.1535
Elfdalian	BIG	BIG.69
English	BIG	BIG.1621
Frisian	BIG	BIG.1535
German	BIG	BIG.1535
Hindi	BIG	BIG.991
Russian	BIG	BIG.3871
Spanish	BIG	BIG.277
Swedish	BIG	BIG.69
Danish	BIRD	BIRD.1417
Dutch	BIRD	BIRD.1417
Elfdalian	BIRD	BIRD.1417
English	BIRD	BIRD.1622
Frisian	BIRD	BIRD.1417
German	BIRD	BIRD.1417
Hindi	BIRD	BIRD.2357
Russian	BIRD	BIRD.906
Spanish	BIRD	BIRD.308
Swedish	BIRD	BIRD.1417
Danish	BITE	BITE.1418
Dutch	BITE	BITE.1418
Elfdalian	BITE	BITE.1418
English	BITE	BITE.1418
Frisian	BITE	BITE.1418
German	BITE	BITE.1418
Hindi	BITE	BITE.275
Russian	BITE	BITE.3872
Spanish	BITE	BITE.279
Swedish	BITE	BITE.1418
Danish	BITTER	BITTER.1419
Dutch	BITTER	BITTER.1418
Elfdalian	BITTER	BITTER.1418
English	BITTER	BITTER.1418
Frisian	BITTER	BITTER.1418
German	BITTER	BITTER.1418
Hindi	BITTER	BITTER.2358
Russian	BITTER	BITTER.45
Spanish	BITTER	BITTER.280
Swedish	BITTER	BITTER.1418
Danish	BLACK	BLACK.1420
Dutch	BLACK	BLACK.1420
Elfdalian	BLACK	BLACK.1420
English	BLACK	BLACK.1623
Frisian	BLACK	BLACK.1420
German	BLACK	BLACK.1420
Hindi	BLACK	BLACK.606
Russian	BLACK	BLACK.908
Spanish	BLACK	BLACK.281
Swedish	BLACK	BLACK.1420
Danish	BLOOD	BLOOD.1421
Dutch	BLOOD	BLOOD.1421
Elfdalian	BLOOD	BLOOD.1421
English	BLOOD	BLOOD.1421
Frisian	BLOOD	BLOOD.1421
German	BLOOD	BLOOD.1421
Hindi	BLOOD	BLOOD.1086
Russian	BLOOD	BLOOD.909
Spanish	BLOOD	BLOOD.282
Swedish	BLOOD	BLOOD.1421
Danish	BLOW	BLOW.283
Dutch	BLOW	BLOW.283
Elfdalian	BLOW	BLOW.283
English	BLOW	BLOW.283
Frisian	BLOW	BLOW.283
German	BLOW	BLOW.283
Hindi	BLOW	BLOW.994
Russian	BLOW	BLOW.910
Spanish	BLOW	BLOW.283
Swedish	BLOW	BLOW.283
Danish	BONE	BONE.1422
Dutch	BONE	BONE.8
Elfdalian	BONE	BONE.1422
English	BONE	BONE.1422
Frisian	BONE	BONE.1422
German	BONE	BONE.2026
Hindi	BONE	BONE.995
Russian	BONE	BONE.911
Spanish	BONE	BONE.13
Swedish	BONE	BONE.1422
Danish	BREATHE	BREATHE.577
Dutch	BREATHE	BREATHE.1536
Elfdalian	BREATHE	BREATHE.577
English	BREATHE	BREATHE.1624
Frisian	BREATHE	BREATHE.1735
German	BREATHE	BREATHE.1536
Hindi	BREATHE	BREATHE.996
Russian	BREATHE	BREATHE.912
Spanish	BREATHE	BREATHE.284
Swedish	BREATHE	BREATHE.577
Danish	BURN	BURN.1423
Dutch	BURN	BURN.1423
Elfdalian	BURN	BURN.1423
English	BURN	BURN.1423
Frisian	BURN	BURN.1423
German	BURN	BURN.1423
Hindi	BURN	BURN.1073
Russian	BURN	BURN.45
Spanish	BURN	BURN.285
Swedish	BURN	BURN.1423
Danish	CARRY	CARRY.5
Dutch	CARRY	CARRY.1468
Elfdalian	CARRY	CARRY.5
English	CARRY	CARRY.1625
Frisian	CARRY	CARRY.1468
German	CARRY	CARRY.2042
Hindi	CARRY	CARRY.2359
Russian	CARRY	CARRY.913
Spanish	CARRY	CARRY.3334
Swedish	CARRY	CARRY.5
Danish	CHEST	CHEST.1261
Dutch	CHEST	CHEST.1261
Elfdalian	CHEST	CHEST.1261
English	CHEST	CHEST.1626
Frisian	CHEST	CHEST.1261
German	CHEST	CHEST.1261
Hindi	CHEST	CHEST.1088
Russian	CHEST	CHEST.914
Spanish	CHEST	CHEST.287
Swedish	CHEST	CHEST.1261
Danish	CHILD	CHILD.5
Dutch	CHILD	CHILD.646
Elfdalian	CHILD	CHILD.1574
English	CHILD	CHILD.1627
Frisian	CHILD	CHILD.5
German	CHILD	CHILD.646
Hindi	CHILD	CHILD.1925
Russian	CHILD	CHILD.922
Spanish	CHILD	CHILD.416
Swedish	CHILD	CHILD.5
Danish	CLAW	CLAW.1424
Dutch	CLAW	CLAW.1424
Elfdalian	CLAW	CLAW.1424
English	CLAW	CLAW.1424
Frisian	CLAW	CLAW.1424
German	CLAW	CLAW.2028
Hindi	CLAW	CLAW.1090
Russian	CLAW	CLAW.3873
Spanish	CLAW	CLAW.4155
Swedish	CLAW	CLAW.1424
Danish	CLOUD	CLOUD.1425
Dutch	CLOUD	CLOUD.1250
Elfdalian	CLOUD	CLOUD.1575
