Language	Parameter	Cognateset
Albanian_Arberesh	ant	ant.006
Albanian_Gheg	ant	ant.008
Albanian_Standard	ant	ant.005
AngloNorman	ant	ant.002
Armenian_Classical	ant	ant.002
Armenian_Eastern	ant	ant.002
Armenian_Western	ant	ant.002
Assamese	ant	ant.013
Avestan_Younger	ant	ant.002
Bakhtiari	ant	ant.002
Balochi_Sistani	ant	ant.002
Belarusian	ant	ant.002
Bengali	ant	ant.004
Bhojpuri	ant	ant.012
Breton_Gwened	ant	ant.002
Breton_Treger	ant	ant.002
Bulgarian	ant	ant.002
Catalan	ant	ant.002
Czech	ant	ant.002
Dalmatian_Vegliote	ant	ant.002
Danish	ant	ant.002
Delvari	ant	ant.011
Dutch	ant	ant.002
Elfdalian	ant	ant.002
English	ant	ant.010
Faroese	ant	ant.002
Flemish	ant	ant.002
FrancoProvencal	ant	ant.002
French	ant	ant.002
Frisian	ant	ant.010
Friulian	ant	ant.002
Gaelic_Irish	ant	ant.015
Gaelic_Manx	ant	ant.015
Gaelic_Scottish	ant	ant.015
Gawarbati	ant	ant.004
Gawri	ant	ant.004
German	ant	ant.010
German_Bernese	ant	ant.010
Greek_Ancient	ant	ant.002
Greek_Cappadocian	ant	ant.002
Greek_Cypriot	ant	ant.019
Greek_Italiot	ant	ant.002
Greek_Modern_Std	ant	ant.002
Greek_Pontic	ant	ant.002
Hawrami	ant	ant.002
Hindi	ant	ant.012
Icelandic	ant	ant.002
Italian	ant	ant.002
Kalasaala_Niseigram	ant	ant.020
Kamviri	ant	ant.001
Kashmiri	ant	ant.018
Kashubian	ant	ant.002
Khotanese	ant	ant.002
Khowar	ant	ant.004
Khwarazmian	ant	ant.002
Kumzari	ant	ant.011
Kurdish_C._Jafi	ant	ant.002
Kurdish_N._Bahdini	ant	ant.002
Kurdish_S._Elami	ant	ant.002
Kurdish_S._Qorveh	ant	ant.002
Katavari_Ktivi	ant	ant.001
Ladin	ant	ant.002
Lari	ant	ant.002
Late_Cornish	ant	ant.002
Latgalian	ant	ant.021
Latin	ant	ant.002
Latvian	ant	ant.021
Lithuanian	ant	ant.021
Luxembourgish	ant	ant.017
Macedonian	ant	ant.002
Macedonian_Suho	ant	ant.002
Macedonian_Visoka	ant	ant.002
Magahi	ant	ant.012
Maithili	ant	ant.012
Marathi	ant	ant.014
Mazanderani	ant	ant.002
MeglenoRomanian	ant	ant.002
Middle_Breton	ant	ant.002
Middle_Dutch	ant	ant.002
Middle_High_German	ant	ant.010
Middle_Persian	ant	ant.002
Middle_Welsh	ant	ant.002
