Language	Parameter	Cognateset
Danish	ant	ant.002
Dutch	ant	ant.002
Elfdalian	ant	ant.002
English	ant	ant.010
Faroese	ant	ant.002
Flemish	ant	ant.002
Frisian	ant	ant.010
German	ant	ant.010
German_Bernese	ant	ant.010
Icelandic	ant	ant.002
Luxembourgish	ant	ant.017
Norwegian_Bokmal	ant	ant.002
Norwegian_Nynorsk	ant	ant.002
Swedish	ant	ant.002
Danish	ash	ash.022
Dutch	ash	ash.022
Elfdalian	ash	ash.022
English	ash	ash.022
Faroese	ash	ash.022
Flemish	ash	ash.022
Frisian	ash	ash.022
German	ash	ash.022
German_Bernese	ash	ash.022
Gothic	ash	ash.022
Icelandic	ash	ash.022
Luxembourgish	ash	ash.022
Norwegian_Bokmal	ash	ash.022
Norwegian_Nynorsk	ash	ash.022
Swedish	ash	ash.022
Danish	back	back.027
Dutch	back	back.027
Elfdalian	back	back.027
English	back	back.022
Faroese	back	back.022
Flemish	back	back.027
Frisian	back	back.027
German	back	back.027
German_Bernese	back	back.027
Icelandic	back	back.022
Luxembourgish	back	back.027
Norwegian_Bokmal	back	back.027
Norwegian_Nynorsk	back	back.027
Swedish	back	back.027
Danish	bad	bad.073
Dutch	bad	bad.040
Elfdalian	bad	bad.073
English	bad	bad.028
Faroese	bad	bad.013
Flemish	bad	bad.040
Frisian	bad	bad.016
German	bad	bad.040
German_Bernese	bad	bad.040
Gothic	bad	bad.023
Icelandic	bad	bad.076
Luxembourgish	bad	bad.040
Norwegian_Bokmal	bad	bad.073
Norwegian_Nynorsk	bad	bad.073
Swedish	bad	bad.073
Dutch	bark	bark.028
Elfdalian	bark	bark.030
English	bark	bark.017
Faroese	bark	bark.030
Flemish	bark	bark.042
Frisian	bark	bark.042
German	bark	bark.023
German_Bernese	bark	bark.023
Icelandic	bark	bark.030
Luxembourgish	bark	bark.039
Norwegian_Bokmal	bark	bark.030
Norwegian_Nynorsk	bark	bark.030
Swedish	bark	bark.042
Danish	belly	belly.018
Dutch	belly	belly.017
Elfdalian	belly	belly.042
English	belly	belly.004
Faroese	belly	belly.017
Flemish	belly	belly.017
Frisian	belly	belly.017
German	belly	belly.017
German_Bernese	belly	belly.017
Gothic	belly	belly.045
Icelandic	belly	belly.042
Luxembourgish	belly	belly.017
Norwegian_Bokmal	belly	belly.018
Norwegian_Nynorsk	belly	belly.018
Swedish	belly	belly.018
Danish	big	big.014
Dutch	big	big.011
Elfdalian	big	big.014
English	big	big.004
Faroese	big	big.014
Flemish	big	big.011
Frisian	big	big.011
German	big	big.011
German_Bernese	big	big.011
Gothic	big	big.031
Icelandic	big	big.014
Luxembourgish	big	big.011
Norwegian_Bokmal	big	big.014
Norwegian_Nynorsk	big	big.014
Swedish	big	big.014
Danish	bird	bird.031
Dutch	bird	bird.031
Elfdalian	bird	bird.031
English	bird	bird.010
Faroese	bird	bird.031
Flemish	bird	bird.031
Frisian	bird	bird.031
German	bird	bird.031
German_Bernese	bird	bird.031
Gothic	bird	bird.031
Icelandic	bird	bird.031
Luxembourgish	bird	bird.031
Norwegian_Bokmal	bird	bird.031
Norwegian_Nynorsk	bird	bird.031
Swedish	bird	bird.031
Danish	bite	bite.036
Dutch	bite	bite.036
Elfdalian	bite	bite.036
English	bite	bite.036
Faroese	bite	bite.036
Flemish	bite	bite.036
Frisian	bite	bite.036
German	bite	bite.036
German_Bernese	bite	bite.036
Gothic	bite	bite.036
Icelandic	bite	bite.036
Luxembourgish	bite	bite.036
Norwegian_Bokmal	bite	bite.036
Norwegian_Nynorsk	bite	bite.036
Swedish	bite	bite.036
Danish	bitter	bitter.018
Dutch	bitter	bitter.001
Elfdalian	bitter	bitter.001
English	bitter	bitter.001
Faroese	bitter	bitter.001
Flemish	bitter	bitter.001
Frisian	bitter	bitter.001
German	bitter	bitter.001
German_Bernese	bitter	bitter.001
Gothic	bitter	bitter.001
Icelandic	bitter	bitter.001
Luxembourgish	bitter	bitter.001
Norwegian_Bokmal	bitter	bitter.018
Norwegian_Nynorsk	bitter	bitter.018
Swedish	bitter	bitter.001
Danish	black	black.011
Dutch	black	black.011
Elfdalian	black	black.011
English	black	black.026
Faroese	black	black.011
Flemish	black	black.011
Frisian	black	black.011
German	black	black.011
German_Bernese	black	black.011
Gothic	black	black.011
Icelandic	black	black.011
Luxembourgish	black	black.011
Norwegian_Bokmal	black	black.011
Norwegian_Nynorsk	black	black.011
Swedish	black	black.011
Danish	blood	blood.004
Dutch	blood	blood.004
Elfdalian	blood	blood.004
English	blood	blood.004
Faroese	blood	blood.004
Flemish	blood	blood.004
Frisian	blood	blood.004
German	blood	blood.004
German_Bernese	blood	blood.004
Gothic	blood	blood.004
Icelandic	blood	blood.004
Luxembourgish	blood	blood.004
Norwegian_Bokmal	blood	blood.004
Norwegian_Nynorsk	blood	blood.004
Swedish	blood	blood.004
Danish	bone	bone.002
Dutch	bone	bone.007
Elfdalian	bone	bone.006
English	bone	bone.006
Faroese	bone	bone.006
Flemish	bone	bone.006
Frisian	bone	bone.006
German	bone	bone.016
German_Bernese	bone	bone.016
Icelandic	bone	bone.006
Luxembourgish	bone	bone.004
Norwegian_Bokmal	bone	bone.006
Norwegian_Nynorsk	bone	bone.006
Swedish	bone	bone.006
Danish	breathe	breathe.009
