Language	Parameter	Cognateset
Italian	ant	ant.002
Ukrainian	ant	ant.002
Urdu	ant	ant.012
Italian	ash	ash.011
Ukrainian	ash	ash.029
Urdu	ash	ash.021
Italian	back	back.032
Ukrainian	back	back.036
Urdu	back	back.024
Italian	bad	bad.060
Ukrainian	bad	bad.037
Urdu	bad	bad.017
Italian	bark	bark.031
Ukrainian	bark	bark.026
Urdu	bark	bark.020
Italian	belly	belly.012
Ukrainian	belly	belly.042
Urdu	belly	belly.044
Italian	big	big.032
Ukrainian	big	big.025
Urdu	big	big.040
Italian	bird	bird.025
Ukrainian	bird	bird.024
Urdu	bird	bird.013
Italian	bite	bite.043
Ukrainian	bite	bite.030
Urdu	bite	bite.031
Italian	bitter	bitter.027
Ukrainian	bitter	bitter.020
Urdu	bitter	bitter.010
Italian	black	black.001
Ukrainian	black	black.005
Urdu	black	black.020
Italian	blood	blood.001
Ukrainian	blood	blood.008
Urdu	blood	blood.009
Italian	bone	bone.009
Ukrainian	bone	bone.013
Urdu	bone	bone.005
Italian	breathe	breathe.012
Ukrainian	breathe	breathe.004
Urdu	breathe	breathe.031
Italian	burn	burn.022
Ukrainian	burn	burn.003
Urdu	burn	burn.010
Italian	carry	carry.013
Ukrainian	carry	carry.012
Urdu	carry	carry.029
Italian	chest	chest.008
Ukrainian	chest	chest.012
Urdu	chest	chest.015
Italian	claw	claw.021
Ukrainian	claw	claw.009
Urdu	claw	claw.028
Italian	cloud	cloud.016
Ukrainian	cloud	cloud.031
Urdu	cloud	cloud.017
Italian	cold	cold.009
Ukrainian	cold	cold.003
Urdu	cold	cold.007
Italian	come	come.004
Ukrainian	come	come.002
Urdu	come	come.004
Italian	count	count.009
Ukrainian	count	count.018
Urdu	count	count.021
Italian	cry	cry.026
Ukrainian	cry	cry.026
Urdu	cry	cry.037
Italian	day	day.012
Ukrainian	day	day.012
Urdu	day	day.012
Italian	die	die.006
Ukrainian	die	die.006
Urdu	die	die.006
Italian	dig	dig.030
Ukrainian	dig	dig.006
Urdu	dig	dig.012
Italian	dirty	dirty.044
Ukrainian	dirty	dirty.081
Urdu	dirty	dirty.027
Italian	do	do.012
Ukrainian	do	do.009
Urdu	do	do.022
Italian	dog	dog.011
Ukrainian	dog	dog.018
Urdu	dog	dog.015
Italian	drink	drink.010
Ukrainian	drink	drink.010
Urdu	drink	drink.010
Italian	dry	dry.001
Ukrainian	dry	dry.016
Urdu	dry	dry.016
Italian	dust	dust.028
Ukrainian	dust	dust.022
Urdu	dust	dust.007
Italian	ear	ear.005
Ukrainian	ear	ear.005
Urdu	ear	ear.002
Italian	earth	earth.015
Ukrainian	earth	earth.008
Urdu	earth	earth.033
Italian	eat	eat.003
Ukrainian	eat	eat.009
Urdu	eat	eat.013
Italian	egg	egg.009
Ukrainian	egg	egg.009
Urdu	egg	egg.016
Italian	eye	eye.009
Ukrainian	eye	eye.009
Urdu	eye	eye.009
Italian	fall	fall.031
Ukrainian	fall	fall.039
Urdu	fall	fall.016
Italian	far	far.001
Ukrainian	far	far.001
Urdu	far	far.015
Italian	fear	fear.004
Ukrainian	fear	fear.022
Urdu	fear	fear.028
Italian	feather	feather.002
