Language	Parameter	Cognateset
Adapazar	ALL	all_d
Afrikaans	ALL	all_a
Ancient_Greek	ALL	all_l
Arumanian	ALL	all_c
Arvanitika	ALL	all_b
Assamese	ALL	all_0
Avestan	ALL	all_h
Baluchi	ALL	all_e
Baluchi	ALL	all_f
Baluchi	ALL	all_r
Baluchi	ALL	all_s
Belarusian	ALL	all_h
Bengali	ALL	all_f
Bihari	ALL	all_f
Breton	ALL	all_g
Bulgarian	ALL	all_h
Cagliari	ALL	all_c
Catalan	ALL	all_c
Classical_Armenian	ALL	all_0
Cornish	ALL	all_g
Czech	ALL	all_h
Danish	ALL	all_a
Digor_Ossetic	ALL	all_j
Dutch	ALL	all_a
Eastern_Armenian	ALL	all_0
Eastern_Armenian	ALL	all_d
English	ALL	all_a
Faroese	ALL	all_a
Flemish	ALL	all_a
French	ALL	all_c
Frisian	ALL	all_a
Friulian	ALL	all_c
German	ALL	all_a
Gothic	ALL	all_a
Gujarati	ALL	all_0
Hindi	ALL	all_f
Hittite	ALL	all_m
Icelandic	ALL	all_a
Irish	ALL	all_g
Italian	ALL	all_c
Kashmiri	ALL	all_e
Kurdish	ALL	all_i
Kurdish	ALL	all_s
Kurdish	ALL	all_t
Ladin	ALL	all_c
Lahnda	ALL	all_f
Latin	ALL	all_c
Latin	ALL	all_m
Latvian	ALL	all_h
Lithuanian	ALL	all_h
Lower_Sorbian	ALL	all_h
Luxembourgish	ALL	all_a
Macedonian	ALL	all_0
Macedonian	ALL	all_h
Marathi	ALL	all_f
Marwari	ALL	all_f
Modern_Greek	ALL	all_g
Nepali	ALL	all_f
Norwegian	ALL	all_a
Nuorese	ALL	all_c
Old_Church_Slavic	ALL	all_h
Old_English	ALL	all_a
Old_High_German	ALL	all_a
Old_Irish	ALL	all_g
Old_Prussian	ALL	all_h
Old_West_Norse	ALL	all_a
Oriya	ALL	all_f
Panjabi	ALL	all_f
Pashto	ALL	all_w
Persian	ALL	all_i
Polish	ALL	all_0
Polish	ALL	all_h
Portuguese	ALL	all_c
Provencal	ALL	all_c
Romani	ALL	all_f
Romanian	ALL	all_c
Romansh	ALL	all_c
Russian	ALL	all_h
Sariqoli	ALL	all_y
Scots_Gaelic	ALL	all_g
Serbian	ALL	all_h
Shughni	ALL	all_x
Sindhi	ALL	all_0
Sindhi	ALL	all_f
Singhalese	ALL	all_0
Slovak	ALL	all_h
Slovenian	ALL	all_0
Slovenian	ALL	all_h
Sogdian	ALL	all_o
Spanish	ALL	all_c
Swedish	ALL	all_a
Swiss_German	ALL	all_a
Tajik	ALL	all_i
Tajik	ALL	all_q
Tocharian_A	ALL	all_g
Tocharian_A	ALL	all_l
Tocharian_B	ALL	all_g
Tocharian_B	ALL	all_l
Tosk	ALL	all_b
Ukrainian	ALL	all_h
Upper_Sorbian	ALL	all_h
Urdu	ALL	all_f
Vedic_Sanskrit	ALL	all_h
Wakhi	ALL	all_p
Walloon	ALL	all_c
Waziri	ALL	all_i
Waziri	ALL	all_v
Welsh	ALL	all_0
Welsh	ALL	all_k
Zazaki	ALL	all_i
Zazaki	ALL	all_u
Adapazar	AND	and_d
Afrikaans	AND	and_b
Ancient_Greek	AND	and_j
Ancient_Greek	AND	and_o
Arumanian	AND	and_0
Arvanitika	AND	and_c
Assamese	AND	and_0
Assamese	AND	and_a
Avestan	AND	and_o
Baluchi	AND	and_e
Belarusian	AND	and_h
Bengali	AND	and_a
Bengali	AND	and_p
Bihari	AND	and_a
Bihari	AND	and_l
Bihari	AND	and_p
Breton	AND	and_g
Bulgarian	AND	and_h
Cagliari	AND	and_f
Catalan	AND	and_f
Classical_Armenian	AND	and_d
Cornish	AND	and_g
Czech	AND	and_h
Danish	AND	and_i
Digor_Ossetic	AND	and_q
Dutch	AND	and_b
Eastern_Armenian	AND	and_0
Eastern_Armenian	AND	and_d
English	AND	and_b
Faroese	AND	and_i
Flemish	AND	and_b
French	AND	and_f
Frisian	AND	and_b
Friulian	AND	and_f
German	AND	and_b
Gothic	AND	and_0
Gujarati	AND	and_k
Gujarati	AND	and_l
Hindi	AND	and_a
Hittite	AND	and_r
Icelandic	AND	and_i
Irish	AND	and_g
Italian	AND	and_f
Kashmiri	AND	and_l
Ladin	AND	and_f
Lahnda	AND	and_l
Latin	AND	and_f
Latvian	AND	and_n
Lithuanian	AND	and_m
Lower_Sorbian	AND	and_h
